date,Berlin,Munich,Cologne,"Frankfurt Am Main",Hamburg,Stuttgart,Mannheim,Hannover,Freiburg,Erfurt,Leipzig,"See More",Nürnberg,Karlsruhe,Braunschweig,Konstanz,Halle-Neustadt,Dresden
2015-05-27,308,225,152,102,86,65,16,8,,,7,6,13,6,8,,,7
2015-05-27,304,213,149,101,88,63,16,8,,,7,6,12,6,8,,,6
2015-05-28,308,212,151,99,93,62,16,6,,,6,6,13,6,8,,,6
2015-05-28,309,213,152,98,95,62,16,7,,,6,6,13,6,8,,,6
2015-05-29,314,220,134,108,94,71,18,9,,,7,6,13,6,6,,,7
2015-05-30,312,226,130,108,95,63,17,13,,,7,5,14,,5,,,7
2015-05-31,308,236,137,109,100,63,15,11,,,,6,14,,6,,,
2015-06-01,313,247,136,110,103,67,17,12,,,,5,13,5,7,,,
2015-06-02,313,247,130,109,105,67,17,9,,,,5,13,5,7,,,
2015-06-03,310,245,126,103,106,71,19,9,,,7,5,16,5,8,,6,
2015-06-04,302,233,124,97,89,68,18,12,,,7,6,16,,,,6,
2015-06-05,294,230,122,87,88,58,16,10,,,6,6,16,,,,6,
2015-06-06,298,219,135,90,94,66,16,,,5,,5,,,5,,,
2015-06-07,296,234,121,83,85,58,14,8,,,6,5,19,,5,,,
2015-06-08,300,234,120,83,82,53,14,13,,,5,5,18,,,,,
2015-06-09,312,258,131,98,92,65,17,14,15,,7,5,21,5,9,6,,
2015-06-10,320,237,150,116,100,65,17,,,7,7,7,,,,,,
2015-06-11,326,347,154,103,108,75,18,13,14,,9,6,27,10,10,6,,
2015-06-12,320,334,147,102,104,75,13,14,14,,9,6,28,10,10,6,,
2015-06-13,321,335,144,103,101,71,19,13,14,,9,6,26,11,8,6,,
2015-06-14,326,334,145,100,102,69,18,13,14,,9,6,23,11,9,6,,
2015-06-15,330,343,159,99,104,72,18,,,6,9,6,24,,,,,
2015-06-16,332,355,159,100,103,71,17,,,6,9,6,25,,,,,
2015-06-17,326,358,146,94,95,68,17,13,13,,9,6,25,11,9,6,,
2015-06-18,327,341,141,91,97,61,14,,,6,6,6,23,,,,,
2015-06-19,322,332,123,78,90,62,14,14,13,,6,5,22,8,,5,,
2015-06-20,332,342,140,89,96,64,15,,14,5,6,5,21,,,,,
2015-06-21,321,331,124,79,93,65,16,10,13,,6,5,21,6,,5,,
2015-06-22,332,342,142,95,100,64,15,,13,6,6,6,21,,,,,
2015-06-23,333,273,129,94,86,60,16,,12,8,6,6,21,,,,,
2015-06-24,331,252,127,94,81,63,17,,12,8,6,6,,,,,,
2015-06-25,323,244,116,87,74,62,17,,,7,,7,,,,,,
2015-06-26,330,242,126,89,72,61,16,,,8,,8,,,,,,
2015-06-27,339,244,123,86,98,71,15,,13,6,6,6,19,,,,,
2015-06-28,327,228,118,83,69,64,15,8,13,5,6,5,19,10,6,,,
2015-06-29,335,231,126,88,73,66,15,14,13,7,6,6,,,,,,
