date,Berlin,Munich,Cologne,"Frankfurt Am Main",Hamburg,Stuttgart,Nürnberg,Mannheim,Freiburg,Erfurt,Leipzig,"See More",Hannover,Karlsruhe,Konstanz,Braunschweig,Halle-Neustadt,Dresden
2015-05-27,308,225,152,102,86,65,13,16,,,7,6,8,6,,8,,7
2015-05-27,304,213,149,101,88,63,12,16,,,7,6,8,6,,8,,6
2015-05-28,308,212,151,99,93,62,13,16,,,6,6,6,6,,8,,6
2015-05-28,309,213,152,98,95,62,13,16,,,6,6,7,6,,8,,6
2015-05-29,314,220,134,108,94,71,13,18,,,7,6,9,6,,6,,7
2015-05-30,312,226,130,108,95,63,14,17,,,7,5,13,,,5,,7
2015-05-31,308,236,137,109,100,63,14,15,,,,6,11,,,6,,
2015-06-01,313,247,136,110,103,67,13,17,,,,5,12,5,,7,,
2015-06-02,313,247,130,109,105,67,13,17,,,,5,9,5,,7,,
2015-06-03,310,245,126,103,106,71,16,19,,,7,5,9,5,,8,6,
2015-06-04,302,233,124,97,89,68,16,18,,,7,6,12,,,,6,
2015-06-05,294,230,122,87,88,58,16,16,,,6,6,10,,,,6,
2015-06-06,298,219,135,90,94,66,,16,,5,,5,,,,5,,
2015-06-07,296,234,121,83,85,58,19,14,,,6,5,8,,,5,,
2015-06-08,300,234,120,83,82,53,18,14,,,5,5,13,,,,,
2015-06-09,312,258,131,98,92,65,21,17,15,,7,5,14,5,6,9,,
2015-06-10,320,237,150,116,100,65,,17,,7,7,7,,,,,,
2015-06-11,326,347,154,103,108,75,27,18,14,,9,6,13,10,6,10,,
2015-06-12,320,334,147,102,104,75,28,13,14,,9,6,14,10,6,10,,
2015-06-13,321,335,144,103,101,71,26,19,14,,9,6,13,11,6,8,,
2015-06-14,326,334,145,100,102,69,23,18,14,,9,6,13,11,6,9,,
2015-06-15,330,343,159,99,104,72,24,18,,6,9,6,,,,,,
2015-06-16,332,355,159,100,103,71,25,17,,6,9,6,,,,,,
2015-06-17,326,358,146,94,95,68,25,17,13,,9,6,13,11,6,9,,
2015-06-18,327,341,141,91,97,61,23,14,,6,6,6,,,,,,
2015-06-19,322,332,123,78,90,62,22,14,13,,6,5,14,8,5,,,
2015-06-20,332,342,140,89,96,64,21,15,14,5,6,5,,,,,,
2015-06-21,321,331,124,79,93,65,21,16,13,,6,5,10,6,5,,,
2015-06-22,332,342,142,95,100,64,21,15,13,6,6,6,,,,,,
2015-06-23,333,273,129,94,86,60,21,16,12,8,6,6,,,,,,
