date,"Deloitte Deutschland","Haufe Group",Amazon,Siemens,EY,"Dassault Systèmes",Eaton,IBM,Teradata,Microsoft,"Capgemini Consulting",Coloplast,Pöyry,OSRAM,"HUGO BOSS","See More",Dell,UBS,Accenture,"Amadeus FiRe AG – Zeitarbeit, Personalvermittlung, Interim Management","Fourteenone White GmbH",PwC,"REWE Group","ORANGE Engineering Gmbh","Daimler AG",Bosch,"Deutsche Bahn",Deloitte,"Computer Futures, ein Geschäftszweig der SThree GmbH","Rasant Personal-Leasing GmbH","Orizon GmbH",Bertrandt,"adidas Group",Thalia.de,"AUDI AG","LOGISTIC PEOPLE (Deutschland) GmbH","BENTELER Group","ProSiebenSat.1 Media AG","Sopra Steria Consulting","Michael Page",Sanofi,"home of jobs Hamburg GmbH","BENTELER Automotive","adesso AG","BSH Home Appliances Group"
2015-05-27,61,,,,56,,,,,,,,,,,56,,,,417,,185,251,,76,131,,77,,,63,,,77,,176,96,,86,,,68,90,,
2015-05-27,61,,,,56,,,,,,,,,,,56,,,,406,,185,245,,113,131,,77,,,59,,,77,,176,93,,84,,,64,90,,
2015-05-28,61,,,,56,,,,,,,,,,,56,,,,405,,185,245,,113,131,,82,,,59,,,77,,176,93,,84,,,64,90,,
2015-05-28,61,,,,56,,,,,,,,,,,56,,,,405,,185,245,,113,131,,78,,,59,,,77,,176,93,,87,,,64,90,,
2015-05-29,61,,,,,,,,,,,,,,,59,,,,408,146,183,241,,132,139,,75,,,59,,,76,,169,84,,87,,,77,87,,
2015-05-30,61,,,,,,,,,,,,,,,61,,,,404,146,193,234,,137,139,,73,,,,,,76,,168,83,,87,,,74,87,66,
2015-05-31,61,,,,,,,,,,,,,,,61,,,,429,143,195,235,,137,142,,72,,,,,,76,,166,88,,87,,,74,86,65,
2015-06-01,,,,,,,,,,,,,,,,64,,,,424,139,199,234,,138,141,,75,64,,,,,76,,167,88,,90,,,65,86,69,
2015-06-02,60,43,,12,59,15,,7,10,,6,11,,,,5,11,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,11
2015-06-03,,,,,,,,,,,,,,,,65,,,,423,355,200,227,132,145,140,,80,72,,,,,76,,179,94,,83,,,,84,65,
2015-06-04,,,,,,,,,,,,,,,,68,,,,428,355,200,235,132,145,139,,86,73,68,,,,76,,176,94,,,,,69,83,,
2015-06-05,,,,,,,,,,,,,,,,67,,,,361,355,200,234,132,150,136,,75,68,68,,,67,75,,174,93,,,,,,80,,
2015-06-06,,,,,,,,,,,,,,,,68,,,,418,354,202,240,133,150,136,,80,72,68,70,,,75,,174,95,,,,,,80,,
2015-06-07,,,,,,,,,,,,,,,,70,,,,403,356,204,241,140,149,121,71,81,77,,,,,75,,163,84,,,,,72,70,,
2015-06-08,,,,,,,,,,,,,,,,70,,,,408,356,203,244,140,113,119,71,78,75,,,,,74,,162,80,,,,,71,70,,
2015-06-09,,,,,,,,,,,,,,,,70,,,,403,355,204,245,137,98,119,70,73,73,,,,,74,,162,76,,77,,,70,,,
2015-06-10,60,43,,15,58,11,,,10,,7,12,,,,5,9,,49,,,,,,,,,,,,,,,,,,,,,7,5,,,,
2015-06-11,96,,,,,,,,,,,,,,,73,,,,478,355,200,183,154,123,146,189,73,75,,,,,,,149,109,73,77,,,,,,
2015-06-12,96,43,,15,58,9,,,10,,7,13,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
2015-06-13,99,,,,,,,,,,,,,,,70,,,,465,,197,228,,124,140,187,75,72,,72,,,70,,138,101,71,77,,,,,,
2015-06-14,101,43,,18,58,9,,,10,,7,13,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
2015-06-15,98,,,,,,,,,,,,,,,66,,,,474,,198,235,,130,140,188,74,75,,,,66,70,,170,97,72,77,,,,,,
2015-06-16,48,43,,19,58,13,6,,9,,8,13,,,,6,9,,55,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,48,43,,19,58,14,6,,10,,8,13,,,,6,9,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,,,,,,,,,,,,,,,,63,,,,454,77,198,228,,130,138,184,73,71,,,,67,69,63,166,98,71,,,,,,,
2015-06-19,53,43,,18,57,14,11,,10,,9,10,,,,9,9,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-20,,,,,,,,,,,,,,,,65,,,,458,100,198,227,,125,126,177,79,,,,69,66,68,65,146,93,66,,,,,,,
2015-06-21,53,43,,19,57,14,,,10,,9,10,,,,9,9,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,53,43,,18,48,17,,,10,,9,14,,,,9,9,,54,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,53,43,,15,46,17,,,10,,9,14,,,6,6,9,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,,,,,,,,,,,,,,,,63,,,,385,368,197,197,136,112,110,82,71,66,63,,64,66,67,67,,,,,,,,,,
2015-06-25,55,43,,16,29,15,,,10,,9,14,5,,6,5,9,,51,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,,,,,,,,,,,,,,,,62,,,,371,346,199,191,138,125,105,84,77,64,63,,65,65,67,62,,,,,,,,,,
2015-06-27,56,43,,18,29,16,,,10,,9,15,5,,6,5,9,,52,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-28,,,,,,,,,,,,,,,,67,,,,432,364,199,198,163,133,104,93,80,70,70,68,67,67,67,,,,,,,,,,,
2015-06-29,56,43,,17,28,17,,9,10,,9,15,5,,7,5,8,,52,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,56,43,,17,27,17,,9,9,,9,15,5,,7,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,58,43,,15,24,17,,9,9,,9,,8,,8,5,9,5,52,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,58,43,,15,,16,11,9,9,,9,,8,,8,5,9,5,52,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,58,43,32,17,,16,11,9,9,,9,,8,,8,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,58,43,32,15,,16,11,9,9,,9,,8,,8,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,58,43,32,16,,16,11,9,9,,9,,8,,8,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06,58,43,33,13,,17,11,,9,,9,10,8,,8,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,58,43,25,15,,17,11,,9,,9,10,8,,8,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,58,43,25,14,13,16,13,,9,,9,10,8,,7,5,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,60,43,25,17,16,16,13,10,9,,9,10,8,,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,60,43,25,17,14,15,13,11,11,,9,10,8,,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,60,43,27,23,14,15,13,12,11,,9,10,8,,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,60,43,29,23,14,15,13,12,11,,9,10,8,5,7,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,60,43,29,23,16,15,13,13,11,,9,10,8,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,60,43,29,22,17,15,12,13,11,,9,10,8,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,60,43,28,20,17,15,11,13,11,,9,9,8,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,60,43,30,20,16,15,11,13,10,9,9,9,8,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,60,43,30,19,16,15,14,13,11,9,9,9,8,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
