date,Rotterdam,Amsterdam,Utrecht,Eindhoven,"The Hague",Breda,"See More",Nijmegen,Apeldoorn,Groningen,Tilburg,Enschede,Zwolle,"Almere Stad",Maastricht
2015-05-28,10,81,13,44,16,5,5,6,,,,,,,
2015-05-28,10,80,13,45,16,5,5,5,,,,,,,
2015-05-29,8,82,21,46,16,5,5,6,,,,,,,
2015-05-30,8,82,20,45,16,5,5,6,,,,,,,
2015-05-31,8,81,20,45,16,,6,6,,,,,,,
2015-06-01,9,82,20,41,15,,,,,,,,,,
2015-06-02,9,87,20,39,15,,,,,,,,,,
2015-06-03,8,82,18,39,14,,,,,,,,,,
2015-06-04,9,83,18,39,15,,5,5,,,,,,,
2015-06-05,8,84,19,37,14,,6,6,,,,,,,
2015-06-06,7,82,19,36,14,,6,6,,,,,,,
2015-06-07,7,81,18,36,13,,6,6,,,,,,,
2015-06-08,9,81,18,36,13,,5,5,,,,,,,
2015-06-09,8,81,18,36,14,,7,7,,,,,,,
2015-06-10,8,83,19,38,14,,5,5,,,,,,,
2015-06-11,8,84,18,39,14,,5,5,,,,,,,
2015-06-12,7,84,18,34,13,,5,5,,,,,,,
2015-06-13,7,82,19,34,12,,5,5,,,,,,,
2015-06-14,7,82,19,34,12,,5,5,,,,,,,
2015-06-15,7,78,19,35,16,,,,,,,,,,
2015-06-16,9,80,21,35,16,,5,5,,,,,,,
2015-06-17,9,75,27,35,16,5,5,,,,,,,,
2015-06-18,9,73,27,39,17,5,5,,,,,,,,
2015-06-19,11,81,30,38,19,5,5,,,,,,,,
2015-06-20,11,81,29,37,19,,,,,,,,,,
2015-06-21,11,80,29,35,19,,,,,,,,,,
2015-06-22,11,80,28,38,19,,,,,,,,,,
2015-06-23,10,84,27,39,19,,,,,,,,,,
2015-06-24,10,89,27,40,18,,,,,,,,,,
2015-06-25,11,88,28,41,19,,5,,,,,,,5,
2015-06-26,36,96,32,45,21,,6,6,11,13,6,12,,8,
2015-06-27,72,139,51,64,45,17,5,21,35,26,15,19,12,15,5
2015-06-28,78,143,51,66,46,17,5,22,39,30,21,20,14,15,5
2015-06-29,92,151,62,78,49,20,6,29,44,36,29,23,17,15,6
2015-06-30,93,149,59,81,49,20,7,32,43,37,29,21,18,16,7
2015-07-01,99,154,63,83,49,20,8,35,43,42,30,25,20,17,8
2015-07-02,33,18,15,13,10,5,5,12,,,,,,,
2015-07-03,31,18,16,11,11,5,5,10,,,,,,,
2015-07-04,31,17,16,11,10,5,5,,,,,,,,
