date,IBM,Quantcast,"Intel Corporation",Cisco,EMC,Alcatel-Lucent,AOL,Teradata,"Amazon UK","See More","Pivotal Software, Inc.","Schneider Electric",Atos,Datalex
2015-05-28,9,17,,,7,,,,,,,,,5
2015-05-29,9,16,6,,7,,,5,,5,,,,5
2015-05-30,9,18,6,,8,,,5,5,5,,,,5
2015-05-31,9,18,6,,7,,,5,5,5,,,,5
2015-06-01,10,18,6,,7,,,5,5,5,,,,5
2015-06-02,11,18,6,,7,,,5,5,5,,,,5
2015-06-03,11,15,6,,7,,,5,5,5,,,,5
2015-06-04,11,15,7,,7,,,5,5,5,5,5,5,5
2015-06-05,11,16,8,,8,,,5,5,5,5,5,5,
2015-06-06,11,16,8,,7,,,5,5,5,5,5,5,
2015-06-07,11,16,8,,7,,,5,5,5,5,5,5,
2015-06-08,10,16,8,,8,,,5,5,5,5,5,5,
2015-06-09,10,16,8,,8,,,5,5,5,5,5,,
2015-06-10,10,16,5,6,13,,5,5,5,5,5,,,
2015-06-11,10,12,,6,13,,6,5,5,5,5,,,
2015-06-12,12,11,5,6,12,,5,5,,5,5,,,
2015-06-13,11,11,5,6,11,,5,5,,5,,,,
2015-06-14,11,11,5,6,11,,5,5,,5,,,,
2015-06-15,11,11,6,6,7,,5,5,5,5,,,,
2015-06-16,11,11,7,6,7,,5,5,5,5,,,,
2015-06-17,11,11,8,6,6,,5,5,5,5,,,,
2015-06-18,11,10,8,6,6,5,5,5,5,5,,,,
