date,Stockholm,"Stockholm County",Malmo,Sundsvall,Gothenburg,Uppsala,Lulea,"See More",Umea,Copenhagen,Sodertalje,Lund,Linkoping,Orebro,Boras,Gavle
2015-05-28,113,47,10,7,29,,,7,,,,20,,,,7
2015-05-29,110,47,7,7,31,,,7,,,,21,,,,7
2015-05-30,108,47,7,7,30,,,7,,,,21,,,,7
2015-05-31,107,47,9,7,30,,,7,,,,21,,,,7
2015-06-01,112,43,,6,27,,,6,,,,18,,,,7
2015-06-02,118,43,6,5,29,,,5,,,,18,,,,7
2015-06-03,116,49,6,5,32,,,5,,,,19,,,,5
2015-06-04,124,49,6,6,37,,,6,,,,20,,,,
2015-06-05,123,53,6,6,35,,,6,,,,20,,,,
2015-06-06,123,52,6,6,35,,,6,,,,20,,,,
2015-06-07,117,51,6,6,35,,,6,,,,20,,,,
2015-06-08,119,51,6,6,33,,,6,,,,17,,,,
2015-06-09,121,60,6,6,33,,,6,,,,17,6,,,
2015-06-10,117,63,7,6,31,,,5,,,,18,5,,,
2015-06-11,117,58,7,6,31,,,6,,,,18,6,,,
2015-06-12,115,57,8,6,33,,,5,,,,8,6,,5,
2015-06-13,115,57,8,6,34,,,5,,,,8,6,,5,
2015-06-14,115,57,8,6,33,,,5,,,,8,6,,5,
2015-06-15,114,61,10,11,29,,,6,,,,22,6,,6,
2015-06-16,115,57,10,10,28,,,6,,,,20,6,,6,
2015-06-17,120,55,10,9,27,,,5,,,,20,5,,5,
2015-06-18,121,54,11,9,27,,,5,,,,20,6,,5,
2015-06-19,121,52,11,6,25,,,5,,,,20,5,,5,
2015-06-20,120,50,11,6,23,,,5,,,,20,5,,5,
2015-06-21,119,50,11,6,22,,,5,,,,20,5,,5,
2015-06-22,121,49,11,8,20,,,5,,,,19,5,,,
2015-06-23,120,48,12,,21,,,5,,,,20,5,,,
2015-06-24,117,50,13,,21,,,5,,,,20,5,,,
2015-06-25,113,49,16,,20,,,5,,,,10,5,5,,
2015-06-26,129,56,17,5,20,,,5,,,,20,7,5,,
2015-06-27,174,56,21,5,23,,,5,,,,20,7,5,,
2015-06-28,220,55,24,5,27,,,5,,,,20,7,,,
2015-06-29,225,52,25,5,27,5,,5,,,,20,7,,,
2015-06-30,231,49,25,,29,5,,5,,,,18,7,,,
2015-07-01,248,47,27,5,31,9,,5,8,,,18,7,,,
2015-07-02,106,23,15,8,23,5,,5,,,,,,,,
2015-07-03,114,22,16,7,23,6,,6,,,,,,,,
2015-07-04,110,22,16,7,21,6,,6,,,,,,,,
2015-07-05,115,22,17,7,22,8,,5,,,5,,,,,
2015-07-06,116,20,17,10,23,8,,5,,,5,,,,,
2015-07-07,123,21,17,12,24,9,,5,,,5,,,,,
2015-07-08,174,25,17,19,25,,,5,9,,5,5,,,,
2015-07-09,125,20,23,11,20,,,8,,,8,,,,,
2015-07-10,131,20,25,11,21,13,,9,,,9,,,,,
2015-07-11,161,23,24,19,22,15,,7,7,,,,,,,
2015-07-12,154,24,19,19,22,14,,8,8,,,,,,,
2015-07-13,155,24,19,22,23,13,,5,9,,,5,,,,
2015-07-14,159,23,23,22,27,13,,9,9,,,,,,,
2015-07-15,161,23,23,22,26,13,,8,8,,11,,,,,
2015-07-16,168,25,22,22,26,12,,8,8,,11,,,,,
2015-07-17,171,27,25,22,23,12,,7,7,,,,,,,
2015-07-18,168,27,25,22,23,12,,7,7,,,,,,,
2015-07-19,171,27,25,22,24,12,,7,7,,,,,,,
2015-07-20,176,26,25,22,24,12,,7,7,,,,,,,
2015-07-21,178,29,26,22,24,12,,5,7,5,,,,,,
2015-07-22,177,29,26,22,22,11,8,8,,,,,,,,
