date,Amsterdam,Utrecht,Eindhoven,Rotterdam,Groningen,"The Hague","See More",Tilburg,Apeldoorn,Enschede,Zwolle
2015-05-28,37,13,,,,7,,,,,
2015-05-28,38,13,,,,6,,,,,
2015-05-29,38,15,,,,6,,,,,
2015-05-30,38,14,,,,6,,,,,
2015-05-31,37,14,,,,6,,,,,
2015-06-01,35,14,,,,7,,,,,
2015-06-02,35,15,5,,,6,,,,,
2015-06-03,36,14,5,,,6,,,,,
2015-06-04,38,12,5,,,6,,,,,
2015-06-05,42,12,5,,,5,,,,,
2015-06-06,42,11,5,,,5,,,,,
2015-06-07,41,11,5,,,5,,,,,
2015-06-08,41,12,6,,,5,,,,,
2015-06-09,40,15,6,,,5,,,,,
2015-06-10,41,15,6,,,6,,,,,
2015-06-11,39,16,6,,,6,,,,,
2015-06-12,40,16,6,,,6,,,,,
2015-06-13,40,16,5,,,6,,,,,
2015-06-14,40,16,5,,,6,,,,,
2015-06-15,40,16,6,,,6,,,,,
2015-06-16,36,14,6,,,6,,,,,
2015-06-17,36,14,6,,,5,,,,,
2015-06-18,36,14,5,,,5,,,,,
2015-06-19,37,14,5,,,5,,,,,
2015-06-20,36,14,5,,,,,,,,
2015-06-21,36,13,5,,,,,,,,
2015-06-22,39,14,,,,5,,,,,
2015-06-23,40,15,,,,6,,,,,
2015-06-24,37,15,,,,6,,,,,
2015-06-25,37,15,,,,6,,,,,
2015-06-26,39,18,,,,6,5,,5,8,6
2015-06-27,58,30,12,13,12,7,7,7,15,9,8
2015-06-28,61,44,13,13,13,10,7,7,15,9,8
2015-06-29,62,46,16,15,16,14,7,7,14,9,8
2015-06-30,63,46,17,16,16,13,7,7,16,9,8
2015-07-01,65,44,17,17,16,14,7,7,15,10,8
2015-07-02,63,43,17,17,16,14,5,5,,,
2015-07-03,63,42,15,15,13,14,5,5,,,
2015-07-04,61,42,15,15,13,15,5,5,,,
2015-07-05,58,41,15,15,14,15,14,,,,
2015-07-07,60,43,17,15,15,17,5,5,,,
2015-07-08,63,37,16,15,15,18,5,5,,,
2015-07-09,64,37,20,16,,18,5,5,,,
2015-07-10,63,38,20,16,15,18,5,5,,,
2015-07-11,62,40,23,17,17,18,5,5,,,
2015-07-12,61,40,23,17,17,18,17,,,,
2015-07-13,63,40,24,17,17,18,17,,,,
2015-07-14,60,43,24,19,18,18,18,,,,
2015-07-15,61,42,24,18,18,18,18,,,,
2015-07-16,63,43,24,19,18,18,18,,,,
2015-07-17,67,46,24,19,18,18,18,,,,
