date,VMware,"Huawei Technologies",EMC,Microsoft,Salesforce,"Amazon UK","See More",Verizon,Oracle,"Nováccent Group","Twente Branding","PHP Professionals",Luminis,Amazon
2015-05-28,,19,,,6,,,,,,,,,
2015-05-28,,19,,,6,,,,,,,,,
2015-05-29,,19,,,6,,,,,,,,,
2015-05-30,,19,,,6,,,,,,,,,
2015-05-31,,18,,,6,,,,,,,,,
2015-06-01,,19,,,5,,,,,,,,,
2015-06-02,,20,,,5,,,,,,,,,
2015-06-03,,20,,,5,,,,,,,,,
2015-06-04,,22,,,5,,,,,,,,,
2015-06-05,,24,,,5,,,,,,,,,
2015-06-06,,24,,,5,,,,,,,,,
2015-06-07,,24,,,5,,,,,,,,,
2015-06-08,,24,,,5,,,,,,,,,
2015-06-09,,24,,,6,,,,,,,,,
2015-06-10,,24,,,6,,,,,,,,,
2015-06-11,,24,,,5,,,,,,,,,
2015-06-12,,24,,,,,,,,,,,,
2015-06-13,,24,,,,,,,,,,,,
2015-06-14,,24,,,,,,,,,,,,
2015-06-15,,24,,,,,,,,,,,,
2015-06-16,,21,,,,,,,,,,,,
2015-06-17,,21,,,,,,,,,,,,
2015-06-18,,21,,,6,,,,,,,,,
2015-06-19,,21,,,7,,,,,,,,,
2015-06-20,,21,,,7,,,,,,,,,
2015-06-21,,21,,,7,,,,,,,,,
2015-06-22,,21,,,5,,,,,,,,,
2015-06-23,,21,,,,,,,,,,,,
2015-06-24,5,21,,,6,,,,,,,,,
2015-06-25,5,21,,,5,,,,,,,,,
2015-06-26,6,20,,,7,,,,,,8,,,
2015-06-27,6,20,9,,7,,6,,7,37,8,7,6,
2015-06-28,13,20,9,,7,,5,5,8,43,8,7,6,
2015-06-29,15,20,9,,6,,5,5,8,49,8,7,6,5
2015-06-30,15,20,8,,7,,6,6,7,49,8,7,6,
2015-07-01,15,21,7,,5,,5,7,5,49,9,7,6,
2015-07-02,15,21,7,,5,,5,6,5,,,,,
2015-07-03,15,21,7,,6,,5,6,5,,,,,
2015-07-04,15,19,7,,6,,5,6,5,,,,,
2015-07-05,15,18,7,,6,,5,6,5,,,,,
2015-07-07,14,18,7,,6,,5,6,5,,,,,
2015-07-08,12,19,7,,6,,5,6,5,,,,,
2015-07-09,12,19,7,5,6,,5,6,5,,,,,
2015-07-10,12,19,8,,7,,,,,,,,,
2015-07-11,13,19,8,,7,,,,,,,,,
2015-07-12,13,19,8,,7,,,5,,,,,,
2015-07-13,13,17,9,5,7,7,5,,,,,,,
2015-07-14,13,13,9,5,8,8,5,,,,,,,
2015-07-15,13,14,9,5,6,8,5,,,,,,,
2015-07-16,13,13,9,7,7,,,,,,,,,
