date,Paris,Toulouse,Limoges,Marseille,Rouen,Lille,Grenoble,Bordeaux,Lyon,Rennes,Chambéry,Clermont-Ferrand,Mulhouse,Nantes,"See More","Perpignan (Perpinyà)",Dijon,Orléans,"La Rochelle",Metz,Strasbourg,Montpellier,Nice,Tours,Pau
2015-05-27,128,8,9,7,,11,5,,12,,,,,,5,,,,,,,6,,,6
2015-05-27,132,8,9,7,,11,5,,12,,,,,,5,,,,,,,6,,,6
2015-05-28,125,6,9,9,,10,7,,17,,,5,,7,5,6,,,,,,8,,5,7
2015-05-28,125,6,9,9,,10,7,,17,,,5,,7,5,6,,,,,,8,,5,7
2015-05-29,136,9,10,14,,12,11,,24,7,,7,,12,7,7,,7,,,,9,,,8
2015-05-30,379,37,,35,30,24,28,20,57,20,,,,28,20,,,25,,21,35,,20,,
2015-05-31,365,36,,32,25,26,,21,58,,,14,,,9,,,,,,,14,,,9
2015-06-01,308,32,,30,23,23,23,,39,18,,,,21,16,,,20,,16,28,,19,16,
2015-06-02,312,32,,30,23,23,23,,39,18,,,,21,16,,,20,,16,28,,19,16,
2015-06-03,153,11,9,19,,12,12,,22,,,9,,14,8,9,,,,8,8,10,8,,
2015-06-04,159,11,9,19,,14,13,,22,,,9,,14,8,8,,,,8,8,10,8,,
2015-06-05,119,10,8,9,,11,6,,12,,,5,,5,5,5,6,5,,,,,,,
2015-06-06,122,9,8,8,5,9,,,9,,,,,6,5,,5,,,,,,,,
2015-06-07,115,6,,6,5,11,,,,,,,,,,,,,,,,,,,
2015-06-08,123,7,7,6,5,11,,,8,,,,,7,5,,5,,,,5,,,,
2015-06-09,115,6,7,10,6,8,,,8,,,,,,5,5,5,,,,,,,,
2015-06-10,122,7,7,10,,,,,6,,,,,,6,6,,,,,,,,,
2015-06-11,117,6,,10,,,,,,5,,,5,,,,,,,,,,,,
2015-06-12,125,10,8,7,5,5,,,8,5,,,5,,5,,,,,,,,,,
2015-06-13,121,7,8,11,5,5,,5,10,6,,,,5,5,6,,,,,,,,,
2015-06-14,127,8,,10,7,7,,5,10,8,,,5,,5,,,,,,,,,,
2015-06-15,125,8,,10,7,7,,,10,8,,,,,7,,,,,,,,,,
2015-06-16,125,8,,10,5,6,,,,5,,,,,5,,,,,,,,,,
2015-06-17,120,12,8,8,6,6,,,8,,5,,5,,5,7,,,,5,,,,,
2015-06-18,121,12,,8,6,6,,,,,,,5,,5,,,,,5,,,,,
2015-06-19,124,11,,10,,5,,,10,6,,,,,5,,5,,,5,,,,,
2015-06-20,128,15,9,9,,6,,5,9,7,6,,,,5,7,6,,5,5,,,,,
2015-06-21,136,13,,13,,7,,6,7,8,,,,,5,,5,,,,,,,,
2015-06-22,134,17,9,12,6,8,6,6,7,8,,,,7,5,5,6,7,,,,,,,
2015-06-23,132,17,10,13,10,8,9,5,9,9,,6,,7,5,7,5,,,,,,,,
2015-06-24,127,16,10,10,,7,5,5,8,5,,,,6,5,7,,,,,,,,,
2015-06-25,127,12,,10,,7,,5,8,6,,,,5,5,,,,,,,,,,
2015-06-26,130,,,10,,7,,5,8,8,,,5,,5,,,,,,,,,,
2015-06-27,148,,,10,,6,,5,9,8,,,5,,5,,,,,,,,,,
2015-06-28,148,14,12,12,12,12,7,7,10,8,5,7,,6,5,7,,,,,,,,,
2015-06-29,150,15,12,12,12,12,7,8,10,8,5,7,,6,5,7,,,,,,,,,
2015-06-30,152,19,12,12,12,11,9,8,8,8,6,6,5,5,5,,,,,,,,,,
