date,Paris,Lyon,Toulouse,Marseille,Nantes,Lille,Grenoble,"La Rochelle",Bordeaux,Brive-La-Gaillarde,"Le Havre","Perpignan (Perpinyà)",Limoges,Montpellier,"See More",Strasbourg,Rouen,Dijon,Amiens,Mulhouse
2015-05-27,212,33,13,9,8,13,,10,10,7,12,7,8,,7,10,,,,7
2015-05-27,216,34,13,9,8,13,,10,9,7,12,7,7,,6,10,,6,,
2015-05-28,224,34,12,9,7,12,6,8,8,7,10,,7,,6,7,,6,,
2015-05-28,224,34,11,8,7,12,6,8,8,7,10,,7,,6,7,,7,,
2015-05-29,215,33,10,8,9,13,6,6,8,7,11,,7,,6,8,,6,,
2015-05-30,184,34,9,10,9,11,7,9,9,8,10,,6,,6,12,7,,,
2015-05-31,187,34,10,10,9,11,7,8,8,8,10,,6,,6,8,7,,,
2015-06-01,184,25,10,11,9,8,5,8,7,9,7,,6,,5,,6,,5,
2015-06-02,185,28,10,11,9,8,5,8,7,9,7,,6,,5,,6,,5,
2015-06-03,189,33,13,15,7,8,6,8,7,8,8,,6,,6,9,7,,,
2015-06-04,206,33,13,15,8,8,9,8,7,7,8,7,,,7,9,,7,,
2015-06-05,198,28,14,11,7,10,8,7,7,8,,7,,,6,7,8,6,,
2015-06-06,204,30,16,12,7,9,8,7,7,7,8,7,,,7,10,9,,,
2015-06-07,204,27,15,12,7,9,8,6,7,7,,6,6,,6,7,7,,,
2015-06-08,193,25,14,10,9,10,7,6,6,7,5,7,,,5,6,6,,,
2015-06-09,196,25,14,12,10,9,8,8,7,7,,8,5,,5,8,8,,,
2015-06-10,188,22,13,11,8,11,8,7,6,6,5,6,,,5,9,6,,,
2015-06-11,174,21,,11,8,10,,,,,5,,,5,5,8,,,,
2015-06-12,185,18,16,13,8,10,7,7,6,5,7,6,5,,5,7,,,,
2015-06-13,182,19,16,11,8,11,8,6,6,6,8,6,5,,5,7,,,,
2015-06-14,181,20,15,14,8,10,,,,,7,,,,7,9,,,,
2015-06-15,193,19,16,13,9,11,7,6,6,,7,7,6,,6,10,6,,,
2015-06-16,192,19,18,16,8,9,,,,7,7,,,,7,10,,,,
2015-06-17,196,24,18,14,9,7,,,,7,7,,,,7,8,,,,
2015-06-18,215,23,19,14,9,8,8,8,6,7,7,,7,,6,8,7,,,
2015-06-19,194,23,18,12,11,9,,,,7,9,,,,7,10,,,,
2015-06-20,197,22,19,13,12,10,,,,7,10,,,,7,8,,,,
2015-06-21,203,21,19,13,12,10,8,8,7,7,9,6,7,,6,10,,,,
2015-06-22,186,21,20,13,11,9,,,,7,9,,,,7,9,,,,
2015-06-23,189,22,23,11,12,10,,,,7,9,,,,7,8,,,,
2015-06-24,199,23,21,13,13,10,9,9,7,7,7,7,6,6,6,,,,,
