date,"IC Resources","Randstad UK","Datascope Recruitment Ltd.","Computer Futures","QA Apprenticeships",ESPN,"Nigel Frank International","Confidential Company - Undisclosed",Hays,ARM,Sky,"Goldman Sachs","Computer People","Thomson Reuters","SSA Recruitment Group","See More",Dell,Thales,PAREXEL,"Bloomberg LP",Google,Elsevier,EY,"The MathWorks","JPMorgan Chase &amp; Co.","Optimus Search","Expedia, Inc.","Recruitment Genius","Do-it Trust","Morgan Stanley","Dassault Systèmes","Baltic Training Services",Amazon,Diamond4jobs.com,"NJF Global Holdings Ltd","Experis IT","Rational Group",Facebook,"Dell SecureWorks",Citi,"Medidata Solutions","Go IT Recruitment Limited","Zest 2 Recruitment","Amazon UK","QA Ltd",TalentSpa,"Xpat Jobs.com",CareerBuilder.com,Adzuna,"Job Board Enterprises BV",Monster,"CV-Library Ltd",TipTopJob,www.FindMyDreamJob.co.uk,Jobs.co.uk,Skanska,"CV Screen Ltd","Corsair Engineering","Discover Communications Inc",Incite,NaturalMotion,"KP Recruiting Group","Rockstar Games"
2015-03-11,,,,,60,,,,30,25,44,,,,,19,28,26,82,27,25,,,,50,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,32,,,23,22,,,19
2015-03-12,,,,,60,,,,35,27,44,,,,,22,30,26,81,29,24,,,,48,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,27,,,22,27,,56,
2015-03-16,,,,,62,,,,28,52,49,,,,,22,31,35,25,29,25,,,,53,,,,,,,,22,,,,,,,31,,,,,,,,,,,,,,,,26,,,27,28,,,
2015-03-18,,,,,63,,,,38,52,55,,,,,23,31,35,24,28,25,,,,50,,,,,,,,23,,,,,,,31,,,,,,,,,,,,,,,,28,,,26,27,,,
2015-03-18,,,,,63,,,,38,52,55,,,,,23,31,35,,28,25,,,,50,,,,,,,23,,,,23,,,,31,,,,,,,,,,,,,,,,28,,,26,27,,,
2015-03-19,,,,,63,,,,39,53,54,,,,,23,33,34,23,27,26,,,,52,,,,,,,23,,,,,,,,33,,,,,,,,,,,,,,,,27,,,30,27,,,
2015-03-20,,,,,63,,,,31,52,55,,,,,23,32,34,26,27,26,,,,52,,,,,,,23,,,,,,,,33,,,,,,,,,,,,,,,,25,,,30,27,,,
2015-03-21,,,,,63,,,,28,52,55,,,,,23,32,34,26,27,26,,,,52,,,,,,,23,,,,,,,,33,,,,,,,,,,,,,,,,25,,,30,27,,,
2015-03-22,,,,,63,,,,28,52,55,,,,,23,32,34,26,27,26,,,,52,,,,,,,23,,,,,,,,33,,,,,,,,,,,,,,,,25,,,30,27,,,
2015-03-23,,,,,63,,,,26,52,52,,,,,22,31,34,22,27,25,,,,52,,,,,,,25,,,,,,,,37,,,,,,,,,,,,,,,,24,,,29,27,,,
2015-03-24,,,,,66,,,,31,51,54,,,,,20,31,34,22,26,25,,,,51,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,24,,,29,23,20,,
2015-03-25,,,,,66,,,,32,49,52,,,,,21,32,35,21,27,24,,,,52,,,,,,,23,,,,,,,,,,,,,,21,,,,,,,,,,22,,,29,28,,,
2015-03-26,,,,,69,,,,36,51,53,,,,,22,30,35,24,27,24,,,,57,,,,,,,24,22,,,,,,,,,,,,,,,,,,,,,,,,,36,29,28,,,
2015-03-27,,,,,82,,,,37,53,53,,,,,22,33,35,25,26,24,,,,56,,,,,,,24,22,,,,,,,,,,,,,,,,,,,,,,,,,36,29,28,,,
2015-03-28,,,,,82,,,,35,53,50,,,,,23,31,35,24,26,24,,,,55,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,23,,36,29,28,,,
2015-03-29,,,,,82,,,,35,53,51,,,,,22,31,35,23,26,24,,,,56,,,,,,,24,22,,,,,,,,,,,,,,,,,,,,,,,23,,36,30,,,,
2015-03-30,,,,,82,,,,34,53,51,,,,,22,28,35,22,25,24,,,,56,,,,,,,24,25,,,,,,,,,,,,,,,,,,,,,,,23,,36,30,,,,
2015-03-31,,,,,82,,,,34,57,51,,,,,21,29,35,,25,23,,,,55,,,,,,,24,21,,,,,,,,,,,22,,,,,,,,,,,,21,,36,28,,,,
2015-04-01,,,,,82,,,,32,60,52,,,,,22,30,35,27,27,23,,,,,,,,,,,24,,,,,22,,,,,,,22,,,,,220,,,,,,,,,33,28,,,,
2015-04-02,,,,,82,,,,31,62,53,,,,,22,31,32,27,29,23,,,,,,,,,,,24,,,,,,,,22,,,,,,,,,235,,,,,,,28,,35,22,,,,
2015-04-03,,,,,82,,,,35,62,52,,,,,21,31,32,25,27,24,,,,,,,,,,,24,,,,,21,,,,,,,,,,,,206,,,,,,,29,,35,22,,,,
2015-04-04,,,,,83,,,,34,62,52,,,,,22,29,32,25,28,24,,,,,,,,,,,24,,,,,,,,22,,,,23,,,,,213,,,,,,,29,,35,,,,,
2015-04-05,,,,,82,,,,34,62,52,,,,,21,31,32,26,27,24,,,,,,,,,,,,,,,,21,,,27,,,,,,,,,203,,,,,,,33,,34,22,,,,
2015-04-06,,,,,83,,,,34,62,51,,,,,23,30,32,25,28,24,,,,,,,,,,,24,,,,,,,,27,,,,23,,,,,201,,,,,,,32,,34,,,,,
2015-04-07,,,,,83,,,,32,62,51,,,,,23,30,32,27,28,24,,,,,,,,,,,24,,,,,,,,27,,,,23,,,,,212,,,,,,,32,,35,,,,,
2015-04-08,,,,,83,,,,31,66,51,,,,,24,31,29,25,28,24,,,,,,,,,,,24,,,,,,,,27,,,,,,,,,212,,,,,,,29,25,34,,,,,
2015-04-09,,,,,83,,,,31,66,50,,,,,23,31,30,27,28,23,,,,,,,,,,,,,,,,23,,,31,,,,23,,,,,208,,,,,,,32,,34,,,,,
2015-04-10,,,,,83,,,,34,63,50,,,,,22,31,29,27,28,23,,,,,,,,,,,,,,,,23,,,31,,,,22,,,,,208,,,,,,,31,,34,,,,,
2015-04-11,,,,,87,,,,33,63,52,,,,,21,31,29,25,28,23,,,,,,,,,,,23,,,,,23,,,29,,,,23,,,,,,,,,,,,31,21,,,,,,
2015-04-12,,,,,87,,,,33,63,52,,,,,21,31,29,25,28,23,,,,,,,,,,,23,,,,,23,,,29,,,,23,,,,,,,,,,,,31,21,,,,,,
2015-04-13,,,,,87,,,,27,63,53,,,,,21,31,28,24,28,23,,,,,,,,,,,23,,,,,24,,,29,,,,23,,,,,,,,,,,,31,21,,,,,,
2015-04-14,,,,,88,,,,29,65,53,,,,,22,31,28,24,28,23,,,,,,,,,,,22,,,,,25,,,29,,,,22,,,,,,,,,,,,27,23,,,,,,
2015-04-15,,,,,88,,,,35,66,53,,,,,20,31,29,24,28,23,,,,,,,,,,,20,,,,,26,,,29,,,,21,,,,,,,,,,,,28,23,,,,,,
2015-04-16,,,,,88,,,,32,69,50,,,,,21,31,27,24,28,23,,,,,,,,,,,21,,,,21,25,,,30,,,,,23,,,,,,,,,,,27,,,,,,,
2015-04-17,,,,,88,,,,37,68,49,,,,,21,31,27,23,28,23,,,,,,,,,,,,,,,21,25,,,30,,,,,23,,,227,,,,,,,,26,,,,,,,
2015-04-18,,,,,89,,,,37,67,46,,,,,27,31,27,,27,,,,,,,,,,,,,,,,,,,,31,,,,,,,1206,191,152,77,45,,27,,30,,,,,,,,
2015-04-19,,,,,89,,,,37,67,46,,,,,28,31,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,2213,244,167,58,45,33,28,28,29,,,,,,,,
2015-04-20,,,,,89,,,,31,66,49,45,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,1995,258,167,66,44,39,38,29,,,,,,,,,
2015-04-21,,,,,90,,,,30,67,46,42,,,,21,32,26,23,26,22,,,,,,,,,,,22,,,,21,23,,,29,,,,,,24,,,,,,,,,,,,,,,,,
2015-04-22,,,,,90,,,,31,66,47,41,,,,20,34,26,23,26,22,,,,,,,,,,,24,,,,22,23,,,29,,,,20,,,,,,,,,,,,,,,,,,,
2015-04-23,,,,,90,,,,32,65,48,45,,,,21,34,26,24,29,21,,,,,,,,,,,24,,,,22,21,,,32,,,,21,,,,,,,,,,,,,,,,,,,
2015-04-24,,,,,90,,,,25,64,51,45,,,,20,33,26,25,29,21,,,,,,,,,,,24,,,,24,23,,,31,,,,,20,,,,,,,,,,,,,,,,,,
2015-04-25,,,,,90,,,,25,64,51,45,,,,21,33,26,22,29,21,,,,,,,,,,,24,,,,26,23,,,32,,,,21,,,,,,,,,,,,,,,,,,,
2015-04-26,,,,,90,,,,24,64,52,45,,20,,20,34,26,22,29,21,,,,,,,,,,,24,,,,27,23,,,32,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,,,,,90,,,,24,64,52,46,,21,,21,37,28,23,30,21,,,,,,,,,,,24,,,,27,23,,,32,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,,,,,90,,,,26,64,51,46,,,,21,34,28,23,30,21,,,,,,,,,,,24,,,,27,22,,,33,,,,22,,,,,,,,,,,,,,,,,,,
2015-04-29,,,,,90,,,,30,64,52,45,,,,21,36,28,23,30,21,,,,,,,,,,,24,,,,25,24,,,34,,,,22,,,,,,,,,,,,,,,,,,,
2015-04-30,,,,,91,,,,33,63,51,46,,,,22,34,28,22,29,22,,,,,,,,,,,24,,,,25,23,,,34,,,,22,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,92,,,,32,65,51,46,,22,,22,36,28,23,30,22,,,,,,,,,,,24,,,,26,24,,,31,,,,,,,,,,,,,,,,,,,,,,,
2015-05-02,,,,,92,,,,31,66,52,46,,21,,21,38,28,23,30,22,,,,,,,,,,,21,,,,25,24,,,31,,,,,,,,,,,,,,,,,,,,,,,
2015-05-03,,,,,92,,,,29,66,50,46,,21,,21,38,28,22,30,,,,,,,,,,,,24,,,,29,24,,,31,,36,,,,,,,,,,,,,,,,,,,,,
2015-05-04,,,,,92,,,85,28,67,49,47,,,,22,39,28,22,31,,,,,,,,,,,,24,,,,30,25,,,30,,31,,,,,,,,,,,,,,,,,,,,,
2015-05-05,,,,,92,,,85,27,67,49,47,,,,22,39,28,22,30,,,,,,,,,,,,23,,,,29,25,,,29,,32,,,,,,,,,,,,,,,,,,,,,
2015-05-06,,,,,92,,,73,26,68,60,47,,,,22,40,28,,30,23,,,,,,,,,,,23,,,,28,25,,,27,,,22,,,,,,,,,,,,,,,,,,,,
2015-05-07,,,,,93,,,78,24,67,58,48,,,,22,39,27,22,30,23,,,,,,,,,,,24,,,,28,25,,,28,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,,,,,93,,,66,24,70,51,48,,,,23,36,27,25,30,24,,,,,,,,23,,,23,,,,,24,,,28,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09,,,,,93,,,68,24,71,47,48,,,,23,36,27,26,30,24,,,,,,,,23,,,25,,,,,24,,,26,,,,,,,,,,,,,,,,,,,,,,,
2015-05-10,62,,,,93,,,66,24,71,47,48,,,,24,36,27,25,30,24,,,,,,,,,,,25,,,,,24,,,27,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,133,,,,93,,,66,23,70,57,45,,,,23,36,28,25,30,23,,,,,,,,24,,,25,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,137,,,,93,,,66,,70,56,47,,,,24,36,27,25,31,24,,,,,,,,24,,,25,,,,35,,,,25,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,137,,,,94,,,66,26,70,60,47,,,,23,36,27,26,30,,,,,,,,,24,,,23,,,,38,,,,24,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,141,,,,94,,,66,34,72,63,47,,,,25,36,29,28,31,,,,,,,,,,,,,,,,44,26,,,25,,38,,,,,,,,,,,,,,,,,,,,,
2015-05-15,144,,,,95,,,66,32,69,71,49,,,,26,36,30,27,31,,,,,,,,,,,,26,,,,47,27,,,,,41,,,,,,,,,,,,,,,,,,,,,
2015-05-16,219,,,,95,,,66,31,67,69,49,,,,26,36,29,26,31,,,,,,,,,,,,,,,,51,27,,,27,,39,,,,,,,,,,,,,,,,,,,,,
2015-05-17,247,,,,95,,,31,31,68,69,49,,28,,26,36,29,26,31,,,,,,,,,,,,,,,,49,27,,,,,36,,,,,,,,,,,,,,,,,,,,,
2015-05-18,260,,,,95,,,,30,68,67,48,,29,,26,36,30,27,30,,,,,,,,,,,,26,,,,52,,,,26,,33,,,,,,,,,,,,,,,,,,,,,
2015-05-19,257,,,,95,,,,35,66,64,43,,28,,26,35,30,27,32,,,,,,,,,,,,,,,,53,26,,,27,,27,,,,,,,,,,,,,,,,,,,,,
2015-05-20,277,,,,95,,,,29,66,63,46,,29,,25,33,30,26,31,,,,,,,,,,,,,25,,,51,27,,,27,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,220,,,,95,,,,55,66,63,48,,29,,24,33,32,26,30,24,,,,,,,,,,,,25,,,48,,,,25,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,231,,,,95,,,,55,65,63,46,,30,,25,34,32,26,30,,,,,,,,,,,,25,25,,,42,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-23,232,,,,95,,,,54,64,63,46,,,,24,41,32,25,30,24,,,,,,,,,,,25,24,,,46,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-24,227,,,,95,,,,53,64,63,46,,,,24,47,32,24,30,24,,,,,,,,,,,25,25,,,51,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,214,,,,95,,,,55,65,62,43,,,,24,45,32,,31,24,,,,,,,,,,,25,25,,,51,27,,,24,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,212,,,,95,,,,59,66,61,43,,,,25,45,31,25,31,,,,,,,,,25,,,27,25,,,49,27,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,173,,,,95,,,,60,65,61,43,,,,25,43,31,25,31,,,,,,,,,25,,,27,25,,,50,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,171,,,,95,,,,65,65,62,43,,,,24,43,31,25,30,24,,,,,,,,25,,,25,,,,47,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,154,,,,95,,,,60,64,57,43,,32,,24,43,27,28,31,,,,,,,,,,,,25,24,,,47,27,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,203,,,,98,,,,56,62,60,48,,32,,23,42,28,28,31,,,,,,,,,,,,24,23,,,44,27,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-30,216,,,,98,,,,55,61,63,48,,33,,27,42,28,29,31,,,,,,,,,,,,27,,,,36,27,,,27,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,211,,,,98,,,,55,61,63,48,,35,,26,42,28,29,31,,,,,,,,,,,,26,,,,39,27,,,27,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,211,,,,98,,,,55,61,62,49,,34,,25,42,28,25,33,,,,,,,,,,,,27,,,,39,26,,,27,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,,,,,,,,,50,59,59,50,,,,12,,25,25,32,24,16,16,14,,,12,,22,19,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,174,,,,98,,,,46,57,61,49,,34,,24,43,28,26,33,24,,,,,,,,,,,27,,,,40,,,,26,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,,,,,,,,,47,57,54,50,,,,11,,29,25,32,24,,16,14,11,16,,,21,18,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,242,,,,98,,,,44,57,61,47,,33,,25,43,31,26,33,,26,,,,,,,,,,31,,,25,,,,,25,,,,,,,,,,,,,,,,,,,,,,,
2015-06-06,241,,,,98,,,91,42,56,58,47,,33,,24,43,31,25,33,24,,,,,,,,,,,30,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07,203,,,,98,,,83,41,56,57,47,,33,,24,43,31,24,33,24,,,,,,,,,,,30,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,188,,,,98,,,83,56,53,56,47,,33,,25,43,30,26,33,25,,,,,,,,,,,30,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,,,,,,,,,61,51,54,47,,,,14,,28,26,30,24,18,16,14,,17,,,21,18,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,,,,,,,,,62,51,54,48,,,,12,,28,28,30,24,18,15,12,,17,,,20,16,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,188,,,,101,,,88,61,52,54,46,,35,,26,40,30,29,33,,,,,,,,,,,,26,,30,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,,,,,,,,,50,52,50,46,,,,10,,30,30,32,23,14,16,13,,,,,20,15,,,,,,,11,,,,10,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,,,,,,,,,50,55,49,46,,,,10,,30,29,32,23,14,16,13,,,,,20,15,,,,,,,11,,,,10,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,,,,,,,,,50,55,48,46,,,,10,,30,27,32,23,14,16,13,,,,,20,15,,,,,,,11,,,,10,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,190,,,,102,,,73,51,58,45,46,,36,,26,40,29,,30,,,,,,,,,,,,26,,30,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,,,,,,,,,63,57,44,44,,,,12,,24,23,26,24,14,16,13,,12,,,20,15,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,188,,,,102,,,94,64,60,49,44,,36,,25,40,,,26,,,,,,,,,,,,,25,28,25,31,,,,25,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,,,,,,,,,68,57,48,44,,,,10,,22,24,25,23,14,16,13,13,10,,,20,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,,,,,,,,,62,53,44,44,,,,8,,26,23,25,23,14,16,13,,,,,20,12,,,,,,,11,,8,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-20,,,,,,,,,61,53,44,44,,,,8,,32,25,25,23,14,16,13,,,,,20,12,,,,,,,11,,8,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,,,,,,,,,61,54,44,44,,,,8,,32,26,25,23,14,16,13,,,,,20,12,,,,,,,11,,8,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,,,,,,,,,63,54,44,47,,,,10,,31,26,26,20,14,16,13,,,,,20,12,,,,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,,,,,,,,,67,55,42,47,,,,10,,31,27,25,20,14,16,13,14,,,,20,10,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,172,,,,106,79,,67,67,61,41,47,,40,,26,35,33,,,,,,,,,,,,,,28,,34,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,177,,,,106,78,,67,67,64,46,49,,40,41,25,35,31,,,,,,,,,,,,,,28,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,181,,,,106,78,,110,72,64,46,49,,39,40,26,35,29,26,,,,,,,,,,,,,28,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-27,,,,,,,,,66,64,47,49,,,,10,,28,26,24,22,22,13,,10,,10,,13,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-28,176,152,,,106,81,61,69,70,62,47,49,40,38,39,38,38,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,,,,,,,,,65,63,49,51,,,,10,40,28,27,24,22,22,13,12,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,176,153,114,109,106,81,73,69,66,63,49,48,42,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
