date,Stockholm,Vasteras,Gothenburg,"Stockholm County",Malmo,Linkoping,"See More",Boras,Jonkoping
2015-05-28,10,,6,,,,,,5
2015-05-29,12,,5,5,,,,,5
2015-05-30,11,,5,5,,,,,5
2015-05-31,11,,5,5,,,,,5
2015-06-01,12,,5,5,,,,,
2015-06-02,12,,5,5,,,,,
2015-06-03,12,,6,,,5,,,
2015-06-04,13,,7,6,,5,,,
2015-06-05,13,,6,5,,5,,,
2015-06-06,13,,7,5,,5,,,
2015-06-07,12,,7,5,,5,,,
2015-06-08,14,,7,6,,5,,,
2015-06-09,16,,7,7,,5,,,
2015-06-10,15,,7,10,,5,,,
2015-06-11,16,,7,9,,5,,,
2015-06-12,16,,6,10,,5,,,
2015-06-13,16,,6,10,,5,,,
2015-06-14,16,,6,10,,5,,,
2015-06-15,18,,6,10,,,,,
2015-06-16,19,,6,11,,,,,
2015-06-17,18,,6,11,,,,,
2015-06-18,18,,6,11,,,,,
2015-06-19,17,,7,11,,,,,
2015-06-20,17,,7,9,,,,,
2015-06-21,17,,7,9,,,,,
2015-06-22,18,,8,9,,5,,,
2015-06-23,18,,8,9,,5,,,
2015-06-24,18,,8,9,,5,,,
2015-06-25,18,,6,7,,,,,
2015-06-26,21,,6,8,,,,,
2015-06-27,25,,7,9,,,,,
2015-06-28,26,17,7,9,,,,,
2015-06-29,25,17,7,9,,6,,,
2015-06-30,24,17,7,8,,6,,,
2015-07-01,29,16,7,8,,6,6,8,
2015-07-02,22,16,10,8,5,6,5,,
2015-07-03,23,16,8,8,5,5,5,,
2015-07-04,22,16,9,8,5,5,5,,
