date,"VCD IT Groep",GlobalCollect,Accenture,EY,Hays,Capgemini,Topicus,Oracle,Microsoft,"See More",Liander,"Spring Technology","Sogeti Netherlands",Valid,IBM,"Working Class Heroes",EclipseIT,"de Bijenkorf","Sogeti Nederland","Computer Futures, ein Geschäftszweig der SThree GmbH",ilionx,"HUMANCAPiTAL BV","CareerValue B.V.","Twente Branding","PHP Professionals",ChipSoft,"WFM People","Info Support","Liberty Global"
2015-05-28,12,22,,8,,,5,,,5,,,,,,,,,5,,,,,,,,,5,5
2015-05-28,12,22,,8,,,5,,,5,,7,,,,,,,5,,,,,,,,,5,5
2015-05-29,12,23,,8,,,,,,5,,7,,,,,,,5,,,,,,,,,5,5
2015-05-30,12,23,,8,,,,,,5,,7,,,,,,,5,,,,,,,,,5,5
2015-05-31,12,23,,8,,,,,,5,,7,,,,,,,5,,,,,,,,,5,5
2015-06-01,13,24,,8,,5,,,,5,,7,,,,,,,5,,,,,,,,,5,5
2015-06-02,13,25,,5,,5,,,,5,,7,,,,,,,5,,,,,,,,,5,5
2015-06-03,13,25,,9,,5,,,,5,,7,,,,,,,,,,,,,,,,5,5
2015-06-04,13,25,,9,,6,5,,,5,,7,,,,,,,,,,,,,,,,5,6
2015-06-05,13,25,5,9,,6,5,,,5,,7,,,,,,,,,,,,,,,,5,6
2015-06-06,12,25,5,9,,6,5,,,5,,7,,,,,,,,,,,,,,,,5,6
2015-06-07,12,25,5,9,,6,5,,,5,,7,,,,,,,,,,,,,,,,5,5
2015-06-08,12,25,5,9,,5,5,5,,5,,7,,,,,,,,,,,,,,,,5,5
2015-06-09,12,25,5,9,5,6,5,,,5,,7,,,,,,,,,,,,,,,,5,6
2015-06-10,12,25,5,9,5,6,5,,,5,,7,,,,,,,,,,,,,,,,5,6
2015-06-11,12,25,6,9,5,8,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-12,12,25,5,9,5,8,6,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-13,12,25,5,9,5,8,6,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-14,12,25,5,9,5,8,6,5,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-15,12,25,5,9,7,8,6,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-16,12,25,5,9,7,8,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-17,12,25,5,9,7,8,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-18,12,25,5,9,7,8,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-19,12,25,5,9,7,8,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-20,12,25,,9,7,8,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-21,12,25,,9,7,8,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-22,12,25,,9,8,7,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-23,12,25,,9,8,7,5,,,5,,7,,,,,,,,,,,,,,,,5,7
2015-06-24,12,25,7,9,8,7,5,,,5,,7,,,,,,,,,,,,,,,,5,6
2015-06-25,12,24,7,9,8,7,5,,,5,6,7,,,,,,,,,,,,,,,,5,6
2015-06-26,12,24,8,9,8,7,5,,,5,6,7,,,,,,,,,,,,11,5,,6,5,
2015-06-27,22,24,8,9,8,11,,,,6,6,6,,,,44,9,,,,10,6,8,10,8,,,,
2015-06-28,22,24,8,9,8,13,,,,7,,,,,,44,9,11,,9,10,,8,10,8,7,,,
2015-06-29,28,24,8,9,8,13,,,,8,,,,,,44,9,11,,9,10,10,9,9,8,,,,
2015-06-30,28,23,8,9,8,12,,,,8,11,,,,,44,14,11,,9,10,10,9,9,,,,,
2015-07-01,30,25,,9,8,14,,,,8,,,,,,46,14,12,12,11,10,10,10,9,8,,,,
2015-07-02,30,25,7,5,6,14,6,,,5,,6,38,,,,,,,,,,,,,,,,
2015-07-03,14,24,6,5,7,13,6,,,5,,6,44,5,,,,,,,,,,,,,,,
2015-07-04,14,24,6,5,7,13,,,,5,,6,44,5,5,,,,,,,,,,,,,,
2015-07-05,23,24,5,5,7,11,,,,5,,6,45,5,5,,,,,,,,,,,,,,
2015-07-07,30,24,5,5,7,11,6,,,5,,7,47,5,,,,,,,,,,,,,,,
2015-07-08,29,25,5,9,8,10,6,,,5,,7,47,5,,,,,,,,,,,,,,,
2015-07-09,31,25,5,9,10,9,6,,,5,,7,48,5,,,,,,,,,,,,,,,
2015-07-10,31,24,7,9,10,10,6,,,5,7,7,48,5,,,,,,,,,,,,,,,
2015-07-11,21,23,6,9,10,8,6,,,6,7,7,15,,,,,,,,,,,,,,,,
2015-07-12,12,23,6,9,11,7,6,,,6,6,7,,,,,,,,,,,,,,,,,
2015-07-13,12,22,6,9,11,7,6,,,6,6,7,,,,,,,,,,,,,,,,,
2015-07-14,16,23,6,9,9,9,6,,,6,6,,,,,,,,,,,,,,,,,,
2015-07-15,17,23,11,9,9,8,6,5,,5,7,,,,,,,,,,,,,,,,,,
2015-07-16,28,24,11,9,9,8,6,5,5,5,,,,,,,,,,,,,,,,,,,
