date,Madrid,Barcelona,Bilbao
2015-05-28,33,20,
2015-05-29,30,23,5
2015-05-30,30,19,
2015-05-31,28,23,5
2015-06-01,28,19,
2015-06-02,28,20,
2015-06-03,30,22,
2015-06-04,36,22,5
2015-06-05,35,24,5
2015-06-06,41,23,6
2015-06-07,39,21,
2015-06-08,36,19,5
2015-06-09,36,19,5
2015-06-10,37,22,
2015-06-11,34,17,
2015-06-12,33,21,
2015-06-13,35,21,
2015-06-14,35,22,
2015-06-15,35,28,
2015-06-16,32,28,
2015-06-17,25,28,6
2015-06-18,25,26,6
2015-06-19,29,28,6
2015-06-20,27,28,6
2015-06-21,28,26,5
2015-06-22,24,26,5
2015-06-23,25,26,7
2015-06-24,28,26,7
