date,Madrid,Barcelona
2015-05-28,31,19
2015-05-29,33,19
2015-05-30,25,16
2015-05-31,31,18
2015-06-01,26,15
2015-06-02,27,14
2015-06-03,26,14
2015-06-04,33,17
2015-06-05,39,20
2015-06-06,40,19
2015-06-07,39,18
2015-06-08,38,21
2015-06-09,38,21
2015-06-10,36,16
2015-06-11,37,16
2015-06-12,38,19
2015-06-13,35,20
2015-06-14,36,20
2015-06-15,37,19
2015-06-16,38,22
2015-06-17,37,20
2015-06-18,40,20
2015-06-19,39,21
2015-06-20,38,22
2015-06-21,39,20
2015-06-22,39,21
2015-06-23,39,23
2015-06-24,37,23
2015-06-25,35,22
2015-06-26,32,21
2015-06-27,31,20
2015-06-28,30,21
2015-06-29,30,21
2015-06-30,38,21
2015-07-01,36,20
2015-07-02,36,19
2015-07-03,38,19
