date,Munich,Berlin,Stuttgart,"Frankfurt Am Main",Cologne,Hamburg,Erfurt,"See More",Nürnberg,"Kreisfreie Stadt Aachen",Würzburg,Karlsruhe,Regensburg,Hannover,Leipzig,Mannheim,Bremen,Dresden
2015-05-27,193,151,67,123,126,91,16,10,10,10,11,,12,,12,21,13,
2015-05-27,184,145,67,122,125,94,16,9,,10,11,,12,,12,20,11,9
2015-05-28,182,145,66,120,125,96,16,9,,10,11,,12,,12,20,11,9
2015-05-28,188,146,66,120,125,98,16,9,,10,11,,12,,12,21,11,9
2015-05-29,202,145,72,122,118,99,16,10,10,10,11,,12,,12,20,10,
2015-05-30,188,145,71,121,115,100,16,10,,10,12,,12,11,12,20,10,
2015-05-31,194,140,71,120,116,99,16,10,10,10,12,,12,12,,20,10,
2015-06-01,204,143,70,120,113,105,16,9,9,10,12,,13,12,,19,10,
2015-06-02,53,38,26,22,34,18,,18,,,,,,,,,,
2015-06-03,212,149,83,119,124,111,16,8,8,12,12,,13,9,11,21,,
2015-06-04,241,154,85,157,131,100,16,10,10,20,12,,15,11,12,17,,
2015-06-05,236,166,88,149,131,97,16,11,83,20,12,,14,16,11,14,,
2015-06-06,236,169,88,151,129,99,16,11,82,19,12,,14,16,11,11,,
2015-06-07,237,166,84,144,124,97,16,10,83,18,12,,14,16,10,10,,
2015-06-08,237,169,84,143,125,95,16,10,83,18,12,,14,16,10,10,,
2015-06-09,249,172,88,159,141,118,16,12,85,18,12,,14,19,14,15,,
2015-06-10,242,171,88,156,142,118,16,12,90,18,12,,14,19,14,13,,
2015-06-11,55,45,42,24,35,25,,24,,,,,,,,,,
2015-06-12,48,46,43,25,35,25,,25,,,,,,,,,,
2015-06-13,49,46,45,23,36,24,,23,,,,,,,,,,
2015-06-14,241,187,100,158,146,130,16,12,101,18,12,,14,16,15,14,,
2015-06-15,253,186,102,158,143,130,16,12,102,18,12,,14,18,16,13,,
2015-06-16,56,45,45,24,34,24,,24,,,,,,,,,,
2015-06-17,57,45,44,24,33,23,,23,,,,,,,,,,
2015-06-18,58,44,44,25,36,24,,24,,,,,,,,,,
2015-06-19,56,44,44,24,34,23,,23,,,,,,,,,,
2015-06-20,254,181,89,137,124,96,17,11,103,21,15,,13,16,11,11,,
2015-06-21,60,47,42,24,36,24,,24,,,,,,,,,,
2015-06-22,252,176,88,141,117,96,17,10,103,20,15,,13,16,10,12,,
2015-06-23,58,46,38,25,33,23,,23,,,,,,,,,,
2015-06-24,58,46,39,24,32,22,,22,,,,,,,,,,
2015-06-25,58,43,36,24,30,21,,21,,,,,,,,,,
2015-06-26,58,45,36,24,30,22,,22,,,,,,,,,,
2015-06-27,57,45,35,19,32,23,,19,,,,,,,,,,
2015-06-28,244,189,90,164,127,95,19,9,106,20,15,13,13,10,9,,,
2015-06-29,245,183,91,162,124,93,19,9,101,18,15,13,13,9,9,,,
2015-06-30,241,181,93,161,122,95,17,9,101,18,15,13,13,9,9,,,
2015-07-01,49,42,35,25,34,20,,20,,,,,,,,,,
2015-07-02,49,41,38,22,34,18,,18,,,,,,,,,,
2015-07-03,51,40,38,23,34,17,,17,,,,,,,,,,
2015-07-04,53,41,39,27,34,17,,17,,,,,,,,,,
2015-07-05,54,41,39,27,34,17,,17,,,,,,,,,,
2015-07-06,50,41,39,27,34,17,,17,,,,,,,,,,
2015-07-07,52,41,39,26,33,20,5,5,,,,,,,,,,
2015-07-08,50,41,38,26,35,22,5,5,,,,,,,,,,
2015-07-09,52,40,37,27,32,17,5,5,,,,,,,,,,
2015-07-10,52,42,36,26,32,19,,19,,,,,,,,,,
2015-07-11,54,42,38,27,33,21,5,5,,,,,,,,,,
2015-07-12,56,42,38,28,32,21,5,5,,,,,,,,,,
2015-07-13,57,42,39,27,32,22,5,5,,,,,,,,,,
2015-07-14,57,43,39,30,31,22,5,5,,,,,,,,,,
2015-07-15,54,41,39,30,30,24,5,5,,,,,,,,,,
2015-07-16,55,40,39,29,31,24,5,5,,,,,,,,,,
2015-07-17,56,39,36,29,31,23,5,5,,,,,,,,,,
2015-07-18,56,38,36,28,33,23,5,5,,,,,,,,,,
2015-07-19,56,38,34,28,30,23,5,5,,,,,,,,,,
2015-07-20,54,39,33,32,29,24,5,5,,,,,,,,,,
