date,dbg,Deloitte,"TNS UK","Xpat Jobs.com",Acrotrend
2015-03-11,10,,,,
2015-03-12,10,5,,,5
2015-03-16,10,8,,,5
2015-03-18,11,9,,,5
2015-03-18,11,8,,,5
2015-03-19,11,8,,,5
2015-03-20,11,8,,,5
2015-03-21,11,8,,,5
2015-03-22,11,8,,,5
2015-03-23,11,8,,,5
2015-03-24,11,8,,,5
2015-03-25,9,8,,,5
2015-03-26,9,8,,,5
2015-03-27,10,8,,,
2015-03-28,10,8,,,
2015-03-29,10,8,,,
2015-03-30,12,8,,,
2015-03-31,12,8,,,
2015-04-01,12,8,5,,
2015-04-02,14,7,5,,
2015-04-03,14,7,5,,
2015-04-04,14,7,5,,
2015-04-05,14,7,5,,
2015-04-06,14,7,5,,
2015-04-07,14,7,5,,
2015-04-08,16,7,5,,
2015-04-09,15,7,5,,
2015-04-10,16,7,5,,
2015-04-11,15,7,5,,
2015-04-12,15,7,5,,
2015-04-13,15,7,5,,
2015-04-14,15,7,5,,
2015-04-15,15,7,5,,
2015-04-16,14,7,5,,
2015-04-17,15,7,5,,
2015-04-18,13,7,5,45,
2015-04-19,13,7,5,66,
2015-04-20,13,7,5,66,
2015-04-21,13,7,5,,
2015-04-22,13,7,5,,
2015-04-23,15,7,5,,
