date,Madrid,Barcelona,"A Coruña"
2015-05-28,34,23,
2015-05-29,39,21,
2015-05-30,35,21,
2015-05-31,39,21,
2015-06-01,36,21,
2015-06-02,26,18,
2015-06-03,37,19,
2015-06-04,48,21,5
2015-06-05,46,22,
2015-06-06,49,23,
2015-06-07,38,21,
2015-06-08,47,24,
2015-06-09,47,23,
2015-06-10,49,22,
2015-06-11,46,18,
2015-06-12,38,18,
2015-06-13,35,18,
2015-06-14,40,18,
2015-06-15,38,18,
2015-06-16,34,18,
2015-06-17,33,17,
2015-06-18,33,18,
2015-06-19,41,20,
2015-06-20,38,19,
2015-06-21,35,18,
2015-06-22,38,19,
2015-06-23,36,19,
