date,Madrid,Barcelona,Murcia,Valencia,Bilbao,Málaga,"A Coruña","See More",Gijón,Valladolid,Vigo,León,Zaragoza,Sevilla
2015-05-28,230,97,7,8,,10,6,5,,,5,7,,6
2015-05-29,238,101,8,9,,9,6,5,,5,5,7,,5
2015-05-30,223,97,8,8,,8,5,5,,,5,7,,
2015-05-31,233,96,,,,9,6,5,,5,5,6,,5
2015-06-01,221,96,7,6,,9,5,5,,,5,7,,
2015-06-02,225,94,7,6,,9,5,5,,,5,7,,
2015-06-03,233,88,7,6,,8,,6,,,,6,,
2015-06-04,253,106,7,,,8,7,5,,,5,5,,
2015-06-05,266,112,8,8,6,8,7,5,5,,6,,,
2015-06-06,277,113,14,10,9,8,7,5,6,6,6,,7,5
2015-06-07,263,107,12,,,8,,5,,6,6,,,5
2015-06-08,252,107,7,,,8,,5,,5,6,,,
2015-06-09,251,110,7,7,7,7,6,5,6,5,6,,,
2015-06-10,259,110,12,9,8,7,7,5,7,6,7,5,5,
2015-06-11,267,117,8,10,7,7,6,6,7,6,6,,,
2015-06-12,269,114,8,10,7,7,6,5,6,5,5,,,
2015-06-13,257,112,9,8,6,6,5,5,,,,,,
2015-06-14,256,110,9,8,6,6,5,5,,,,,,
