date,Madrid,Barcelona,Murcia,Málaga,Valladolid,Vigo,Sevilla,"See More",Valencia,Bilbao,"A Coruña",Zaragoza,Gijón,León
2015-05-28,230,97,7,10,,5,6,5,8,,6,,,7
2015-05-29,238,101,8,9,5,5,5,5,9,,6,,,7
2015-05-30,223,97,8,8,,5,,5,8,,5,,,7
2015-05-31,233,96,,9,5,5,5,5,,,6,,,6
2015-06-01,221,96,7,9,,5,,5,6,,5,,,7
2015-06-02,225,94,7,9,,5,,5,6,,5,,,7
2015-06-03,233,88,7,8,,,,6,6,,,,,6
2015-06-04,253,106,7,8,,5,,5,,,7,,,5
2015-06-05,266,112,8,8,,6,,5,8,6,7,,5,
2015-06-06,277,113,14,8,6,6,5,5,10,9,7,7,6,
2015-06-07,263,107,12,8,6,6,5,5,,,,,,
