date,"Linear algebra",Calculus,Mathematics,Statistics,Probability,RStudio,"Data analytics","Data analysis"
2015-03-11,15,22,1406,2271,82,0,631,1219
2015-03-12,17,26,1421,1093,71,0,604,1281
2015-03-16,16,24,1553,2443,85,0,816,1272
2015-03-18,15,26,1491,2461,87,0,833,1330
2015-03-18,9,26,1483,2465,84,0,831,1320
2015-03-19,15,28,1498,2455,83,0,841,1316
2015-03-20,14,27,1494,1154,88,0,836,1333
2015-03-21,14,25,1493,2449,87,0,829,1323
2015-03-22,14,25,1486,2429,86,0,825,1312
2015-03-23,14,26,1506,2425,91,0,816,1276
2015-03-24,14,26,1541,2395,88,0,810,1274
2015-03-25,13,26,1555,2402,87,0,808,1267
2015-03-26,13,26,1580,2351,84,0,780,1252
2015-03-27,13,25,1572,2396,89,0,786,1279
2015-03-28,13,25,1519,2351,87,0,770,1246
2015-03-29,13,25,1655,1056,87,0,774,1253
2015-03-30,12,25,1580,2366,89,0,771,1242
2015-03-31,12,23,1623,1090,88,0,698,1268
2015-04-01,11,25,1621,2404,82,0,549,1269
2015-04-02,10,22,1698,2448,82,0,774,1281
2015-04-03,11,20,1333,2466,79,0,764,1288
2015-04-04,10,20,1703,2389,77,0,775,1214
2015-04-05,10,21,1730,2388,80,0,763,1271
2015-04-06,10,21,1736,2374,79,0,766,1266
2015-04-07,10,23,1836,2484,84,0,785,1327
2015-04-08,11,24,1933,2686,79,0,867,1387
2015-04-09,11,24,1931,2675,82,0,841,1351
2015-04-10,11,24,1948,2698,83,0,841,1362
2015-04-11,10,23,1816,2684,81,0,839,1370
2015-04-12,10,23,1812,2668,80,0,827,1355
2015-04-13,10,23,1795,2662,75,0,832,1371
2015-04-14,8,24,1888,2698,76,0,843,1469
2015-04-15,9,21,1921,2699,74,0,833,1493
2015-04-16,8,20,1996,2710,71,0,828,1522
2015-04-17,8,20,2050,2871,74,0,832,1582
2015-04-18,9,24,2677,5032,92,0,1006,2152
2015-04-19,9,28,3088,5814,98,0,1100,2484
2015-04-20,10,33,3070,5996,93,0,1091,2434
2015-04-21,9,25,2001,2679,68,0,868,1517
2015-04-22,10,26,1880,2656,68,0,787,1495
2015-04-23,10,27,1837,2686,0,0,802,1482
2015-04-24,10,29,1790,2688,73,0,795,1469
2015-04-25,11,29,1803,2733,75,0,806,1466
2015-04-26,11,29,1791,2631,72,0,803,1450
2015-04-27,11,29,1785,2656,76,0,813,1463
2015-04-28,11,27,1798,2694,77,0,829,1469
2015-04-29,11,27,1790,2728,75,0,847,1465
2015-04-30,11,29,1782,2743,75,0,840,1527
2015-05-01,12,29,1747,2756,75,0,837,1510
2015-05-02,12,28,1669,2733,75,0,828,1503
2015-05-03,12,27,1523,2637,73,0,803,1465
2015-05-04,11,28,1523,2692,77,0,816,1426
2015-05-05,11,27,1515,2709,75,0,806,1416
2015-05-06,11,27,1516,2728,76,0,825,1456
2015-05-07,12,28,1537,2775,74,0,813,1424
2015-05-08,12,26,1496,2775,73,0,810,1436
2015-05-09,12,25,1529,2787,72,0,814,1503
2015-05-10,12,24,1516,2802,72,0,812,1515
2015-05-11,14,27,1596,2936,76,0,827,1559
2015-05-12,14,27,1614,3017,79,0,825,1593
2015-05-13,13,28,1615,2944,81,0,820,1580
2015-05-14,14,26,1534,2923,81,0,814,1579
2015-05-15,16,28,1534,2965,89,0,828,1567
2015-05-16,16,30,1510,2908,85,0,828,1586
2015-05-17,16,31,1498,2885,85,0,820,1612
2015-05-18,16,31,1529,2843,87,0,814,1603
2015-05-19,16,28,1572,2906,86,0,826,1626
2015-05-20,16,31,1585,2910,92,0,847,1585
2015-05-21,17,33,1555,2893,93,0,821,1594
2015-05-22,17,32,1579,2899,91,0,830,1599
2015-05-23,16,34,1589,2894,89,0,836,1607
2015-05-24,16,30,1569,2866,85,0,827,1599
2015-05-25,16,27,1535,2853,86,0,806,1574
2015-05-26,15,26,1557,2842,84,0,810,1597
2015-05-27,15,25,1543,2773,87,0,799,1587
2015-05-27,14,25,1533,2761,87,0,0,1579
2015-05-28,14,25,1518,2726,95,0,814,1520
2015-05-29,14,26,1498,2774,88,0,876,1492
2015-05-30,14,27,1514,2563,88,0,826,1333
2015-05-31,13,28,1515,1206,90,0,892,1408
2015-06-01,13,28,1524,2588,90,0,905,1427
2015-06-02,14,25,1529,1245,92,0,916,1450
2015-06-03,11,29,1608,2733,95,0,921,1476
2015-06-04,16,29,1649,2776,94,0,729,1371
2015-06-05,16,26,1655,2793,94,0,716,1468
2015-06-06,10,25,1242,2829,93,0,733,1492
2015-06-07,16,25,1156,1236,93,0,711,1410
