date,"Lineare Algebra",Infinitesimalrechnung,Mathematik,Statistik,Wahrscheinlichkeit,RStudio,Datenanalyse
2015-05-28,0,0,0,72,0,0,0
2015-05-28,0,0,0,72,0,0,0
2015-05-29,0,0,0,75,0,0,0
2015-05-30,0,0,0,74,0,0,0
2015-05-31,0,0,0,74,0,0,0
2015-06-01,0,0,0,78,0,0,0
2015-06-02,0,0,0,78,0,0,0
2015-06-03,0,0,0,81,0,0,0
2015-06-04,0,0,0,83,0,0,0
2015-06-05,0,0,0,84,0,0,0
2015-06-06,0,0,0,81,0,0,0
2015-06-07,0,0,0,78,0,0,0
2015-06-08,0,0,0,75,0,0,0
2015-06-09,0,0,0,76,0,0,0
2015-06-10,0,0,0,71,0,0,0
2015-06-11,0,0,0,73,0,0,0
2015-06-12,0,0,0,71,0,0,0
