date,"Lineare Algebra",Infinitesimalrechnung,Mathematik,Statistik,Wahrscheinlichkeit,RStudio,Datenanalyse
2015-05-27,3,0,1531,736,18,0,236
2015-05-27,3,0,1527,726,18,0,233
2015-05-28,3,0,1516,729,18,0,226
2015-05-28,3,0,1523,731,18,0,226
2015-05-29,2,0,1600,752,18,0,236
2015-05-30,2,0,1595,744,18,0,231
2015-05-31,3,0,1587,738,18,0,231
2015-06-01,3,0,1597,741,18,0,232
2015-06-02,3,0,1575,733,18,0,227
2015-06-03,3,0,1636,757,19,0,239
2015-06-04,3,0,1684,771,19,0,250
2015-06-05,3,0,1566,759,18,0,247
2015-06-06,3,0,1685,772,18,0,252
2015-06-07,3,0,1666,779,18,0,229
2015-06-08,3,0,1647,765,18,0,252
2015-06-09,3,0,1660,816,10,0,246
2015-06-10,3,0,1655,320,10,0,261
2015-06-11,3,0,1698,368,10,0,271
2015-06-12,3,0,1783,846,9,0,265
2015-06-13,3,0,1767,361,8,0,264
2015-06-14,3,0,1722,840,8,0,263
2015-06-15,3,0,1740,362,8,0,265
2015-06-16,3,0,1728,850,13,0,277
2015-06-17,3,0,1774,355,13,0,282
