date,"Linear algebra",Calculus,Mathematics,Statistics,Probability,RStudio,"Data analytics","Data analysis"
2015-05-28,0,0,143,292,3,0,78,148
2015-05-29,0,0,144,291,4,0,80,152
2015-05-30,0,0,145,291,4,0,77,151
2015-05-31,0,0,140,288,4,0,76,147
2015-06-01,0,0,143,288,5,0,74,143
2015-06-02,0,0,146,299,6,0,75,149
2015-06-03,0,0,149,298,6,0,75,160
2015-06-04,0,0,150,311,6,0,72,163
2015-06-05,0,0,145,301,6,0,70,165
2015-06-06,0,0,146,296,6,0,72,161
2015-06-07,0,0,145,295,6,0,71,158
2015-06-08,0,0,149,298,7,0,70,160
2015-06-09,0,0,161,299,7,0,77,161
2015-06-10,0,0,164,302,6,0,77,160
2015-06-11,0,0,155,285,6,0,87,156
2015-06-12,0,0,150,290,6,0,86,154
2015-06-13,0,0,151,291,6,0,86,153
2015-06-14,0,0,150,288,6,0,86,145
2015-06-15,0,0,152,284,7,0,84,151
2015-06-16,0,0,153,295,7,0,85,154
2015-06-17,0,0,156,306,8,0,88,162
2015-06-18,0,0,154,311,8,0,88,158
2015-06-19,0,0,152,318,8,0,89,157
2015-06-20,0,0,150,311,8,0,87,157
2015-06-21,0,0,150,314,8,0,86,155
2015-06-22,0,0,153,317,9,0,90,153
2015-06-23,0,0,156,319,8,0,89,153
2015-06-24,0,0,147,313,8,0,90,149
2015-06-25,0,0,151,314,8,0,85,154
2015-06-26,0,0,146,308,7,0,82,146
