date,London,Manchester,Slough,Birmingham,"Milton Keynes",Guildford,Twickenham,Watford,Reading,Chester,Leeds,Redhill,"See More"
2015-03-11,138,,,,,,6,,6,,,,
2015-03-12,161,,5,,,,7,,7,,,,
2015-03-16,166,,,,,,7,,6,,,,
2015-03-18,170,,,,,,7,,7,,,,
2015-03-18,170,,,,,,7,,7,,,,
2015-03-19,169,,,,,,7,,5,,,,
2015-03-20,175,,,,,,7,,6,,,,
2015-03-21,173,,,,,,7,,6,,,,
2015-03-22,172,,,,,,7,,6,,,,
2015-03-23,168,,,,,,8,,5,,,,
2015-03-24,161,,,,,,8,,,,,,
2015-03-25,160,,,,,,8,,,,,,
2015-03-26,151,,,,,,8,,5,,,,
2015-03-27,161,,,,,,6,,5,,,,
2015-03-28,159,,,,,,6,,5,,,,
2015-03-29,156,,,,,,6,,5,,,,
2015-03-30,153,,,,,,6,,6,,,,
2015-03-31,152,,,,,,6,,6,,,,
2015-04-01,142,,,,,,6,,7,,,,
2015-04-02,136,,,,,,6,,6,,,,
2015-04-03,136,,,,,,5,,6,,,,
2015-04-04,134,,,,,,5,,6,,,,
2015-04-05,132,,,,,,5,,6,,,,
2015-04-06,132,,,,,,5,,6,,,,
2015-04-07,135,,,,,,6,,6,,,,
2015-04-08,140,,,,5,,6,,6,,,,
2015-04-09,134,,,,,,5,,7,,,,
2015-04-10,142,,,,,,5,,7,,,,
2015-04-11,146,,,,,,5,6,7,,,,
2015-04-12,144,,,,,,5,6,7,,,,
2015-04-13,142,,,,,,5,6,7,,,,
2015-04-14,139,,,,,,5,6,7,5,,,
2015-04-15,141,,,,5,,,6,7,5,,,
2015-04-16,144,,,,5,,,6,6,5,,,
2015-04-17,149,,,,5,,5,7,5,,,,
2015-04-18,184,,,,,,6,8,5,5,,,
2015-04-19,225,,,,5,,6,10,5,6,,5,5
2015-04-20,233,,,,5,,5,10,6,6,6,5,5
2015-04-21,149,,,,,,5,5,5,,,,
2015-04-22,145,,,,,,5,5,,,,,
2015-04-23,145,,,,,,5,5,5,,,,
2015-04-24,145,,,,,,5,6,,,,,
2015-04-25,146,,,,,,5,5,,,,,
2015-04-26,146,,,,,,5,5,,,,,
2015-04-27,148,,,,,,5,5,,,,,
2015-04-28,151,,,,,,5,5,,,,,
2015-04-29,152,,,,,,5,5,,,,,
2015-04-30,156,,,,,,5,5,,,,,
2015-05-01,154,,,,,,5,6,,,,,
2015-05-02,151,,,,,,5,,,,,,
2015-05-03,148,,,,,,5,,,,,,
2015-05-04,154,,,,,,5,,,,,,
2015-05-05,155,,,,,,5,,,,,,
2015-05-06,157,,,,,,5,,,,,,
2015-05-07,155,,,,,,,,,,,,
2015-05-08,160,,,,,,,,,,,,
2015-05-09,160,,,,,,,,,,,,
2015-05-10,156,,,,,,,,,,,,
2015-05-11,154,,,,,,,,,,,,
2015-05-12,155,,,,,,,,,,,,
2015-05-13,154,,,,,,,,,,,,
2015-05-14,155,,,,,,,,,,,,
2015-05-15,162,,5,,,5,,,,,,,
2015-05-16,162,,5,,,5,,,,,,,
2015-05-17,160,,5,,5,5,,,,,,,
2015-05-18,165,,5,,5,,,,,,,,
2015-05-19,167,,5,,5,,,,,,,,
2015-05-20,175,,5,,,,,,,,,,
2015-05-21,174,,5,5,5,,,,,,,,
2015-05-22,181,5,5,,,,,,,,,,
2015-05-23,179,,,,,,,,,,,,
2015-05-24,178,,,,,,,,,,,,
2015-05-25,177,,,,,,,,,,,,
2015-05-26,174,,,,,,,,,,,,
2015-05-27,178,,,,,,,,,,,,
