date,"TeamQuest Sp z o.o.","Progresso Sp. z o.o.",Capgemini,"BRASCO RECRUITMENT LTD","Rule Financial (Part of the GFT Group)","Dyna Consulting","Human &amp; Hunter","New-Invest Recruitment Agency","NBC Sp. z o.o.","Adecco Poland","Sii Sp. z. o. o.",Cyclad,"LSJ Human Resources Group","EURO WORK","Grupa Wirtualna Polska","See More"
2015-05-28,,,6,,,,,,,,,,,,,
2015-05-29,,,6,,,,,,,,,,,,,
2015-05-30,,,6,,,,,,,,,,,,,
2015-05-31,,,6,,,,,,,,,,,,,
2015-06-01,,,6,,,,,,,,,,,,,
2015-06-02,,,6,,,,,,,,,,,,,
2015-06-03,,,6,,,,,,,,,,,,,
2015-06-04,,,6,,,,,,,,,,,,,
2015-06-05,,,6,,,,,,,,,,,,,
2015-06-06,,,6,,,,,,,,,,,,,
2015-06-07,,,6,,,,,,,,,,,,,
2015-06-08,,,6,,,,,,,,,,,,,
2015-06-09,,,6,,,,,,,,,,,,,
2015-06-10,,,6,,,,,,,,,,,,,
2015-06-11,,,6,,,,,,,,,,,,,
2015-06-12,,,6,,,,,,,,,,,,,
2015-06-13,,,6,,,,,,,,,,,,,
2015-06-24,,,5,,,,,,,,,,,,,
2015-06-25,,,5,,,,,,,,,,,,,
2015-06-26,8,,15,,,,,,,,,,,,,
2015-06-27,216,29,17,12,10,8,8,8,7,7,7,6,6,6,5,5
