date,London,Cambridge,Twickenham,Reading,Redhill,Edinburgh,Oxford,Manchester,Slough
2015-03-11,112,,,7,,,,,
2015-03-12,115,,,6,,,,,
2015-03-16,109,,6,5,,,8,,
2015-03-18,125,,6,,,,8,,
2015-03-18,123,,6,,,,8,,
2015-03-19,129,,5,,,,8,,
2015-03-20,129,,,,,,8,,
2015-03-21,123,,,,,,8,,
2015-03-22,123,,,,,,8,,
2015-03-23,123,,,,,,9,,
2015-03-24,128,,,,,,9,,
2015-03-25,125,,,,,,9,,
2015-03-26,123,,,,,,9,,5
2015-03-27,121,,,,,,9,,5
2015-03-28,121,,,5,,,9,,6
2015-03-29,121,,,5,,,9,,6
2015-03-30,120,,,5,,,9,,6
2015-03-31,122,,,5,,,9,,5
2015-04-01,129,,,5,,,9,,5
2015-04-02,131,,,5,,,9,,
2015-04-03,133,,,5,,,9,,
2015-04-04,136,,,5,,,9,,
2015-04-05,134,,,,,,9,,
2015-04-06,134,,,,,,9,,
2015-04-07,136,,,,,,9,,
2015-04-08,140,,,5,,,9,,
2015-04-09,140,,,,,,9,5,
2015-04-10,144,,,,,,9,5,
2015-04-11,147,,,,,,10,5,
2015-04-12,145,,,,,,10,5,
2015-04-13,145,,,,,,10,5,
2015-04-14,141,,,,,,10,5,
2015-04-15,144,,,,,,10,5,
2015-04-16,144,,,,,,9,5,
2015-04-17,153,,,,,,9,5,
2015-04-18,173,,,9,,,12,5,
2015-04-19,189,,,8,,,10,5,
2015-04-20,189,,,10,,,9,5,
2015-04-21,147,,,,,,8,5,
2015-04-22,147,,,,,,9,5,
2015-04-23,139,,,,,,9,,
2015-04-24,139,,,5,,,9,,
2015-04-25,136,,,5,,,9,,
2015-04-26,137,,,5,,,9,,
2015-04-27,147,,,5,,,8,,
2015-04-28,153,,,5,,,8,,
2015-04-29,156,,,5,,,8,,
2015-04-30,159,,,5,,,8,,
2015-05-01,158,,,,,,8,,
2015-05-02,156,,,,,,6,,
2015-05-03,154,,,,,,6,,
2015-05-04,158,,,,,,6,,
2015-05-05,163,,,,,,6,,
2015-05-06,162,,,,,,5,,
2015-05-07,162,,,,,,,,
2015-05-08,160,,,,,,,,
2015-05-09,161,,,,,,,,
2015-05-10,157,,,,,,,,
2015-05-11,159,5,,,,,,,
2015-05-12,150,5,,,,,,,
2015-05-13,155,5,,,,5,,,
2015-05-14,152,5,,,,5,,,
2015-05-15,154,5,,,,5,,,
2015-05-16,156,5,,,,5,,,
2015-05-17,148,5,,,,5,,,
2015-05-18,147,5,,,5,5,,,
2015-05-19,147,5,,,,5,,,
2015-05-20,148,,,,5,,,,
2015-05-21,148,,,,,,,,
2015-05-22,152,,,,,,,,
2015-05-23,149,,,,,,,,
2015-05-24,148,,,,,,,,
2015-05-25,147,,,,,,,,
2015-05-26,150,,,,,,,,
2015-05-27,145,,,,,,,,
2015-05-27,146,,,,,,,,
2015-05-28,148,,,,,,,,
2015-05-29,144,,,,,,,,
2015-05-30,147,,,,,,,,
2015-05-31,146,,,,,,,,
2015-06-01,146,,,,,,,,
2015-06-02,153,,,,,,,,
2015-06-03,156,,,,,,,,
2015-06-04,155,,,5,,,,,
2015-06-05,161,,5,5,,,,,
2015-06-06,150,,,,,,,,
2015-06-07,148,,5,,,,,,
2015-06-08,151,9,5,,,,,,
2015-06-09,164,9,5,,,,,,
2015-06-10,162,10,5,,,,,,
2015-06-11,161,10,,,,,,,
2015-06-12,163,10,5,,,,,,
2015-06-13,162,10,6,5,,,,,
2015-06-14,166,10,5,,,,,,
