date,London
2015-03-11,16
2015-03-12,16
2015-03-16,13
2015-03-18,14
2015-03-18,14
2015-03-19,14
2015-03-20,14
2015-03-21,14
2015-03-22,14
2015-03-23,14
2015-03-24,14
2015-03-25,13
2015-03-26,14
2015-03-27,13
2015-03-28,13
2015-03-29,13
2015-03-30,12
2015-03-31,12
2015-04-01,11
2015-04-02,13
2015-04-03,12
2015-04-04,12
2015-04-05,13
2015-04-06,13
2015-04-07,13
2015-04-08,12
2015-04-09,12
2015-04-10,13
2015-04-11,11
2015-04-12,11
2015-04-13,11
2015-04-14,10
2015-04-15,10
2015-04-16,10
2015-04-17,10
2015-04-18,12
2015-04-19,12
2015-04-20,12
2015-04-21,13
2015-04-22,13
2015-04-23,12
2015-04-24,13
2015-04-25,13
2015-04-26,12
2015-04-27,12
2015-04-28,13
2015-04-29,13
2015-04-30,13
2015-05-01,14
2015-05-02,14
2015-05-03,13
2015-05-04,14
2015-05-05,13
2015-05-06,12
2015-05-07,10
2015-05-08,10
2015-05-09,11
2015-05-10,11
2015-05-11,12
