date,Munich,"Frankfurt Am Main",Cologne,Stuttgart,Berlin,Hamburg,Hannover,Mannheim,Nürnberg,"See More",Braunschweig,Erfurt,Regensburg,Bielefeld
2015-05-27,38,39,39,28,26,19,7,5,,5,,,,5
2015-05-27,37,38,37,28,26,19,7,5,,5,,,,5
2015-05-28,37,34,38,28,26,19,7,,,5,,,,5
2015-05-28,38,33,38,28,27,19,7,,,5,,,,5
2015-05-29,42,35,38,30,26,19,7,,,5,,,,5
2015-05-30,44,39,45,29,30,21,,,,21,,,,
2015-05-31,45,41,45,27,27,21,,,,21,,,,
2015-06-01,44,34,40,26,23,20,7,,,6,,,,6
2015-06-02,42,34,40,27,23,19,6,,,6,,,,6
2015-06-03,44,35,40,31,24,20,6,,,6,,,,6
2015-06-04,48,40,37,31,26,19,7,,,6,,,6,6
2015-06-05,46,35,36,29,27,19,8,,7,6,,,6,
2015-06-06,46,37,36,31,28,20,7,,7,6,,,6,
2015-06-07,46,40,42,34,31,19,,,,19,,,,
2015-06-08,47,41,33,32,28,16,8,,7,6,,,6,
2015-06-09,47,47,47,38,33,20,,,,20,,,,
2015-06-10,47,41,38,32,28,17,7,,7,6,,,6,
2015-06-11,50,45,44,39,34,23,,,,23,,,,
2015-06-12,48,45,44,40,35,24,,,,5,,5,,
2015-06-13,46,42,43,35,34,21,,,,21,,,,
2015-06-14,45,43,43,34,34,20,,,,20,,,,
2015-06-15,48,39,39,31,29,18,9,6,8,5,5,,,
2015-06-16,58,38,41,33,28,19,8,7,8,5,5,,,
2015-06-17,63,36,41,33,27,19,8,7,9,5,5,,,
2015-06-18,67,39,43,33,34,20,,,,20,,,,
2015-06-19,62,36,36,30,27,17,9,7,8,5,5,,,
2015-06-20,65,39,43,32,33,14,,,,14,,,,
2015-06-21,65,40,42,36,33,14,,,,14,,,,
2015-06-22,66,40,41,37,34,15,,,,15,,,,
2015-06-23,62,40,29,31,25,15,10,8,9,8,,,,
2015-06-24,59,41,30,32,24,15,10,10,10,10,,,,
2015-06-25,58,39,33,33,23,13,10,10,10,10,,,,
