date,Proofpoint,Deloitte,dbg,"Williams &amp; Glyn",HSBC,"Head Office","See More","Allianz Group","Application Centre Ltd","KPMG UK","Xpat Jobs.com",IBM,"Careerwise, Inc"
2015-03-11,6,,,,,,,,,,,,
2015-03-12,6,14,,,,,,,,,,,
2015-03-16,6,15,5,,,,,,,,,,
2015-03-18,,16,5,,,,,,,,,,
2015-03-18,5,15,5,,,,,,,,,,
2015-03-19,7,15,5,,,,,,,,,,
2015-03-20,6,15,5,,,,,,,5,,,
2015-03-21,6,15,5,,,,,,,5,,,
2015-03-22,6,15,5,,,,,,,5,,,
2015-03-23,5,16,5,,,,,,,5,,,5
2015-03-24,5,16,5,,,,,,,5,,,
2015-03-25,,15,5,,,,,,,,,,
2015-03-26,,15,5,,,,,,,,,,6
2015-03-27,,16,5,,,,,,,,,,5
2015-03-28,,15,5,,,,,,,,,,
2015-03-29,,15,5,,,,,,,,,,
2015-03-30,,15,6,,,,,,,,,,
2015-03-31,9,15,6,,,,,,,,,,
2015-04-01,11,15,6,,,,,,,,,,
2015-04-02,14,15,8,,,,,,,,,,
2015-04-03,14,15,8,,,,,,,,,,
2015-04-04,14,15,8,,,,,,,,,,
2015-04-05,14,15,8,,,,,,,,,,
2015-04-06,14,16,8,,,,,,,,,,
2015-04-07,14,15,8,,,,,,,,,,
2015-04-08,15,16,10,,,,,,,,,5,
2015-04-09,16,15,10,,,,,,,,,5,
2015-04-10,16,15,10,,,,,,,,,5,
2015-04-11,16,14,9,,,,,,,,,5,
2015-04-12,16,14,9,,,,,,,,,5,
2015-04-13,16,14,9,,,,,,,,,5,
2015-04-14,16,14,9,,,,,,,,,,
2015-04-15,16,14,9,,,,,5,,,,,
2015-04-16,16,15,9,,,,,5,,,,,
2015-04-17,16,15,9,,,,,,,,,,
2015-04-18,16,15,7,,,,,5,,,20,,
2015-04-19,16,14,7,,,,,5,,,32,,
2015-04-20,16,15,7,,,,,5,,,31,,
2015-04-21,16,14,7,,,,,5,,5,,,
2015-04-22,18,14,7,,,,,5,,5,,,
2015-04-23,17,14,9,,,,,7,,,,,
2015-04-24,18,14,9,,,,,7,,,,,
2015-04-25,18,14,9,,,,,6,,,,,
2015-04-26,18,14,9,,,,,6,,,,,
2015-04-27,18,14,9,,,,,7,5,,,,
2015-04-28,17,14,9,,,,,7,6,,,,
2015-04-29,17,14,8,,,,,7,,,,,
2015-04-30,17,14,8,,,,,6,,,,,
2015-05-01,14,14,8,,,,,6,,,,,
2015-05-02,14,14,8,,,,,6,,,,,
2015-05-03,14,14,8,,,,,6,,,,,
2015-05-04,14,14,8,,,,,6,,,,,
2015-05-05,14,14,8,,,,,6,,,,,
2015-05-06,12,14,8,,,,,6,,,,,
2015-05-07,12,14,8,6,,,,6,,,,,
2015-05-08,12,14,8,6,,,,6,,,,,
2015-05-09,12,14,8,6,,,,5,,,,,
2015-05-10,12,14,8,6,,,,5,,,,,
2015-05-11,12,14,8,6,,,,5,,,,,
2015-05-12,12,14,,6,,,,,,,,,
2015-05-13,12,14,7,6,,,,,,,,,
2015-05-14,12,15,7,6,,5,,,,,,,
2015-05-15,13,15,7,6,,5,,,,,,,
2015-05-16,29,15,6,6,5,5,5,,,,,,
