Type,English,Dutch (Nederlands),French (France),Spanish,Italian (Italy),Portuguese (Portugal),Greek (Modern),Polish,Bulgarian,Romanian,Slovenian,Croatian
Code,en,de,fr,es,it,pt,gr,pl,bg,ro,,
Heading,Welcome,,Bienvenue,,,,Καλωσορίσατε,,,,,
Title,Take part in the EDSA Survey,,Prenez part au sondage EDSA,,,,Πάρτε μέρος στην έρευνα του EDSA,,,,,
Voice,"Make your voice heard and contribute to the EDSA survey! We’re looking to discover the data science landscape across Europe, and we need your help to shape this.",,"Faites entendre votre voix et contribuez au sondage EDSA ! Nous cherchons à explorer le domaine de la science des données à travers l'Europe, et nous avons besoin de vous pour y arriver.",,,,Κάντε την φωνή σας να ακουστεί και συνεισφέρετε στην έρευνα του EDSA! Ερευνούμε το πεδίο της επιστήμης των δεδομένων σε όλη την Ευρώπη και θα θέλαμε τη βοήθεια σας για να το καταφέρουμε.,,,,,
Title_Why,Why should I take part?,,Pouquoi devrais-je participer ?,,,,Γιατί να πάρω μέρος;,,,,,
Why,"You are a data science expert and your knowledge about the subject is invaluable to our project. We are hoping to gather data from all EU countries, so you will help contribute to a large, European assessment of the data science landscape.",,"Vous êtes un expert de la science des données et votre savoir sur ce sujet est inestimable pour nous. Nous espérons réunir les données de tous les pays européens, donc vous allez contribuer à une large revue du paysage européen de la science des données.",,,,"Είστε ειδικός στην επιστήμη των δεδομένων και η γνώση σας σε αυτό το θέμα είναι πολύτιμη για την έρευνά μας. Θέλουμε να μαζέψουμε δεδομένα από όλες τις Ευρωπαϊκές χώρες, οπότε η βοήθειά σας θα συνεισφέρει στην ολοκληρωμένη αξιολόγηση του πεδίου της επιστήμης των δεδομένων.",,,,,
Title_What,What will happen to my data?,,Que va-t-il advenir de mes données ?,,,,Τι θα συμβεί στις απαντήσεις μου;,,,,,
What,Data will be anonymised and made available online under an open license. Your responses will never be linked back to you. The data will be analysed and displayed on a dashboard to allow the exploration of trends and results in each EU country. We will use the responses to help shape the EDSA curriculum and training that we offer.,,Les données vont être anonymées et être mises en ligne sous une licence ouverte. Vos réponses ne seront jamais reliées à vous. Les données vont être analysées et constitueront le tableau de bord pour permettre l'exploration des tendances et les résultats dans chaque pays européen. Nous allons utiliser les réponses pour affiner le curriculum de l'ESDA.,,,,Όλες οι απαντήσεις θα είναι διαθέσιμες online ως ανώνυμες με χρήση μιας ανοιχτής άδειας. Οι απαντήσεις σας δεν θα είναι συνδεδεμένες με εσάς. Όλα τα δεδομένα θα αναλυθούν και θα εμφανιστούν σε ένα dashboard για την εξερεύνηση των τάσεων και αποτελεσμάτων σε κάθε Ευρωπαϊκή χώρα. Θα χρησιμοποιήσουμε τις απαντήσεις σας για να σχηματίσουμε τη διδακτέα ύλη του EDSA και την εκπαίδευση που προσφέρουμε. ,,,,,
Title_Benefits,Are there any benefits?,,Quels sont les bénéfices ?,,,,Υπάρχουν οφέλη;,,,,,
Benefits,"You will be helping the community to understand the data science landscape across the EU, and ultimately to train the next generation of world leading data scientists. Your data will be combined with that of other respondents to create visualisations and analytics to demonstrate the key stories from the data. These will be available for you to view: the more data we have, the more insightful the analytics will be.",,"Vous allez aider la communauté à comprendre le paysage de la science des données à travers l’Europe, et à entraîner la nouvelle génération des scientifiques des données. Vos données seront analysées pour créer une vue globale et pour montrer les grands axes de la science des données. Elles seront à votre disposition. Plus nous récolterons de données plus les analyses seront pertinentes.",,,,"Θα βοηθήσετε την κοινότητα να κατανοήσει το πεδίο της επιστήμης των δεδομένων σε όλη την Ευρώπη και τελικά να εκπαιδεύσει την επόμενη γενιά επιστημόνων δεδομένων. Οι απαντήσεις σας θα συνδιαστούν με άλλες απαντήσεις για να δημιουργηθούν συγκεντρωτικές απεικονίσεις και αναλύσεις των κυρίων θεμάτων της έρευνας. Αυτές οι απεικονίσεις και αναλύσεις θα είναι διαθέσιμες σε σας: όσο περισσότερα δεδομένα έχουμε, τόσο πιο διορατικές θα είναι οι αναλύσεις που θα προκύψουν. ",,,,,
Title_Information,Where can I get more information?,,Où puis-je avoir plus d’informations ?,,,,Από πού μπορώ να πάρω περισσότερες πληροφορίες;,,,,,
Information,Please see the project website at <a href="http://edsa-project.eu">http://edsa-project.eu</a>,,Veuillez regarder le site du projet ici : <a href="http://edsa-project.eu">http://edsa-project.eu</a>,,,,Επισκεφτείτε την ιστοσελίδα του έργου: <a href="http://edsa-project.eu">http://edsa-project.eu</a>,,,,,
