Type,English,Dutch (Nederlands),French (France),Spanish,Italian (Italy),Portuguese (Portugal),Greek (Modern),Polish,Bulgarian,Romanian,Slovenian,Croatian
Code,en,de,fr,es,it,pt,gr,pl,bg,ro,,
Title,Training needs,,Besoin de formation,,,,Απαιτήσεις στην εκπαίδευση,,,,,
Question,What training delivery methods do you consider to be important factors in successful training?,Welke onderwijsmethoden beschouwt u als belangrijke factoren voor een succesvolle opleiding?,Quels sont les types de formation que vous considérez être des facteurs importants dans une formation réussie ?,¿Qué métodos de formación considera usted que son factores importantes en el éxito de la formación?,Quali metodi di trasmissione della formazione considera siano fattori importanti nella formazione di successo?,Que métodos de entrega de formação considera como fatores importantes na formação de sucesso?,Ποιες μέθοδοι παροχής εκπαίδευσης θεωρείτε ότι είναι σημαντικοί παράγοντες για την επιτυχή κατάρτιση;,"Jakie metody prowadzenia szkolenia uważasz za ważne, aby szkolenie było udane?",Кои начини на провеждане на обученията считате за важни фактори в успешното обучение?,Ce metode de formare considerați a fi factori importanți în formarea de succes?,,
Label_1,Essential,Essentieel,Essentiel,Esencial,Essenziale,Essencial,Ουσιαστική,Istotna,Съществено,Important,,
Label_2,Desirable,Wenselijk,Souhaitable,Deseable,Desiderabile,Desejável,Επιθυμητή,Pożądana,Желателно,De dorit,,
Label_3,Not required,Niet vereist,Non requises.,No es necesario,Non necessario,Desnecessário,Δεν απαιτείται,Niewymagana,Не се изисква,Nu este necesară,,
Option_1,Face to face training,Face-to-face training,Formation face-à-face,Formación presencial,Formazione vis a vis,Formação presencial,Διαπροσωπική εκπαίδευση,Szkolenia indywidualne,Обучение лице в лице,Formare față în față,,
Option_2,Webinars,Webinars,Webinaires,Seminarios web,Webinar,Webinars,Σεμινάρια μέσω διαδικτύου,Seminaria internetowe,Уебинари,Webinarii,,
Option_3,eLearning,e-learning,e-learning,Aprendizaje electrónico,E-learning,eLearning,eLearning,eLearning,Електронно обучение,eLearning,,
Option_4,Translated from English,Vertaald uit het Engels,Traduit de l'anglais,Traducida del inglés,Traduzione dall'inglese,Traduzida do inglês,Με μετάφραση από Αγγλικά,Tłumaczenie z angielskiego,Превод от английски,Traducere din limba engleză,,
Option_5,Tailored to sector,Afgestemd op sector,Adapté au secteur,A medida del sector,Su misura per il settore,Personalizada para o setor,Με προσαρμογή στον τομέα,Dostosowana do sektora,Спрецифично за сектора,Adaptate sectorului,,
Option_6,Accredited,Geaccrediteerd,Accrédité,Acreditada,Accreditato,Acreditada,Με πιστοποίηση,Akredytowana,Акредитиран преподавател,Acreditate,,
Option_7,"Uses non­open, non­free software","Gebruikt nonopen, nonfree software",Utilise des logiciels non libres,Uso de programas no abiertos ni gratuitos,Software nonopen e non gratuito,"Usando software não aberto, não gratuito",Χρήση κλειστού λογισμικού επί πληρωμής,Używanie płatnego oprogramowania objętego licencją,Използване на несвободен софтуер със затворен код,Care folosesc software plătit nedeschis,,
Option_8,Coaching,Coaching,Coaching,Asesoría,Coaching,Formação pessoal,Εκπαίδευση,Coaching,Наставник,Coaching,,
Option_9,Assessed,Beoordeling,Évaluée,Evaluada,Valutato,Avaliada,Με αξιολόγηση,Ewaluacja,Оценяване,Evaluat,,
Option_10,Internal assignments,Interne opdrachten,Exercices internes,Asignaciones internas,Incarichi interni,Atribuições internas,Εργασίες εντός της επιχείρησης,Zadania wewnętrzne,Вътрешни оценки,Sarcini interne,,
