date,Deloitte,"Randstad España",Tecnocom,Ciber,"Zemsania Tech Services &amp; Solutions",Serinsa,"CMV Consultores","GRUPO SOLUTIO","Confidential Company - Undisclosed","Grupo Innovati",ADICIONA,Indra,"Adecco España",Accenture,everis,Seresco,"ALTEN SPAIN Consultoría en Ingeniería y Tecnología de la Información",INSA,"See More","AICAD S.r.l.",ArayoWeb,"Grupo Arelance","Gfi España","Indra Software Labs",SERMICRO,Agio,Ibermática,Hays,"General Software","Digital Training Company"
2015-05-28,,,,,14,,60,87,27,40,12,15,,,10,,18,,9,,,13,,9,9,,11,,9,9
2015-05-29,9,,9,,12,,62,87,26,42,13,15,11,,,,18,,9,,33,12,,,,,11,,9,
2015-05-30,9,,10,,10,,62,85,26,44,14,15,13,,9,,19,,9,,,11,,,10,,11,,,
2015-05-31,7,,9,7,,,,,,,,12,,,,,,,,,,,,,,,,,,
2015-06-01,7,,9,,,,,,,,,12,,,,,,,,,,,,,,,,,,
2015-06-02,8,,9,7,,,,,,,,12,,,,,,,,,,,,,,,,,,
2015-06-03,10,,10,,11,,57,85,27,39,15,15,14,,9,,19,,9,,,11,,,10,,12,,,
2015-06-04,10,,9,,12,,62,80,26,40,17,14,13,,,,18,,8,,,11,,9,8,,13,,,
2015-06-05,8,6,8,6,,,,,,,,11,,,,,,,,,,,,,,,,,,
2015-06-06,10,,9,,14,,60,78,25,40,14,14,13,,,,18,,9,,52,11,,9,,,13,,,
2015-06-07,10,,9,,12,,60,78,25,40,14,14,13,,,,18,,9,52,52,11,,,,,13,,,
2015-06-08,10,,9,,12,,60,78,25,40,14,15,12,,,,18,,9,,,11,,9,9,,13,,,
2015-06-09,9,,9,,13,,59,86,28,47,13,15,13,,,,17,,9,,,11,,9,9,,11,,,
2015-06-10,8,7,8,6,,,,,,,,12,,,,,,,,,,,,,,,,,,
2015-06-11,10,,,,10,,65,82,26,44,12,17,14,,,,15,,8,41,39,12,,,8,,9,,,
2015-06-12,10,,,,12,,63,81,29,41,14,17,14,,,,17,,9,41,39,12,,9,,,9,,,
2015-06-13,,7,7,6,,,,,,,,14,,,,,,,,,,,,,,,,5,,
2015-06-14,9,,,,10,,70,59,30,43,16,16,14,,,,17,,8,,,12,9,9,8,,9,,,
2015-06-15,9,8,8,6,,,,,,,,13,,,,,,,,,,,,,,,,,,
2015-06-16,9,8,7,6,,,,,,,,13,,,,,,,,,,,,,,,,,,
2015-06-17,9,8,8,6,,,,,,,,13,,,,,,,,,,,,,,,,,,
2015-06-18,9,,8,,12,,68,59,27,39,17,16,13,,,,15,,8,,,13,9,9,,9,,,,
2015-06-19,9,,,,12,38,70,62,23,40,17,15,11,,,,15,,9,33,37,13,9,,,,,,,
2015-06-20,9,,,,12,38,70,63,23,40,18,15,10,,,,16,,9,33,37,13,9,,,,,,,
2015-06-21,9,,,,12,147,71,63,23,40,18,15,10,,,,17,,8,,,13,9,9,8,,,,,
2015-06-22,9,,,,12,111,67,64,23,40,18,14,,,,8,17,,8,,,13,9,9,8,,,,,
2015-06-23,9,,,,14,61,70,65,27,39,18,11,,,,,17,,9,36,29,13,9,9,,,,,,
2015-06-24,9,6,,5,13,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,9,7,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,9,7,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-27,8,7,,,,97,46,31,24,13,11,10,9,8,8,8,8,7,7,,,,,,,,,,,
2015-06-28,8,7,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
