date,Deloitte,Atos,Ciber,Hays,Tecnocom,"Zemsania Tech Services &amp; Solutions",KEAPPS,"See More",Serinsa,"CMV Consultores","GRUPO SOLUTIO","Confidential Company - Undisclosed","Grupo Innovati",ADICIONA,Indra,Accenture,everis,INSA,Agio,"Adecco España",Seresco,"AICAD S.r.l.",ArayoWeb,"Randstad España","ALTEN SPAIN Consultoría en Ingeniería y Tecnología de la Información","Grupo Arelance","Gfi España","Indra Software Labs",SERMICRO,Ibermática,"General Software","Digital Training Company"
2015-05-28,,,,,,14,,9,,60,87,27,40,12,15,,10,,,,,,,,18,13,,9,9,11,9,9
2015-05-29,9,,,,9,12,,9,,62,87,26,42,13,15,,,,,11,,,33,,18,12,,,,11,9,
2015-05-30,9,,,,10,10,,9,,62,85,26,44,14,15,,9,,,13,,,,,19,11,,,10,11,,
2015-05-31,7,,7,,9,,,,,,,,,,12,,,,,,,,,,,,,,,,,
2015-06-01,7,,,,9,,,,,,,,,,12,,,,,,,,,,,,,,,,,
2015-06-02,8,,7,,9,,,,,,,,,,12,,,,,,,,,,,,,,,,,
2015-06-03,10,,,,10,11,,9,,57,85,27,39,15,15,,9,,,14,,,,,19,11,,,10,12,,
2015-06-04,10,,,,9,12,,8,,62,80,26,40,17,14,,,,,13,,,,,18,11,,9,8,13,,
2015-06-05,8,,6,,8,,,,,,,,,,11,,,,,,,,,6,,,,,,,,
2015-06-06,10,,,,9,14,,9,,60,78,25,40,14,14,,,,,13,,,52,,18,11,,9,,13,,
2015-06-07,10,,,,9,12,,9,,60,78,25,40,14,14,,,,,13,,52,52,,18,11,,,,13,,
2015-06-08,10,,,,9,12,,9,,60,78,25,40,14,15,,,,,12,,,,,18,11,,9,9,13,,
2015-06-09,9,,,,9,13,,9,,59,86,28,47,13,15,,,,,13,,,,,17,11,,9,9,11,,
2015-06-10,8,,6,,8,,,,,,,,,,12,,,,,,,,,7,,,,,,,,
2015-06-11,10,,,,,10,,8,,65,82,26,44,12,17,,,,,14,,41,39,,15,12,,,8,9,,
2015-06-12,10,,,,,12,,9,,63,81,29,41,14,17,,,,,14,,41,39,,17,12,,9,,9,,
2015-06-13,,,6,5,7,,,,,,,,,,14,,,,,,,,,7,,,,,,,,
2015-06-14,9,,,,,10,,8,,70,59,30,43,16,16,,,,,14,,,,,17,12,9,9,8,9,,
2015-06-15,9,,6,,8,,,,,,,,,,13,,,,,,,,,8,,,,,,,,
2015-06-16,9,,6,,7,,,,,,,,,,13,,,,,,,,,8,,,,,,,,
2015-06-17,9,,6,,8,,,,,,,,,,13,,,,,,,,,8,,,,,,,,
2015-06-18,9,,,,8,12,,8,,68,59,27,39,17,16,,,,9,13,,,,,15,13,9,9,,,,
2015-06-19,9,,,,,12,,9,38,70,62,23,40,17,15,,,,,11,,33,37,,15,13,9,,,,,
2015-06-20,9,,,,,12,,9,38,70,63,23,40,18,15,,,,,10,,33,37,,16,13,9,,,,,
2015-06-21,9,,,,,12,,8,147,71,63,23,40,18,15,,,,,10,,,,,17,13,9,9,8,,,
2015-06-22,9,,,,,12,,8,111,67,64,23,40,18,14,,,,,,8,,,,17,13,9,9,8,,,
2015-06-23,9,,,,,14,,9,61,70,65,27,39,18,11,,,,,,,36,29,,17,13,9,9,,,,
2015-06-24,9,,5,,,13,,,,,,,,,,,,,,,,,,6,,,,,,,,
2015-06-25,9,,6,,,10,,,,,,,,,,,,,,,,,,7,,,,,,,,
2015-06-26,9,,6,,,5,,,,,,,,,,,,,,,,,,7,,,,,,,,
2015-06-27,8,,,,,,,7,97,46,31,24,13,11,10,8,8,7,,9,8,,,7,8,,,,,,,
2015-06-28,8,,6,,6,5,,,,,,,,,,,,,,,,,,7,,,,,,,,
2015-06-29,8,,6,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,7,,,,,,,7,46,45,33,23,13,10,10,8,8,8,,8,7,42,36,,,,,,,,,
2015-07-01,7,,,,,7,,7,93,44,36,23,13,10,9,8,8,8,8,8,7,,,,,,,,,,,
2015-07-02,7,,5,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,7,,6,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,7,,6,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,9,,6,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06,9,8,5,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,10,10,5,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,10,10,9,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,10,9,9,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,10,8,9,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,10,8,8,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,10,8,8,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,10,8,8,7,7,6,,6,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,10,8,8,7,8,6,,6,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,11,8,8,8,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,
