date,"T-Mobile Nederland",Brunel,"KPN Consulting (NL)",L&#39;Oréal,EY,Yacht,Hays,"Dimension Data Nederland",Capgemini,"Grontmij Nederland",bol.com,Planon,Rijksoverheid,"Fontys Hogescholen","Croon Elektrotechniek","See More","Aegon Nederland",Rabobank,"Groupon EMEA",Viisi,"Van Lanschot Bankiers",Nestlé,FrieslandCampina,KPN,"Sportlink Services bv"
2015-05-28,51,117,29,,21,11,7,8,5,7,,6,,9,,5,,,,6,7,,5,,5
2015-05-28,51,117,29,,21,11,6,8,5,7,,6,,9,5,5,,6,,6,7,,,,
2015-05-29,46,114,29,,21,10,6,8,,7,5,7,,9,5,5,,6,,6,6,,,,
2015-05-30,46,114,29,,21,9,6,8,5,7,5,7,,9,5,5,,5,,6,,,,,
2015-05-31,46,106,29,,21,10,6,8,5,7,,7,,9,5,5,,5,,6,5,,,,
2015-06-01,46,94,28,,21,10,8,8,6,7,,7,,11,,5,,5,,6,6,,,8,
2015-06-02,46,84,28,,16,9,8,11,6,8,,7,,11,,5,,5,,6,6,,6,,
2015-06-03,47,84,29,,17,9,8,11,6,8,,8,,11,,6,6,,,,6,6,6,,
2015-06-04,46,70,29,,17,10,8,11,6,8,,8,,11,,6,6,,,,6,6,6,,
2015-06-05,46,28,33,,14,11,8,11,6,8,,7,,11,,6,7,,6,6,6,,,,
2015-06-06,46,28,30,,14,12,8,10,6,8,,7,6,11,,6,7,,6,6,,,,,
2015-06-07,46,28,30,,14,13,8,10,6,8,,7,6,11,,6,7,,6,6,,,,,
2015-06-08,45,30,30,,15,13,9,9,6,8,6,7,,11,7,6,7,6,,,,,,,
2015-06-09,47,27,30,,15,12,8,9,6,8,6,7,,11,7,6,7,6,,,,,,,
2015-06-10,47,27,30,17,16,11,8,9,,8,7,7,,11,7,6,7,6,,,,,,,
2015-06-11,46,44,30,17,15,11,8,9,8,8,7,7,,8,6,6,6,,,,,,,,
2015-06-12,48,45,30,17,16,11,10,9,8,8,7,7,7,8,6,6,,,,,,,,,
2015-06-13,48,45,30,17,16,12,10,9,8,8,7,7,7,6,6,6,,,,,,,,,
