date,"Engineering &amp; Competence Center","ISG International Service Group","Powerserv Austria GmbH",BIPA,"Allianz Group",UniCredit,Siemens,"adidas Group","Trenkwalder Austria","LINDLPOWER Personalmanagment GmbH","APS Austria Personal Service GmbH &amp; Co.","See More","Jegen Textilien AG",Swarovski,"ATLAS PERSONAL COMMUNICATIONS LIMITED","BENTELER Automotive","BENTELER Group","Magna Powertrain"
2015-05-28,17,24,11,15,,14,7,,7,8,,5,7,,6,7,7,5
2015-05-28,17,24,11,15,,14,7,,7,8,,6,7,,6,7,7,
2015-05-29,17,26,11,15,,14,7,,8,9,,6,7,,6,7,7,
2015-05-30,19,28,13,15,,14,7,,7,9,,6,7,,6,7,7,
2015-05-31,19,27,13,15,,14,7,,7,9,,6,7,,6,7,7,
2015-06-01,16,27,13,15,,14,7,,7,9,,6,7,,6,7,7,
2015-06-02,16,27,13,15,,14,7,,7,9,,6,7,,6,7,7,
2015-06-03,16,28,11,,,14,8,,6,8,,5,5,5,6,7,7,
2015-06-04,16,30,10,5,16,14,8,10,8,8,,5,5,5,6,7,7,
2015-06-05,16,30,10,5,16,14,8,10,8,8,,5,5,5,6,7,7,
2015-06-06,17,30,10,5,16,14,8,10,8,8,,5,5,5,6,7,7,
2015-06-07,17,29,10,6,16,14,8,10,8,8,,5,5,5,6,6,,
2015-06-08,17,29,10,6,16,14,8,10,8,8,,5,5,5,6,6,,
2015-06-09,17,27,5,7,16,14,8,10,7,8,,5,5,5,6,,,
2015-06-10,20,27,,7,,14,8,10,7,8,,5,5,5,5,,,
2015-06-11,20,27,,7,,14,8,10,7,8,,5,5,5,5,,,
2015-06-12,20,27,,7,,14,8,10,7,8,,5,5,5,5,,,
2015-06-13,20,27,,7,,14,8,10,7,8,,5,5,5,5,,,
2015-06-14,20,27,,7,,14,8,10,7,8,,5,5,5,5,,,
2015-06-15,21,26,8,14,16,13,11,10,6,10,5,5,7,5,5,,,
2015-06-16,21,26,8,14,16,13,11,10,6,10,5,5,7,5,5,,,
2015-06-17,21,25,12,14,16,13,11,10,7,10,5,5,6,5,5,,,
2015-06-18,20,25,14,18,16,13,11,10,7,10,5,5,6,5,,,,
2015-06-19,20,25,14,18,16,13,11,10,7,10,5,5,6,5,,,,
2015-06-20,21,25,13,20,16,13,11,10,7,10,,5,6,5,,,,
2015-06-21,21,25,13,20,16,13,11,10,7,10,,5,6,5,,,,
2015-06-22,20,23,13,21,16,13,12,10,7,10,,5,6,5,,,,
2015-06-23,20,22,14,21,16,13,12,10,7,11,,5,6,5,,,,
2015-06-24,20,22,14,21,16,13,12,10,7,11,,5,6,5,,,,
2015-06-25,19,21,16,20,17,13,11,10,7,11,,5,5,5,,,,
2015-06-26,19,21,16,18,17,13,10,10,8,11,,5,5,,,,,
2015-06-27,19,20,16,18,16,13,10,10,8,11,,5,5,,,,,
2015-06-28,19,20,16,18,16,13,10,10,8,11,,5,5,,,,,
2015-06-29,20,20,16,18,15,13,10,10,8,11,,5,5,,,,,
2015-06-30,20,19,18,18,15,12,10,10,10,10,5,5,,,,,,
