date,Lisbon,Porto,Santarém,Braga,Aveiro,Portimão
2015-06-02,5,,,,,
2015-06-03,7,,,,,
2015-06-04,7,,,,,
2015-06-05,15,6,,,,
2015-06-06,12,6,,,,
2015-06-07,12,6,,,,
2015-06-08,12,6,,,,
2015-06-09,8,6,,,,
2015-06-10,9,6,,,,
2015-06-11,11,6,,,,
2015-06-12,12,6,,,,
2015-06-13,9,6,,,,
2015-06-14,9,6,,,,
2015-06-15,9,6,,,,
2015-06-16,7,6,,,,
2015-06-17,10,6,,,,
2015-06-18,9,6,,,,
2015-06-19,9,6,,,,
2015-06-20,8,6,,,,
2015-06-21,9,5,,,,
2015-06-22,9,5,,,,
2015-06-23,10,6,,,,
2015-06-24,12,6,,,,
2015-06-25,13,6,,,,
2015-06-26,11,6,,,,
2015-06-27,11,6,,,,
2015-06-28,25,17,21,10,,5
2015-06-29,25,17,21,10,,5
2015-06-30,30,17,18,9,5,
2015-07-01,30,17,18,9,5,
2015-07-07,,17,,,,
2015-07-08,,19,,,,
2015-07-09,37,19,,,,
2015-07-10,41,18,,,,
2015-07-11,40,18,,,,
2015-07-12,38,19,,,,
2015-07-13,,19,,,,
2015-07-14,,6,,,,
2015-07-15,,6,,,,
2015-07-16,,6,,,,
2015-07-17,,6,,,,
2015-07-18,,6,,,,
2015-07-19,,6,,,,
2015-07-20,,6,,,,
2015-07-21,15,6,,,,
