date,"bases de données","gestion des données","ingénierie de données","exploration de données","formats de données","données lié","l&#39;extraction de l&#39;information","traitement de flux"
2015-05-27,588,53,0,0,0,0,0,5
2015-05-27,591,53,0,0,0,0,0,5
2015-05-28,593,54,0,0,0,0,0,5
2015-05-28,606,55,0,0,0,0,0,4
2015-05-29,615,58,0,0,0,0,0,4
2015-05-30,585,56,0,0,0,0,0,4
2015-05-31,586,59,0,0,0,0,0,3
2015-06-01,537,52,0,0,0,0,0,3
2015-06-02,529,53,0,0,0,0,0,4
2015-06-03,629,59,0,0,0,0,0,4
2015-06-04,653,60,0,0,0,0,0,4
2015-06-05,588,58,0,0,0,0,0,3
2015-06-06,588,54,0,0,0,0,0,3
2015-06-07,584,52,0,0,0,0,0,3
2015-06-08,569,59,0,0,0,0,0,3
