date,databaser,datastyring,"data engineering","data mining",dataformater,"koblet data","udtrækning af oplysninger","stream processing"
2015-05-28,20,0,0,5,0,0,0,0
2015-05-29,22,0,0,5,0,0,0,0
2015-05-30,22,0,0,5,0,0,0,0
2015-05-31,22,0,0,5,0,0,0,0
2015-06-01,19,0,0,6,0,0,0,0
2015-06-02,25,0,0,5,0,0,0,0
2015-06-03,22,0,0,4,0,0,0,0
2015-06-04,22,0,0,4,0,0,0,0
2015-06-05,21,0,0,4,0,0,0,0
2015-06-06,19,0,0,4,0,0,0,0
2015-06-07,18,0,0,4,0,0,0,0
2015-06-08,18,0,0,4,0,0,0,0
2015-06-09,18,0,0,4,0,0,0,0
2015-06-10,19,0,0,4,0,0,0,0
2015-06-11,18,0,0,4,0,0,0,0
2015-06-12,20,0,0,3,0,0,0,0
2015-06-13,20,0,0,3,0,0,0,0
2015-06-14,20,0,0,3,0,0,0,0
2015-06-15,20,0,0,3,0,0,0,0
2015-06-16,20,0,0,3,0,0,0,0
2015-06-17,19,0,0,3,0,0,0,0
2015-06-18,19,0,0,3,0,0,0,0
