date,tietokannat,tiedonhallinta,"data engineering","data mining",dataformaatit,"liittyvät tiedot","tiedon kokoamisen","stream processing"
2015-05-28,3,0,0,4,0,0,0,0
2015-05-29,3,0,0,3,0,0,0,0
2015-05-30,3,0,0,3,0,0,0,0
2015-05-31,3,0,0,3,0,0,0,0
2015-06-01,3,0,0,3,0,0,0,0
2015-06-02,2,0,0,3,0,0,0,0
2015-06-03,2,0,0,3,0,0,0,0
2015-06-04,2,0,0,3,0,0,0,0
2015-06-05,0,0,0,3,0,0,0,0
2015-06-06,0,0,0,3,0,0,0,0
2015-06-07,0,0,0,3,0,0,0,0
2015-06-08,0,0,0,2,0,0,0,0
2015-06-09,2,0,0,2,0,0,0,0
2015-06-10,3,0,0,2,0,0,0,0
2015-06-11,3,0,0,2,0,0,0,0
2015-06-12,3,0,0,2,0,0,0,0
2015-06-13,3,0,0,2,0,0,0,0
2015-06-14,3,0,0,2,0,0,0,0
2015-06-15,3,0,0,2,0,0,0,0
2015-06-16,5,0,0,4,0,0,0,0
2015-06-17,5,0,0,4,0,0,0,0
2015-06-18,5,0,0,4,0,0,0,0
2015-06-19,5,0,0,4,0,0,0,0
2015-06-20,5,0,0,4,0,0,0,0
2015-06-21,4,0,0,4,0,0,0,0
2015-06-22,5,0,0,4,0,0,0,0
2015-06-23,5,0,0,4,0,0,0,0
2015-06-24,5,0,0,4,0,0,0,0
2015-06-25,5,0,0,4,0,0,0,0
2015-06-26,5,0,0,4,0,0,0,0
2015-06-27,6,0,0,3,0,0,0,0
2015-06-28,6,0,0,3,0,0,0,0
2015-06-29,7,0,0,3,0,0,0,0
2015-06-30,7,0,0,3,0,0,0,0
2015-07-01,6,0,0,4,0,0,0,0
2015-07-02,6,0,0,4,0,0,0,0
2015-07-03,7,0,0,5,0,0,0,0
2015-07-04,7,0,0,6,0,0,0,0
