date,Datenbanken,Datenmanagement,Datentechnik,Data-Mining,Datenformate,"Linked Data",Informationsextraktion,Stromverarbeitung
2015-05-28,55,6,0,21,0,0,0,0
2015-05-28,55,6,0,20,0,0,0,0
2015-05-29,56,5,0,20,0,0,0,0
2015-05-30,54,6,0,20,0,0,0,0
2015-05-31,54,6,0,20,0,0,0,0
2015-06-01,53,6,0,18,0,0,0,0
2015-06-02,52,6,0,18,0,0,0,0
2015-06-03,51,6,0,18,0,0,0,0
2015-06-04,55,6,0,31,0,0,0,0
2015-06-05,58,6,0,31,0,0,0,0
2015-06-06,59,6,0,33,0,0,0,0
2015-06-07,58,6,0,33,0,0,0,0
2015-06-08,59,6,0,34,0,0,0,0
2015-06-09,62,6,0,35,0,0,0,0
2015-06-10,60,5,0,33,0,0,0,0
2015-06-11,59,5,0,34,0,0,0,0
2015-06-12,58,5,0,34,0,0,0,0
2015-06-13,58,5,0,36,0,0,0,0
2015-06-14,58,5,0,36,0,0,0,0
2015-06-15,55,4,0,37,0,0,0,0
2015-06-16,59,4,0,37,0,0,0,0
2015-06-17,62,4,0,36,0,0,0,0
2015-06-18,59,4,0,36,0,0,0,0
2015-06-19,60,4,0,36,0,0,0,0
2015-06-20,61,4,0,36,0,0,0,0
2015-06-21,61,4,0,36,0,0,0,0
2015-06-22,60,4,0,34,0,0,0,0
2015-06-23,61,5,0,36,0,0,0,0
2015-06-24,62,5,0,37,0,0,0,0
2015-06-25,60,4,0,38,0,0,0,0
2015-06-26,62,4,0,39,0,0,0,0
2015-06-27,61,3,0,39,0,0,0,0
