date,"Intel Corporation",Cisco,IBM,"Akamai Technologies",Teradata,Microsoft,"See More","Sabre Corporation",Comarch,Atos,"TeamQuest Sp z o.o.","SMT Software Services","Schneider Electric","NBC Sp. z o.o.",CodiLime
2015-05-28,,14,7,,12,,,,,,,,,,
2015-05-29,,14,7,,11,,,,,,,,,,
2015-05-30,,14,7,,11,,,,,,,,,,
2015-05-31,,14,7,,11,,,,,,,,,,
2015-06-01,,12,7,,13,,,,,,,,,,
2015-06-02,,8,7,,13,,,,,,,,,,
2015-06-03,,8,7,,13,,,,,,,,,,
2015-06-04,,8,7,,13,,,,,,,,,,
2015-06-05,,7,7,,13,,,,,,,,,,
2015-06-06,,7,7,,13,,,,,,,,,,
2015-06-07,,7,7,,13,,,,,,,,,,
2015-06-08,,7,6,,13,,,,,,,,,,
2015-06-09,,6,6,,13,,,9,,,,,,,
2015-06-10,,6,6,,12,,,9,,,,,,,
2015-06-11,,5,6,,12,,,9,,,,,,,
2015-06-12,,5,6,,12,,,11,,,,,,,
2015-06-13,,5,6,,12,,,11,,,,,,,
2015-06-14,,5,6,,12,,,11,,,,,,,
2015-06-15,,5,6,5,12,,,11,,,,,,,
2015-06-16,,5,6,5,12,,,11,,,,,,,
2015-06-17,,5,,5,12,,,10,,,,,,,
2015-06-18,,5,,5,11,,,12,,,,,,,
2015-06-19,,5,,5,11,,,12,,,,,,,
2015-06-20,,5,,5,11,,,12,,,,,,,
2015-06-21,,5,,5,11,,,12,,,,,,,
2015-06-22,,6,,,9,,,12,,,,,,,
2015-06-23,,5,,5,9,,,12,,,,,,,
2015-06-24,,5,,5,9,,,13,,,,,,,
2015-06-25,,5,,5,9,,,13,,,,,,,
2015-06-26,,5,,7,9,,,12,,,,,9,,
2015-06-27,,5,,7,9,,5,12,,217,49,,14,5,
2015-06-28,5,13,10,15,13,,5,12,,215,78,30,16,5,
2015-06-29,5,13,10,15,13,,5,12,5,216,70,30,15,6,5
2015-06-30,7,13,12,15,13,,5,12,5,216,75,30,18,8,5
2015-07-01,7,16,12,15,13,,5,12,5,217,67,31,19,8,5
2015-07-02,7,18,12,15,13,9,7,12,,,,,,,
2015-07-03,8,18,12,14,13,11,8,12,,,,,,,
2015-07-04,8,18,12,14,13,11,5,12,5,,,,,,
2015-07-05,8,18,12,14,13,11,8,12,,,,,,,
2015-07-07,8,18,12,15,12,16,8,14,,,,,,,
2015-07-08,8,19,12,15,12,12,8,14,,,,,,,
2015-07-09,8,18,12,15,12,16,8,8,,,,,,,
2015-07-10,9,16,12,15,11,17,7,7,,,,,,,
2015-07-11,9,17,12,15,12,8,7,7,,,,,,,
2015-07-12,9,17,12,15,12,8,5,5,,,,,,,
2015-07-13,9,17,12,15,14,8,5,5,,,,,,,
2015-07-14,9,20,12,15,14,9,5,5,,,,,,,
2015-07-15,7,20,12,15,14,9,5,5,,,,,,,
2015-07-16,7,22,13,15,14,11,5,5,,,,,,,
2015-07-17,16,22,14,14,13,11,5,5,,,,,,,
2015-07-18,18,16,14,13,12,11,11,,,,,,,,
