date,Stockholm,"Stockholm County",Lund,Malmo,Gothenburg
2015-05-28,18,10,16,,
2015-05-29,17,11,17,,
2015-05-30,16,11,17,,
2015-05-31,16,11,17,,
2015-06-01,16,13,14,,
2015-06-02,19,12,14,,
2015-06-03,18,14,16,5,
2015-06-04,17,16,16,5,
2015-06-05,17,16,16,5,
2015-06-06,16,16,16,5,
2015-06-07,14,15,16,5,
2015-06-08,15,17,14,5,
2015-06-09,15,18,14,5,
2015-06-10,14,19,13,5,
2015-06-11,14,15,14,5,
2015-06-12,16,14,,5,5
2015-06-13,16,14,,5,6
2015-06-14,16,14,,5,5
2015-06-15,17,14,16,6,
2015-06-16,16,16,16,6,
2015-06-17,13,14,16,6,
2015-06-18,14,14,16,6,5
2015-06-19,14,14,16,6,6
2015-06-20,13,14,16,6,6
2015-06-21,13,14,16,6,6
2015-06-22,13,14,16,6,6
2015-06-23,13,14,17,6,6
2015-06-24,12,15,17,6,6
2015-06-25,14,15,7,9,6
2015-06-26,18,18,19,10,6
2015-06-27,28,18,19,10,6
2015-06-28,30,18,19,10,6
2015-06-29,36,19,19,9,6
2015-06-30,35,20,17,9,6
