date,"FERCHAU Engineering",Fraunhofer-Gesellschaft,Bosch,"Computer Futures, ein Geschäftszweig der SThree GmbH",Bertrandt,Continental,"Amadeus FiRe AG – Zeitarbeit, Personalvermittlung, Interim Management",TEMPTON,"Arca24.com SA","Orizon GmbH","Akka Technologies","MBtech Group GmbH &amp; Co. KGaA","PARTNER Personaldienste GmbH","BMW Group","diwa Personalservice GmbH","See More","I.K. Hofmann GmbH - Austria","home of jobs Hamburg GmbH","Liebherr Group",Siemens,"Deloitte Deutschland","Schneider Electric",Dell,IBM,"BFFT GmbH","Vakant Personallogistik GmbH","Daimler AG","univativ GmbH &amp; Co. KG",Whoohoo®,"DIE JOBMACHER GmbH","Immobilien Scout GmbH","KOMMLINk GmbH"
2015-05-27,226,117,108,122,61,,85,73,122,63,,,30,30,,27,,32,,,,,,,,,,27,,27,34,
2015-05-27,218,119,107,112,61,,85,63,115,60,,,30,29,,26,,29,,,,,,,,,30,26,,,34,
2015-05-28,218,119,107,112,61,,85,26,115,60,,,,30,,25,,29,,,,,,,,,30,26,,,34,25
2015-05-28,218,119,107,112,61,,85,26,115,60,,,,30,,25,,29,,,,,,,,,30,26,,,34,25
2015-05-29,227,121,114,109,61,,81,27,114,64,,,,29,,26,,32,,,,,,,,,32,27,,37,26,
2015-05-30,224,115,116,104,62,,80,39,100,64,,,,29,,26,,31,,,,,,,,,31,27,,37,26,
2015-05-31,234,116,117,117,61,,82,39,123,67,,28,,29,,28,,31,,,,,,,,,31,28,,36,,
2015-06-01,233,115,110,119,58,,82,38,116,68,,28,,29,,28,,32,,,,,,,,,30,30,,36,,
2015-06-02,226,115,110,117,57,,81,38,108,65,,27,,29,,27,,,,,,,,,,,30,29,,35,28,
2015-06-03,251,120,116,124,57,,86,95,111,68,,,36,,32,31,,31,,,,,,,,,31,33,,40,,
2015-06-04,252,120,116,122,59,84,86,100,109,68,39,,39,,,33,,34,,,,,,,,,,33,,40,,
2015-06-05,247,119,113,114,59,86,76,100,75,61,39,47,39,,,33,,,,,,,,,,,,33,,38,,
2015-06-06,260,120,113,126,60,87,83,96,83,69,39,47,41,,,34,,,,,,,,,,,,34,,40,,
2015-06-07,261,119,110,127,59,89,83,94,46,72,39,42,46,,,31,,,,,,,,,,,31,36,,,,
2015-06-08,256,120,109,123,62,88,83,94,58,77,39,38,46,,,30,,30,,,,,,,,,,36,,,,
2015-06-09,249,119,107,118,63,88,82,110,47,76,41,37,50,,,30,,30,,,,,,,,,,35,,,,
2015-06-10,,,,,,,,,,,,,,,,5,,,,13,18,11,9,7,6,,,,5,,,
2015-06-11,228,118,127,120,64,91,82,113,92,78,41,37,53,32,,32,,,,,,,,,,,,34,,,,
2015-06-12,229,118,124,117,64,87,80,114,83,75,42,37,56,32,,31,,,,,,,,,,,,31,,,,
2015-06-13,,,,,,,,,,,,,,,,6,,,18,14,20,11,9,7,6,,,,,,,
2015-06-14,239,124,124,120,64,87,83,47,77,76,42,,,31,,28,28,,,,,,,,,32,29,,,,,
2015-06-15,,,,,,,,,,,,,,,,6,,,19,14,20,11,9,7,6,,,,,,,
2015-06-16,253,125,124,117,64,82,84,38,76,72,43,40,,32,,29,,,,,,,,,,32,29,,,,,
2015-06-17,,,,,,,,,,,,,,,,6,,,18,15,13,10,9,7,6,,,,,,,
2015-06-18,261,124,116,104,66,87,81,48,59,61,42,41,,32,,29,29,30,,,,,,,,,,,,,,
2015-06-19,251,123,115,99,87,86,81,48,57,58,42,36,,32,,28,28,28,,,,,,,,,,,,,,
2015-06-20,258,123,117,102,86,85,82,37,60,44,42,37,,33,,28,28,28,,,,,,,,,,,,,,
2015-06-21,257,124,118,111,87,85,84,76,60,56,42,37,36,33,30,30,,,,,,,,,,,,,,,,
