date,IBM,Microsoft,"Huawei Technologies",VCE,Salesforce,Alcatel-Lucent,"Trend Micro",Dell,EMC,"See More","arvato Systems",VMware,"Freudenberg IT SE &amp; Co. KG",Amazon,Fraunhofer-Gesellschaft,Bosch,Accenture,Verizon,SUSE,PwC,"BKP IT Placement"
2015-05-27,5,16,26,,7,,6,8,6,5,93,24,25,22,7,,,,6,8,5
2015-05-27,5,16,23,,11,,6,8,6,5,90,24,25,22,7,,,,6,8,5
2015-05-28,5,14,23,,11,,6,8,6,5,90,25,25,21,7,,,,6,8,5
2015-05-28,5,14,23,,11,,6,8,6,5,90,25,25,21,7,,,,6,8,5
2015-05-29,5,11,22,,11,,6,6,6,5,91,26,25,21,7,,,,6,8,5
2015-05-30,5,11,22,,11,,6,6,5,5,81,26,25,21,7,5,,,6,7,
2015-05-31,5,11,22,,11,,5,6,5,5,81,25,25,21,7,5,,,6,7,
2015-06-01,5,9,22,,11,,5,6,,5,,,,,,,,,,,
2015-06-02,5,7,19,,5,,6,5,5,5,82,26,25,21,7,6,,,6,7,
2015-06-03,5,7,18,,12,,6,6,,5,,,,,,,,,6,,
2015-06-04,5,7,18,8,12,,6,5,,5,84,29,25,21,7,6,,,5,5,
2015-06-05,6,7,15,10,12,,6,6,,6,,,,,,,,,,,
2015-06-06,6,7,15,10,12,,6,5,5,5,83,28,25,21,7,6,,,,5,
2015-06-07,6,7,14,10,12,,6,5,5,5,80,28,25,20,7,6,,,,5,
2015-06-08,6,7,14,10,12,,6,5,5,5,79,28,25,20,7,6,,,,5,
2015-06-09,9,7,14,9,13,,6,6,,6,,,,,,,,,6,,
2015-06-10,10,5,15,9,11,,6,5,5,5,85,28,26,20,6,6,,,6,,
2015-06-11,11,5,17,9,12,,6,6,,5,,,,,,,,,,,
2015-06-12,12,5,17,13,12,,5,6,,5,,,,,,,,,,,
2015-06-13,12,5,17,13,12,,5,5,5,5,84,30,26,20,7,8,6,,,,
2015-06-14,12,5,17,13,12,,5,5,5,5,87,30,26,20,7,8,6,,,,
2015-06-15,12,5,17,13,12,,5,5,5,5,86,29,26,20,7,8,6,,,,
2015-06-16,12,5,17,13,11,,5,5,5,5,87,29,26,20,7,8,6,,,,
2015-06-17,12,5,16,13,10,,5,6,,5,,,,,,,,,,,
2015-06-18,11,5,13,13,10,,,5,6,5,81,28,26,20,7,7,6,5,,,
2015-06-19,11,5,14,13,11,,5,6,6,5,,,,,,,,,,,
2015-06-20,11,5,14,13,11,,5,6,6,5,,,,,,,,,,,
2015-06-21,11,5,14,13,11,,5,5,6,5,81,27,28,20,7,7,6,,,,
2015-06-22,12,5,15,13,11,,5,6,6,5,,,,,,,,,,,
2015-06-23,15,5,17,14,11,,5,6,5,5,,,,,,,,,,,
2015-06-24,15,5,17,14,10,,5,6,5,5,,,,,,,,,,,
2015-06-25,14,5,15,14,9,,5,6,5,5,,,,,,,,,,,
2015-06-26,18,8,14,14,9,,,5,5,5,82,30,26,20,7,5,,,,,
2015-06-27,18,8,14,14,9,,,5,5,5,,,,,,,,,,,
2015-06-28,18,8,14,14,9,,,5,5,5,,,,,,,,,,,
2015-06-29,18,6,14,14,9,5,,5,5,5,,,,,,,,,,,
2015-06-30,18,7,14,14,9,6,5,5,5,5,,,,,,,,,,,
2015-07-01,18,7,14,14,10,6,5,5,5,5,,,,,,,,,,,
2015-07-02,18,7,14,14,11,6,5,6,5,5,,,,,,,,,,,
2015-07-03,18,9,14,14,11,6,5,6,,5,,,,,,,,,,,
2015-07-04,18,9,8,13,11,6,5,6,5,5,,,,,,,,,,,
2015-07-05,18,9,8,12,11,6,5,6,5,5,,,,,,,,,,,
2015-07-06,18,8,8,12,11,6,5,6,5,5,,,,,,,,,,,
2015-07-07,18,11,6,12,10,6,5,6,5,5,,,,,,,,,,,
2015-07-08,22,11,6,12,8,6,5,5,5,5,,,,,,,,,,,
2015-07-09,22,16,8,12,8,6,5,6,5,5,,,,,,,,,,,
2015-07-10,22,14,9,12,8,6,5,6,5,5,,,,,,,,,,,
2015-07-11,22,14,9,12,8,6,5,5,5,5,,,,,,,,,,,
2015-07-12,22,14,9,,8,6,5,5,5,5,,,,,,,,,,,
2015-07-13,22,14,10,12,9,6,5,5,5,5,,,,,,,,,,,
2015-07-14,22,18,11,14,8,6,5,5,5,5,,,,,,,,,,,
2015-07-15,22,17,11,14,8,6,6,5,5,5,,,,,,,,,,,
2015-07-16,22,19,12,14,9,6,6,5,5,5,,,,,,,,,,,
2015-07-17,22,19,13,11,9,6,6,5,5,5,,,,,,,,,,,
