date,"Optimus Search",IBM,"Goodgame Studios","Intel Corporation",Google,SUSE,Microsoft,"HERE, a Nokia company",Alcatel-Lucent,"See More",STYLIGHT,"Delivery Hero",Bertrandt,Bosch,Amazon,Fraunhofer-Gesellschaft,"Rocket Internet SE",Continental,"Computer Futures, ein Geschäftszweig der SThree GmbH","FERCHAU Engineering","BMW Group","Amadeus FiRe AG – Zeitarbeit, Personalvermittlung, Interim Management","Arca24.com SA",Siemens,"Da Vinci Engineering GmbH","Deloitte Deutschland","ATG Europe","Elektrobit (EB)"
2015-05-27,,8,,10,8,18,,,,8,,,15,26,24,18,15,,15,15,12,11,12,8,,,,
2015-05-27,,8,,10,8,18,,,,8,,,15,25,24,18,15,,13,15,12,11,12,8,,,,
2015-05-28,,,9,10,8,18,,,,8,,,15,25,23,18,14,,13,15,12,11,12,,8,,,
2015-05-28,,,9,10,8,18,,,,8,,,15,25,23,18,14,,13,15,12,11,12,,8,,,
2015-05-29,,,,9,8,18,,,,8,,,15,26,24,18,15,,15,14,12,11,11,,9,,,10
2015-05-30,,,,9,8,18,,,,8,,,17,27,24,18,15,,13,14,12,11,10,,10,,,10
2015-05-31,,,,9,8,18,,,,8,,,17,27,23,18,15,,16,15,12,11,11,,10,,,11
2015-06-01,,,9,9,,16,,,,9,,,17,26,23,18,15,,17,16,12,11,10,,10,,,11
2015-06-02,,,,8,,17,12,,,8,,,17,26,23,19,15,,17,16,12,11,10,,10,,,11
2015-06-03,9,7,,8,8,17,12,,,5,7,,,,,,,,,,,,,8,,,5,
2015-06-04,12,,,,,15,12,,,11,,,17,25,23,19,14,14,18,18,12,12,14,,11,,,
2015-06-05,29,12,,,,14,12,,,11,,,17,25,23,18,14,15,16,17,11,12,,,11,,,
2015-06-06,29,13,,,,14,12,,,11,,,17,25,24,19,15,15,18,18,11,12,,,11,,,
2015-06-07,28,13,,,,14,12,,,9,,,17,24,23,19,15,15,20,18,10,12,,,,,,9
2015-06-08,28,16,,5,8,15,12,7,,5,7,,,,,,,,,,,,,7,,7,5,
2015-06-09,28,16,,,,16,12,,,9,,,18,23,23,20,17,15,20,18,12,12,,,9,,,
2015-06-10,29,16,,6,8,16,12,7,,6,,,,,,,,,,,,,,8,,7,,
2015-06-11,29,16,,6,8,15,12,7,,6,,,,,,,,,,,,,,8,,8,,
2015-06-12,31,16,,,,14,12,,,12,,,20,29,24,22,18,18,17,13,12,13,13,,,,,
2015-06-13,30,16,,,,14,12,,,12,,,20,29,23,23,18,18,20,13,,13,13,,13,,,
2015-06-14,30,16,,,,14,12,,,12,,,20,28,23,23,18,18,17,14,12,13,12,,,,,
2015-06-15,30,16,,,,14,12,,,12,,,20,28,23,23,18,18,18,14,12,13,12,,,,,
2015-06-16,31,16,,6,8,12,12,6,,6,7,,,,,,,,,,,,,8,,,,
2015-06-17,32,16,,,,12,12,,,10,,,27,28,21,24,19,18,18,16,12,13,10,,,,,
2015-06-18,32,16,,,,12,12,,,10,,,21,28,22,24,20,19,18,16,10,13,12,,,,,
2015-06-19,35,16,,6,7,11,12,5,6,5,7,5,,,,,,,,,,,,8,,,,
2015-06-20,33,16,,,,11,12,,,10,,,26,27,22,23,22,19,16,14,10,12,12,,,,,
2015-06-21,31,16,,,,11,12,,,10,,,26,27,22,24,22,19,16,14,10,12,12,,,,,
2015-06-22,35,16,,7,7,12,12,,6,5,7,5,,,,,,,,,,,,7,,,,
2015-06-23,31,18,,,,12,12,,,10,,,26,25,22,25,21,15,15,14,10,10,12,,,,,
2015-06-24,30,17,,,,12,12,,,10,,,26,24,26,25,22,15,16,15,10,10,12,,,,,
2015-06-25,34,17,,8,8,12,12,,6,5,7,5,,,,,,,,,,,,6,,,,
2015-06-26,31,19,,,,11,12,,,10,,,26,27,26,24,23,16,16,12,10,10,12,,,,,
2015-06-27,32,19,,8,8,11,12,,6,5,7,5,,,,,,,,,,,,,,,,
2015-06-28,33,19,,7,8,11,12,,6,5,7,5,,,,,,,,,,,,,,,,
2015-06-29,32,19,,,,11,10,,,10,,,26,28,23,24,22,17,16,13,10,10,12,,,,,
2015-06-30,32,17,10,,,11,10,,,10,,,26,26,23,23,23,18,14,13,10,10,,,,,,
2015-07-01,35,17,,7,8,11,10,5,6,5,7,5,,,,,,,,,,,,,,,,
2015-07-02,31,17,,9,8,11,10,5,6,5,7,19,,,,,,,,,,,,,,,,
2015-07-03,33,17,,9,8,10,9,5,6,5,,5,,,,,,,,,,,,,,,,
2015-07-04,34,17,,9,8,10,9,5,6,5,,5,,,,,,,,,,,,,,,,
2015-07-05,34,17,,9,8,10,9,5,6,5,,,,,,,,,,,,,,,,,,
2015-07-06,34,17,,9,8,10,9,5,6,5,7,,,,,,,,,,,,,,,,,
2015-07-07,34,17,,10,8,10,11,5,6,5,7,,,,,,,,,,,,,,,,,
2015-07-08,33,17,,9,8,8,11,6,6,6,7,19,,,,,,,,,,,,,,,,
