date,"Confidential Company - Undisclosed","Dassault Systèmes",Thales,"Airbus Group","Sopra Steria","EADS Defence &amp; Security","Société Générale","Gfi Informatique","Alstom Group",Deloitte,"BNP Paribas","Veolia Energy",Atos,"SEGULA Technologies","Schneider Electric","See More",Inria,Hays,HSBC,"ikomobi - Agence Mobile Native",Capgemini,F2I,"Crédit Agricole"
2015-05-27,240,42,22,13,17,6,20,,16,11,8,,,7,10,6,,,,7,,6,18
2015-05-27,240,42,24,13,17,6,20,,16,11,9,,,7,10,6,,,,7,,6,18
2015-05-28,232,47,22,13,17,6,18,,16,11,9,6,,6,10,6,,,,7,,,18
2015-05-28,232,47,22,13,17,8,18,,16,11,9,6,,6,10,6,,,,7,,,18
2015-05-29,272,47,24,15,17,7,18,,15,11,11,7,,6,10,6,,,,7,,,18
2015-05-30,311,47,23,16,17,8,17,,17,11,11,8,,7,7,7,,,,7,,,
2015-05-31,325,47,23,16,17,8,19,,17,11,9,10,,7,7,6,,,,7,,6,
2015-06-01,231,50,23,18,17,8,19,,17,11,9,10,,11,7,6,,,,7,,6,
2015-06-02,231,53,24,18,19,6,19,11,17,11,9,10,,12,7,6,,,,7,,,
2015-06-03,,51,23,,15,,,,,11,,,,12,,,,,,,,,
2015-06-04,284,52,29,17,19,8,17,11,17,11,9,12,9,12,8,8,,,,,,,
2015-06-05,190,51,29,17,19,8,17,11,17,11,9,12,9,13,8,8,,,,,,,
2015-06-06,193,51,28,17,19,8,17,11,16,11,10,12,9,12,8,8,,,,,,,
2015-06-07,201,51,28,17,18,8,19,11,16,11,10,11,9,12,8,8,,,,,,,
2015-06-08,201,51,28,17,13,8,19,11,14,11,10,11,9,12,7,7,,,,,,,
2015-06-09,201,51,30,19,12,8,17,11,14,11,10,11,9,13,7,7,,,,,,,
2015-06-10,,58,27,,12,,,,,11,,,,13,,,,,,,,,
2015-06-11,208,54,27,22,16,,13,11,15,11,13,10,9,12,9,5,,,,,,5,
2015-06-12,,49,27,,13,,,,,11,,,,12,10,10,,,,,,,
2015-06-13,218,49,27,26,13,,13,11,15,11,12,12,9,12,11,7,,,,7,,,
2015-06-14,195,49,27,26,13,,13,11,14,11,12,12,9,12,11,7,,,,7,,,
2015-06-15,195,48,25,26,11,17,13,11,14,11,12,14,9,12,11,9,,,,,,,
2015-06-16,208,48,25,26,11,17,13,11,14,11,12,14,9,13,10,9,,,,,,,
2015-06-17,,50,27,,10,,,,,11,,,,12,10,10,,,,,,,
2015-06-18,203,50,23,26,16,18,12,11,14,11,11,14,9,12,,9,,,,,13,,
2015-06-19,215,51,24,28,14,19,12,11,15,11,11,14,9,11,,9,,,,,13,,
2015-06-20,213,51,24,29,14,19,12,11,15,11,11,14,9,11,,9,,,,,12,,
2015-06-21,206,51,24,29,14,17,12,11,15,11,11,14,9,11,,9,,,,,12,,
2015-06-22,,54,24,,20,,,,,11,,,,12,9,9,,,,,,,
2015-06-23,,53,27,,21,,,,,11,,,,11,9,5,,5,,,,,
2015-06-24,,50,27,,20,,,,,11,,,,11,9,6,,6,,,,,
2015-06-25,202,51,30,26,25,17,14,,13,9,12,12,9,10,9,7,,,,7,,,
2015-06-26,209,47,31,27,20,17,14,,11,9,11,12,9,10,8,6,,,,6,,,
2015-06-27,217,47,31,28,20,18,15,,10,10,11,12,9,10,8,7,,,7,,,,
2015-06-28,,47,30,,20,,,,,10,,,,10,8,5,5,5,,,,,
2015-06-29,206,50,30,28,21,18,15,14,13,12,12,11,10,10,8,8,,,,,,,
