date,"Confidential Company - Undisclosed","Dassault Systèmes",Thales,"Airbus Group","Sopra Steria","EADS Defence &amp; Security","Société Générale","Alstom Group","BNP Paribas","Veolia Energy","SEGULA Technologies",Deloitte,Atos,"Schneider Electric","ikomobi - Agence Mobile Native","See More",Hays,Capgemini,"Gfi Informatique",F2I,"Crédit Agricole"
2015-05-27,240,42,22,13,17,6,20,16,8,,7,11,,10,7,6,,,,6,18
2015-05-27,240,42,24,13,17,6,20,16,9,,7,11,,10,7,6,,,,6,18
2015-05-28,232,47,22,13,17,6,18,16,9,6,6,11,,10,7,6,,,,,18
2015-05-28,232,47,22,13,17,8,18,16,9,6,6,11,,10,7,6,,,,,18
2015-05-29,272,47,24,15,17,7,18,15,11,7,6,11,,10,7,6,,,,,18
2015-05-30,311,47,23,16,17,8,17,17,11,8,7,11,,7,7,7,,,,,
2015-05-31,325,47,23,16,17,8,19,17,9,10,7,11,,7,7,6,,,,6,
2015-06-01,231,50,23,18,17,8,19,17,9,10,11,11,,7,7,6,,,,6,
2015-06-02,231,53,24,18,19,6,19,17,9,10,12,11,,7,7,6,,,11,,
2015-06-03,,51,23,,15,,,,,,12,11,,,,,,,,,
2015-06-04,284,52,29,17,19,8,17,17,9,12,12,11,9,8,,8,,,11,,
2015-06-05,190,51,29,17,19,8,17,17,9,12,13,11,9,8,,8,,,11,,
2015-06-06,193,51,28,17,19,8,17,16,10,12,12,11,9,8,,8,,,11,,
2015-06-07,201,51,28,17,18,8,19,16,10,11,12,11,9,8,,8,,,11,,
2015-06-08,201,51,28,17,13,8,19,14,10,11,12,11,9,7,,7,,,11,,
2015-06-09,201,51,30,19,12,8,17,14,10,11,13,11,9,7,,7,,,11,,
2015-06-10,,58,27,,12,,,,,,13,11,,,,,,,,,
2015-06-11,208,54,27,22,16,,13,15,13,10,12,11,9,9,,5,,,11,5,
2015-06-12,,49,27,,13,,,,,,12,11,,10,,10,,,,,
2015-06-13,218,49,27,26,13,,13,15,12,12,12,11,9,11,7,7,,,11,,
2015-06-14,195,49,27,26,13,,13,14,12,12,12,11,9,11,7,7,,,11,,
2015-06-15,195,48,25,26,11,17,13,14,12,14,12,11,9,11,,9,,,11,,
2015-06-16,208,48,25,26,11,17,13,14,12,14,13,11,9,10,,9,,,11,,
2015-06-17,,50,27,,10,,,,,,12,11,,10,,10,,,,,
2015-06-18,203,50,23,26,16,18,12,14,11,14,12,11,9,,,9,,13,11,,
2015-06-19,215,51,24,28,14,19,12,15,11,14,11,11,9,,,9,,13,11,,
2015-06-20,213,51,24,29,14,19,12,15,11,14,11,11,9,,,9,,12,11,,
2015-06-21,206,51,24,29,14,17,12,15,11,14,11,11,9,,,9,,12,11,,
2015-06-22,,54,24,,20,,,,,,12,11,,9,,9,,,,,
2015-06-23,,53,27,,21,,,,,,11,11,,9,,5,5,,,,
2015-06-24,,50,27,,20,,,,,,11,11,,9,,6,6,,,,
2015-06-25,202,51,30,26,25,17,14,13,12,12,10,9,9,9,7,7,,,,,
