date,London,Cambridge,Manchester,Birmingham,Reading,Slough,"Hemel Hempstead",Southall,"See More",Tonbridge,Southampton,Nottingham,Oxford,Brighton,Glasgow,Coventry,Redhill,Luton,Guildford,Chester,Bristol,Swindon,Bournemouth,Chelmsford,Cardiff,Belfast,"Milton Keynes",Exeter,Leeds,Stevenage,Leicester,Cleveland
2015-03-11,82,30,13,11,,9,,,6,8,7,,,10,10,,7,,6,,7,,,,,8,,,7,,,
2015-03-12,87,22,13,9,8,10,,,7,8,7,,,9,10,,9,,,,7,,,,,7,,,9,,,
2015-03-16,97,29,12,12,,11,,,8,8,,,,9,10,,13,,8,,8,,,,,10,,,11,,,10
2015-03-18,97,29,15,13,,10,,,7,9,,,,11,9,7,13,,9,,8,,,,,8,,,10,,,
2015-03-18,98,25,16,13,,10,,,8,9,9,,,11,9,,11,,10,,8,,,,,8,,,10,,,
2015-03-19,100,32,15,13,,10,,,8,9,9,,8,11,8,9,13,,10,,,,,,,,,,8,,,
2015-03-20,103,30,15,14,,10,,,8,10,10,,9,12,,10,12,,11,,9,,,,,8,,,,,,
2015-03-21,101,32,15,14,,10,,,8,10,10,,9,12,,10,12,,11,,9,,,,,8,,,,,,
2015-03-22,100,30,15,14,,9,,,8,10,10,,9,12,,10,12,,11,,9,,,,,8,,,,,,
2015-03-23,100,24,16,12,,10,,,9,10,10,,10,13,9,11,11,,11,,10,,,,,,,,,,,
2015-03-24,92,29,13,10,,10,,,9,9,10,,9,15,,10,10,,11,,9,9,,,,,,,,,,
2015-03-25,90,29,12,12,,10,,,9,9,10,,9,14,,9,10,,10,,9,9,,,,,,,,,,
2015-03-26,90,28,13,13,,10,,,8,9,11,,9,12,,9,10,,8,,10,9,,,,,,,,,,
2015-03-27,92,26,12,13,8,10,,,7,,11,,9,12,8,,10,,,,11,7,,,,,,,7,,,
2015-03-28,91,26,12,14,8,10,,,7,,11,,8,13,8,,10,,,,12,7,,,,,,,7,,,
2015-03-29,92,30,16,15,,10,,,8,9,11,,9,13,8,9,10,,10,,13,,,,,,,,,,,
2015-03-30,91,33,15,15,,10,,,9,9,11,,9,14,9,11,10,,10,,13,,,,,,,,,,,
2015-03-31,93,27,15,15,9,10,,,9,,11,,9,13,9,11,,,10,,13,,,,,,,,9,,,
2015-04-01,90,29,15,14,,9,,,8,9,11,,9,14,8,11,,,11,,13,,,,,,,,8,,,
2015-04-02,90,30,15,13,,8,,,7,9,11,,,14,9,8,7,,11,,12,,,,,,,,8,,,
2015-04-03,97,29,16,16,,8,,,7,9,11,,,13,9,8,7,,11,,12,,,,,,,,7,,,
2015-04-04,96,31,15,16,,,,,6,9,10,,,13,9,7,6,,11,,12,,6,,,,,,8,,,
2015-04-05,92,31,14,14,,6,,,6,8,10,,,12,9,7,6,,10,,11,,,,,,,,7,,,
2015-04-06,95,39,14,14,8,,,,7,9,11,,,11,9,7,9,,10,,11,,,,,,,,7,,,
2015-04-07,93,40,18,17,7,,,,7,8,11,,,9,7,7,12,,19,,10,,,,,,,,7,,,
2015-04-08,99,36,20,14,,,,,7,9,10,8,,9,7,7,14,,22,,13,,,,,,,,7,,,
2015-04-09,97,31,19,14,7,,,,7,9,10,8,,9,7,,14,,22,,9,,,,,,,,,,7,
2015-04-10,100,38,20,14,7,,,,7,9,10,8,,11,7,,14,,21,,10,,,,,,,,,,7,
2015-04-11,108,41,21,18,,,,,7,9,10,8,,12,8,,14,,22,,9,,,,,,,,7,,7,
2015-04-12,106,41,21,18,,,,,7,9,10,8,,12,8,,14,,22,,9,,,,,,,,7,,7,
2015-04-13,102,37,21,19,,,,,7,9,10,8,,12,8,,14,,22,,9,,,,,,,,7,,7,
2015-04-14,106,39,23,21,,,,,7,9,10,8,,11,7,13,16,,20,,9,,,,,,,,,8,,
2015-04-15,105,38,23,17,,,,,8,8,10,8,,11,8,11,16,,19,,10,,,,,,,,,8,,
2015-04-16,102,35,23,17,,,,,7,8,9,9,,10,9,11,16,,19,,11,,,,,,,7,,,,
2015-04-17,106,41,26,18,,,,,7,7,10,9,,9,7,11,16,,20,,10,,,,,,,7,,,,
2015-04-18,115,41,26,20,9,,,,9,11,10,,,12,9,13,14,,12,,12,,,,,,,,9,,,
2015-04-19,136,41,28,24,,,11,,9,11,9,,,13,11,20,16,,12,,10,,,,,,,,12,,,
2015-04-20,138,32,31,23,,,12,,9,10,9,,,13,13,21,16,,13,,10,,,,,,,,12,,,
2015-04-21,100,32,28,17,,,,,7,8,9,7,,11,8,11,12,,10,,8,,,,,,,11,,,,
2015-04-22,100,33,27,15,,,,,7,8,9,7,,8,9,11,10,,10,,8,,,,,,,10,,,,
2015-04-23,97,35,28,15,,,,,7,10,10,7,9,8,8,,8,,10,,8,,,,,,,10,,,,
2015-04-24,97,33,28,16,,,,,7,9,10,7,9,8,9,,8,,9,,8,,,,,,,8,,,,
2015-04-25,91,38,28,16,,,,,6,9,10,7,8,8,8,,8,,9,,6,,,,,,,8,,,,
2015-04-26,89,39,24,18,8,,,,6,8,11,,8,9,8,,8,,9,,,,6,,,,,7,,,,
2015-04-27,84,38,25,12,8,,,,6,9,11,,7,9,9,,9,,11,,,,6,,,,,8,,,,
2015-04-28,83,37,25,12,7,,,,7,8,11,,7,9,8,7,8,,10,,,,,,,,,7,,,,
2015-04-29,88,38,26,12,,,,,7,8,11,,13,10,8,7,8,,11,,,,,,,7,,7,,,,
2015-04-30,90,38,27,12,7,,,,7,8,11,,13,10,8,,7,,11,,,,,,,7,,7,,,,
2015-05-01,94,41,25,13,7,,,,6,9,11,,13,10,,,8,,10,,,,6,,,7,,7,,,,
2015-05-02,92,40,26,13,7,,,,7,9,11,,13,9,7,,8,,10,,,,,,,7,,8,,,,
2015-05-03,94,38,28,15,8,,6,,6,9,11,,13,9,9,,9,,10,,,,,,,7,,,,,,
2015-05-04,93,33,27,12,7,,6,,6,9,11,,13,7,6,,9,,10,,,,,,,7,,,,,,
2015-05-05,90,32,24,14,8,,,,6,9,10,,11,7,8,,9,,9,,,,,,,7,,6,,,,
2015-05-06,95,32,26,12,8,,,,7,9,11,,11,7,10,,9,,7,,,,,,,7,7,,,,,
2015-05-07,94,30,26,13,8,,,,7,8,11,,11,7,7,7,9,,,,,,,,,7,8,,,,,
2015-05-08,97,31,25,13,9,,,,7,10,11,,11,7,11,7,9,,,,,,,,,7,8,,,,,
2015-05-09,101,31,24,13,9,,,,7,12,8,,11,8,9,,9,,8,,,,,,,7,8,,,,,
2015-05-10,97,30,22,12,11,,,,8,11,10,,11,8,10,8,10,,8,,,,,,,,9,,,,,
2015-05-11,99,30,22,14,11,,,,8,12,9,9,11,8,9,8,10,,,,,,,,,,9,,,,,
2015-05-12,102,31,19,12,,,,,8,14,10,9,11,8,13,8,10,,,,,,8,,,,10,,,,,
2015-05-13,101,31,18,12,,,,,8,15,10,9,11,8,12,8,8,,8,,,,,,,,10,,,,,
2015-05-14,98,30,16,11,9,,,,8,15,10,9,12,8,12,,10,,11,,,,,,,,9,,,,,
2015-05-15,102,29,16,9,,,,,7,14,7,10,12,8,13,8,10,,11,,,,,,,,9,,,,,
2015-05-16,104,29,16,11,,,,,9,13,9,10,10,9,10,9,9,,10,,,,,,,,9,,,,,
2015-05-17,108,31,17,9,,,,,9,14,10,10,12,9,12,9,9,,10,,,,,,,,10,,,,,
2015-05-18,104,30,21,9,,,,,8,12,10,9,12,,10,9,9,,11,,,,,,,8,10,,,,,
2015-05-19,98,36,22,10,,,,,8,15,10,,12,9,11,8,9,,11,,,,,,,8,10,,,,,
2015-05-20,98,37,23,14,,,,,8,12,10,10,12,,10,8,8,,,,8,,,,,8,8,,,,,
2015-05-21,97,37,23,15,,,,,8,14,10,11,12,10,10,8,8,,,,8,,,,,,8,,,,,
2015-05-22,98,37,24,14,,,,,8,15,10,10,12,10,13,8,,,,,9,,,8,,,8,,,,,
2015-05-23,98,38,21,16,,,,,7,13,10,10,11,8,9,,,,,,9,,,8,7,7,,,,,,
2015-05-24,97,38,22,14,,,,,8,13,10,10,11,8,9,9,8,,,,9,,,,8,,,,,,,
2015-05-25,95,37,21,14,,,,,8,13,10,10,11,8,9,9,8,,,,9,,,,8,,,,,,,
2015-05-26,96,33,19,14,,,,,8,13,10,10,11,8,10,11,10,,,,10,,,,8,,,,,,,
2015-05-27,98,33,20,13,,,,,7,13,9,10,11,8,10,11,10,,,,10,,,,7,,,,,,,
2015-05-27,99,33,20,12,,,,,7,13,9,10,11,8,10,10,10,,,,8,,,,7,,,,,,,
2015-05-28,99,35,22,13,,,,,7,13,9,12,10,8,10,9,10,,8,,7,,,,,,,,,,,
2015-05-29,87,34,21,12,,,,,7,12,9,12,,8,10,9,11,,7,,8,,,,7,,,,,,,
2015-05-30,84,35,16,11,,,,,7,12,9,13,,7,7,8,10,,,,8,,,7,7,,,,,,,
2015-05-31,87,35,19,11,,,,,7,12,9,13,,8,8,7,10,,7,,8,,,7,,,,,,,,
2015-06-01,89,34,21,11,,,,7,7,12,9,13,,9,8,7,9,,8,,8,,,,,,,,,,,
2015-06-02,88,33,22,11,,,,7,7,12,9,13,,9,8,7,9,,8,,9,,,,,,,,,,,
2015-06-03,93,33,21,,,,,8,5,,,,,9,,,,7,,5,8,5,,,,,,,,,,
2015-06-04,97,33,22,13,,,,8,8,12,11,12,9,9,9,,9,,9,,10,,,,,,,,,,,
2015-06-05,99,33,22,14,8,,,,8,12,11,12,9,9,8,,9,,8,,9,,,,,,,,,,,
2015-06-06,98,33,22,14,8,,,,8,13,11,12,9,9,8,,9,,8,,10,,,,,,,,,,,
2015-06-07,96,30,18,11,8,,,7,7,13,11,10,9,9,,7,,,7,,7,,,,,,,,,,,
2015-06-08,91,28,19,11,,8,,7,6,13,11,7,9,8,,,,,,6,7,,6,,,,,,,,,
2015-06-09,94,25,17,11,,8,,7,6,13,11,,8,7,6,,,,7,,7,,6,,,,,,,,,
2015-06-10,88,27,13,,6,7,,,5,,,,,,,,,5,7,5,6,5,,,,,,,,,,
2015-06-11,88,27,11,,7,7,,,5,,,,,,,,,5,7,5,,,,,,,,,,,,
2015-06-12,100,27,23,10,8,8,,7,6,12,11,10,10,8,7,6,,,,,,,,,,,,,,,,
2015-06-13,102,26,23,11,8,8,,7,5,,,,,,,,6,5,,,,,,,,,,,,,,
2015-06-14,98,26,23,11,8,8,,7,6,12,11,10,9,8,7,6,,,,,,,,,,,,,,,,
2015-06-15,100,25,23,11,8,8,7,7,7,,,,,,,,,,,,,,,,,,,,,,,
