date,London,Cambridge,Cardiff,Twickenham,Edinburgh,Brighton,Bristol,Manchester,Reading,Redhill,Plymouth,Guildford,"See More",Oxford,Leeds
2015-03-11,100,25,,,,,,,,,,,,,
2015-03-12,105,22,,,,,,,,,,,,,
2015-03-16,121,27,5,,,,,,,,,,,6,
2015-03-18,120,29,5,,,,,,,,,,,6,
2015-03-18,118,28,5,,,,,,,,,,,7,
2015-03-19,123,30,5,,5,,,,,,,,,6,
2015-03-20,121,28,5,,5,,,,,,,,,6,
2015-03-21,119,27,5,,5,,,,,,,,,6,
2015-03-22,119,27,5,,5,,,,,,,,,6,
2015-03-23,126,24,5,,,,,,,,,,,6,
2015-03-24,129,24,5,,,,,,,,,,,7,
2015-03-25,125,23,5,,5,,,,,,,,,8,
2015-03-26,128,26,5,,5,,,,,,,,,8,
2015-03-27,131,26,5,,5,,,,5,,,,5,8,
2015-03-28,129,26,5,,5,,,,5,,,,5,8,
2015-03-29,130,26,5,,5,,,,5,,,,5,8,
2015-03-31,130,25,5,,5,,,,5,,,,5,8,
2015-04-01,130,25,5,,5,,,,5,,,,5,7,
2015-04-02,122,26,,,5,,,,6,,,,,7,
2015-04-03,124,25,,,5,,,,6,,,,,7,
2015-04-04,127,25,,,5,,,,6,,,,,7,
2015-04-05,125,24,,,5,,,,6,,,,,7,
2015-04-06,125,25,,,5,,,,6,,,,,7,
2015-04-07,124,27,,,5,,,,6,,,,,7,
2015-04-08,123,28,,,,,,,6,,,,,7,
2015-04-09,125,27,,,,,,,6,,,,,7,
2015-04-10,128,28,,,,,,,6,,,,,7,
2015-04-11,130,25,,,,,,,6,,,,,7,
2015-04-12,129,25,,,,,,,6,,,,,7,
2015-04-13,127,24,,,,,,,6,,,,,7,
2015-04-14,129,37,,,,,,,6,,,,,6,
2015-04-15,137,40,,,,,,,6,,,,,6,
2015-04-16,144,38,,,,,,5,6,,,,,6,
2015-04-17,151,43,,,,,,5,5,,,,,6,
2015-04-18,169,44,,,,,,8,9,,,,,13,
2015-04-19,187,43,,,,,,8,9,,,,6,11,6
2015-04-20,187,40,,,,,,7,8,,,,6,9,6
2015-04-21,149,35,,,,,,5,6,,,,,5,
2015-04-22,149,36,,,,,,5,6,,,,,5,
2015-04-23,147,37,,,,,,6,5,,,,,5,
2015-04-24,150,38,,,,,,6,,,,,,5,
2015-04-25,155,40,,,,,,6,,,,,,5,
2015-04-26,154,41,,,,,,6,,,,,,5,
2015-04-27,156,39,,,,,,6,,,,,,,
2015-04-28,160,41,,,,,,7,,,,,,,
2015-04-29,164,41,,,,,,6,5,,,,,,
2015-04-30,159,41,,,,,,6,,,,,,,
2015-05-01,155,42,,,,,,6,,,,,,,
2015-05-02,149,42,,,,,,7,,,,,,,
2015-05-03,146,36,,,,,,7,,,,,,,
2015-05-04,151,30,,,,,,7,,,,,,,
2015-05-05,149,31,,,,,,7,,,,,,,
2015-05-06,153,31,,,,,,7,,,,,,,
2015-05-07,160,30,,,,,,7,5,,,,,,
2015-05-08,158,28,,,,,,7,,,,,,,
2015-05-09,156,29,,,,,,6,,,,,,,
2015-05-10,156,28,,,,,,6,,,,,,,
2015-05-11,160,29,,,,,,6,,,,,,,
2015-05-12,164,32,,,,,,6,,,,,,,
2015-05-13,167,31,,,,,,5,,,,,,,
2015-05-14,162,29,,,,,,5,,,5,5,,,
2015-05-15,168,28,,,,,,5,,,5,5,,,
2015-05-16,166,28,,,,,,,,,5,5,,,
2015-05-17,164,27,,,,,,,,,5,5,,,
2015-05-18,164,28,,,,,,,5,6,6,5,5,,
2015-05-19,167,44,,,,,,,5,,6,,,,
2015-05-20,175,45,,,,,,6,5,5,,,,,
2015-05-21,181,45,,,5,,,6,5,,,,,,
2015-05-22,183,45,,,,,,6,5,,,,,,
2015-05-23,185,46,,,,,,6,5,,,,,,
2015-05-24,181,46,,,,,,5,,,,,,,
2015-05-25,180,34,,,,,,5,,,,,,,
2015-05-26,183,30,,,,,,5,,,,,,,
2015-05-27,183,30,,,,,,5,,,,,,,
2015-05-27,175,30,,,,,,,,,,,,,
2015-05-28,169,30,,,,,,,,,,,,,
2015-05-29,169,33,,,,,,,,,,,,,
2015-05-30,175,31,,,,,,,5,,,,,,
2015-05-31,176,31,,,,,,,5,,,,,,
2015-06-01,176,29,,,,,,,6,,,,,,
2015-06-02,178,27,,,,,,,6,,,,,,
2015-06-03,174,28,,,,,,,5,,,,,,
2015-06-04,175,27,,,,,,,5,,,,,,
2015-06-05,170,27,,,,,,,5,,,,,,
2015-06-06,170,28,,,,,,,5,,,,,,
2015-06-07,167,24,,,,,,,5,,,,,,
2015-06-08,177,22,,,,,,,5,,,,,,
2015-06-09,180,21,,,,,,,5,,,,,,
2015-06-10,176,19,,,,,,,5,,,,,,
2015-06-11,183,17,,,,,,,,,,,,,
2015-06-12,182,18,,,,,,,5,,,,,,
2015-06-13,181,21,,,7,,,,5,,,,,,
2015-06-14,181,18,,,,,,,,,,,,,
2015-06-15,184,19,,,7,,,,,,,,,,
2015-06-16,183,19,,,8,,,,,,,,,,
2015-06-17,174,18,,,8,,,,,,,,,,
2015-06-18,177,17,,,,,,,,,,,,,
2015-06-19,167,17,,,8,,,,,,,,,,
2015-06-20,172,16,,,,,,,,,,,,,
2015-06-21,167,17,,,,,,,,,,,,,
2015-06-22,152,13,,,10,,,,,,,,,,
2015-06-23,152,13,,,9,,,,5,,,,,,
2015-06-24,168,13,,,,,,,5,,,,,,
2015-06-25,157,11,,,9,,,,5,,,,,,
2015-06-26,156,11,,,9,,6,5,,,,,,,
2015-06-27,161,12,,,10,6,6,,,,,,,,
2015-06-28,162,14,,5,11,,,,,,,,,,
2015-06-29,162,15,,5,,,,,,,,,,,
2015-06-30,176,15,,,,,,,,,,,,,
2015-07-01,187,16,,,,,,,,,,,,,
2015-07-02,181,15,,,,,,,,,,,,,
2015-07-03,181,15,5,5,,,,,,,,,,,
