date,London,Cambridge,Manchester,Oxford,Reading,Leeds,"See More",Edinburgh,Cardiff
2015-03-11,100,25,,,,,,,
2015-03-12,105,22,,,,,,,
2015-03-16,121,27,,6,,,,,5
2015-03-18,120,29,,6,,,,,5
2015-03-18,118,28,,7,,,,,5
2015-03-19,123,30,,6,,,,5,5
2015-03-20,121,28,,6,,,,5,5
2015-03-21,119,27,,6,,,,5,5
2015-03-22,119,27,,6,,,,5,5
2015-03-23,126,24,,6,,,,,5
2015-03-24,129,24,,7,,,,,5
2015-03-25,125,23,,8,,,,5,5
2015-03-26,128,26,,8,,,,5,5
2015-03-27,131,26,,8,5,,5,5,5
2015-03-28,129,26,,8,5,,5,5,5
2015-03-29,130,26,,8,5,,5,5,5
2015-03-31,130,25,,8,5,,5,5,5
2015-04-01,130,25,,7,5,,5,5,5
2015-04-02,122,26,,7,6,,,5,
2015-04-03,124,25,,7,6,,,5,
2015-04-04,127,25,,7,6,,,5,
2015-04-05,125,24,,7,6,,,5,
2015-04-06,125,25,,7,6,,,5,
2015-04-07,124,27,,7,6,,,5,
2015-04-08,123,28,,7,6,,,,
2015-04-09,125,27,,7,6,,,,
2015-04-10,128,28,,7,6,,,,
2015-04-11,130,25,,7,6,,,,
2015-04-12,129,25,,7,6,,,,
2015-04-13,127,24,,7,6,,,,
2015-04-14,129,37,,6,6,,,,
2015-04-15,137,40,,6,6,,,,
2015-04-16,144,38,5,6,6,,,,
2015-04-17,151,43,5,6,5,,,,
2015-04-18,169,44,8,13,9,,,,
2015-04-19,187,43,8,11,9,6,6,,
2015-04-20,187,40,7,9,8,6,6,,
2015-04-21,149,35,5,5,6,,,,
2015-04-22,149,36,5,5,6,,,,
2015-04-23,147,37,6,5,5,,,,
