date,Google,Abbott,Apple,Microsoft,Facebook,IBM,Amazon,"Intel Corporation","Nigel Frank International",Oracle,"Johnson &amp; Johnson",SAS,"Computer Futures","Amazon UK",Deloitte,"See More",Dell,GSK,Hays,"Bank of Ireland",Mylan,Novartis,"Novartis Consumer Health",Stryker
2015-05-28,16,18,8,,6,10,8,11,,,6,,,6,5,5,11,,,,11,6,15,6
2015-05-29,12,16,7,,6,10,7,10,,,5,,,6,5,5,12,,,,12,6,16,6
2015-05-30,12,15,7,,6,10,7,10,,,5,,,7,5,5,12,,,,12,6,14,6
2015-05-31,12,15,7,,6,10,7,10,,,5,,,7,5,5,12,,,,12,6,14,6
2015-06-01,15,15,6,,6,10,7,10,,,5,,,7,5,5,11,,,,12,6,14,6
2015-06-02,13,15,9,,6,10,7,10,,8,,,,7,5,5,11,,,,12,6,14,6
2015-06-03,14,13,11,,6,9,7,10,,8,5,,,7,5,5,11,,,,11,6,15,
2015-06-04,14,13,17,,6,11,7,9,,9,,6,,7,5,5,9,,,,12,6,15,
2015-06-05,13,13,17,,6,11,7,9,,8,,6,,7,5,5,8,5,,,12,,9,
2015-06-06,13,14,16,,6,11,7,9,,8,5,6,,7,5,5,8,5,,,9,,,
2015-06-07,13,14,17,,6,11,7,9,,7,5,6,,7,5,5,8,5,,,9,,,
2015-06-08,14,14,15,,,11,7,10,,8,5,6,,7,5,5,8,5,,,9,5,,
2015-06-09,13,13,14,,6,11,8,11,,8,5,6,,7,5,5,8,5,,,9,,,
2015-06-10,14,17,17,,6,11,8,12,,8,5,6,,8,5,5,7,5,,,9,,,
2015-06-11,13,13,9,,6,11,8,11,,8,6,6,,8,5,5,7,5,,,9,,,
2015-06-12,13,13,9,,6,13,8,11,,8,6,6,,8,5,5,7,,,6,9,,,
2015-06-13,13,16,13,,6,13,8,11,,8,6,6,,7,5,5,7,5,,6,,,,
2015-06-14,13,16,13,,6,13,8,11,,8,6,6,,8,5,5,7,5,,6,,,,
2015-06-15,13,15,12,,6,13,8,12,,6,6,6,,6,5,5,7,5,,6,,,,
2015-06-16,11,15,13,,6,13,9,13,,7,6,6,,6,5,5,11,5,,6,,,,
2015-06-17,11,15,16,,5,13,9,12,,9,6,6,,7,5,5,10,5,,5,,,,
2015-06-18,11,15,20,,5,13,9,12,,9,6,6,,8,5,5,10,5,,,,,,
2015-06-19,12,16,19,,5,13,9,12,,10,6,6,,8,5,5,10,5,5,,,,,
2015-06-20,12,15,14,,5,13,9,12,,9,6,6,,8,5,5,10,5,5,,,,,
2015-06-21,12,15,18,,5,13,9,12,,8,6,6,,8,5,5,10,5,5,,,,,
2015-06-22,11,16,19,,5,12,9,12,,8,6,6,,8,5,5,10,5,5,,,,,
2015-06-23,12,17,19,,5,12,9,11,,9,6,6,,8,5,5,8,,,,,,,
2015-06-24,9,20,20,,5,12,9,9,,10,6,6,,8,5,5,7,,,,,,,
2015-06-25,11,20,18,,,12,9,9,,8,6,6,,8,5,5,6,,,,,,,
2015-06-26,11,18,19,,5,12,9,8,,8,5,,,7,5,5,6,,,,,,,
2015-06-27,11,18,19,,5,12,9,8,,8,5,,,7,5,5,6,,,,,,,
2015-06-28,11,18,19,,5,12,9,8,7,7,5,,5,7,5,5,6,,,,,,,
2015-06-29,11,19,14,,5,12,9,8,8,7,5,,,8,5,5,,,,,,,,
2015-06-30,11,19,13,,,12,9,8,8,8,5,6,6,8,5,5,,,,,,,,
2015-07-01,11,18,20,,5,11,9,8,8,7,7,6,6,6,5,5,,,,,,,,
2015-07-02,9,9,7,,,,,,,,,,,,,,,,,,,,,
2015-07-03,9,9,5,,,,,,,,,,,,,,,,,,,,,
2015-07-04,9,7,7,,,,,,,,,,,,,,,,,,,,,
2015-07-05,9,7,7,,,,,,,,,,,,,,,,,,,,,
2015-07-07,8,8,8,,,,,,,,,,,,,,,,,,,,,
2015-07-08,8,8,5,,,,,,,,,,,,,,,,,,,,,
2015-07-09,8,7,5,,,,,,,,,,,,,,,,,,,,,
2015-07-10,8,7,,5,,,,,,,,,,,,,,,,,,,,
2015-07-11,8,7,5,,,,,,,,,,,,,,,,,,,,,
2015-07-12,8,7,5,,,,,,,,,,,,,,,,,,,,,
2015-07-13,8,6,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,7,8,5,5,5,,,,,,,,,,,,,,,,,,,
2015-07-15,8,8,6,5,5,,,,,,,,,,,,,,,,,,,
