date,PwC,Bertrandt,"FERCHAU Engineering","arvato Systems S4M GmbH","arvato Systems","Daimler AG",Bosch,"Deloitte Deutschland","home of jobs Hamburg GmbH","See More","Orizon GmbH",Deloitte,"GKM-recruitment partner Ltd.","Airbus Group","BMW Group"
2015-05-27,8,7,6,6,5,,,,5,5,,5,,,6
2015-05-27,8,7,6,,5,,,,5,5,,5,,,6
2015-05-28,8,7,6,,5,,,,5,5,,5,,,6
2015-05-28,8,7,6,,5,,,,5,5,,5,,,6
2015-05-29,8,7,7,7,5,,,,5,5,,,5,5,5
2015-05-30,8,7,7,7,5,,,,5,5,,,5,5,
2015-06-01,8,6,7,7,5,,,,5,5,6,,5,,
2015-06-02,8,6,7,7,5,,,,5,5,5,,,,
2015-06-04,8,6,7,8,6,,,,,5,5,5,,,
2015-06-05,8,6,7,6,6,,,,,5,5,,,,
2015-06-07,8,7,7,7,6,,,,5,5,6,5,,,
2015-06-09,8,7,7,7,6,,,,5,5,6,,,,
2015-06-10,8,7,6,7,6,,,,,6,6,,,,
2015-06-11,8,7,7,9,6,6,,6,5,5,6,,,,
2015-06-14,8,7,7,5,6,6,5,5,5,5,5,,,,
2015-06-15,8,7,7,6,6,6,5,5,5,5,,,,,
