date,"enterprise process","business intelligence","data anonymisation",semantics,schema,"data licensing","data quality","data governance"
2015-05-28,0,133,0,0,143,0,52,37
2015-05-29,0,134,0,0,143,0,54,39
2015-05-30,0,134,0,0,141,0,54,39
2015-05-31,0,132,0,0,140,0,53,39
2015-06-01,0,129,0,0,138,0,51,38
2015-06-02,0,142,0,0,141,0,54,39
2015-06-03,0,138,0,0,143,0,53,38
2015-06-04,0,140,0,0,151,0,54,43
2015-06-05,0,141,0,0,151,0,51,43
2015-06-06,0,139,0,0,145,0,49,43
2015-06-07,0,141,0,0,144,0,49,43
2015-06-08,0,136,0,0,153,0,48,42
2015-06-09,0,140,0,0,154,0,48,39
