date,Deloitte,"Scuola Normale Superiore","Università degli Studi Roma Tre","Catholic University of Milan","SEVERI SRL","University of Calabria","University of Pisa","Politecnico di Bari","Randstad Italia","University of Florence","University of Turin","Università di Genova","University of Messina","See More","CNR - Istituto per le Applicazioni del Calcolo &quot;M. Picone&quot;","Istituto di Studi Avanzati di Milano",IBM
2015-05-28,21,43,34,31,25,26,15,,7,5,6,5,5,5,,,5
2015-05-29,21,43,34,33,25,27,14,,8,5,6,6,5,5,5,,5
2015-05-30,21,,,,,,,,,,,,,,,,
2015-05-31,21,42,32,34,27,26,16,7,8,5,6,5,5,5,5,,5
2015-06-01,19,42,32,34,26,26,15,7,7,5,6,5,5,5,5,,5
2015-06-02,19,42,32,34,26,26,15,7,7,5,6,5,5,5,5,,5
2015-06-03,19,43,33,34,28,26,15,7,7,6,6,6,5,5,5,,5
2015-06-04,5,45,36,36,28,28,18,7,7,6,6,7,5,5,5,,5
2015-06-05,19,,,,,,,,,,,,,,,,
2015-06-06,19,43,35,33,23,27,13,8,7,6,6,6,5,5,5,,
2015-06-07,19,44,35,34,25,27,15,8,7,6,6,6,5,5,5,,
2015-06-08,22,41,34,33,25,26,15,8,7,6,6,6,5,5,5,,
2015-06-09,22,42,32,33,23,27,16,6,7,5,6,6,,5,5,,
2015-06-10,22,42,34,34,24,25,14,7,7,6,6,6,5,5,5,5,
2015-06-11,22,42,34,34,24,25,14,7,7,6,6,6,5,5,5,5,
2015-06-12,19,,,,,,,,,,,,,,,,
2015-06-13,19,42,33,35,28,27,16,7,7,5,6,5,,5,5,,
2015-06-14,19,,,,,,,,,,,,,,,,
2015-06-15,19,45,34,32,27,28,15,9,7,6,6,6,5,5,5,,
2015-06-16,19,46,35,33,27,26,16,9,7,6,6,6,5,5,,,
2015-06-17,19,,,,,,,,,,,,,,,,
