date,"visualizzazione dei dati",infografica,interazione,"mappatura dei dati","Storie di dati","data journalism",d3js,quadro
2015-05-28,0,0,53,0,0,0,0,265
2015-05-29,0,0,55,0,0,0,0,269
2015-05-30,0,0,56,0,0,0,0,261
2015-05-31,0,0,58,0,0,0,0,270
2015-06-01,0,0,61,0,0,0,0,265
2015-06-02,0,0,61,0,0,0,0,265
2015-06-03,0,0,61,0,0,0,0,269
2015-06-04,0,0,62,0,0,0,0,278
2015-06-05,0,0,53,0,0,0,0,272
2015-06-06,0,0,53,0,0,0,0,265
2015-06-07,0,0,60,0,0,0,0,276
2015-06-08,0,0,60,0,0,0,0,266
2015-06-09,0,0,59,0,0,0,0,259
2015-06-10,0,0,62,0,0,0,0,261
2015-06-11,0,0,50,0,0,0,0,250
2015-06-12,0,0,60,0,0,0,0,258
2015-06-13,0,0,49,0,0,0,0,258
2015-06-14,0,0,59,0,0,0,0,255
2015-06-15,0,0,59,0,0,0,0,257
2015-06-16,0,0,48,0,0,0,0,250
2015-06-17,0,0,47,0,0,0,0,248
2015-06-18,0,0,48,0,0,0,0,262
2015-06-19,0,0,60,0,0,0,0,249
2015-06-20,0,0,48,0,0,0,0,249
2015-06-21,0,0,59,0,0,0,0,244
2015-06-22,0,0,59,0,0,0,0,251
2015-06-23,0,0,48,0,0,0,0,252
2015-06-24,0,0,47,0,0,0,0,251
2015-06-25,0,0,46,0,0,0,0,248
2015-06-26,0,0,47,0,0,0,0,245
2015-06-27,0,0,45,0,0,0,0,250
2015-06-28,0,0,56,0,0,0,0,245
2015-06-29,0,0,48,0,0,0,0,245
2015-06-30,0,0,48,0,0,0,0,250
2015-07-01,0,0,46,0,0,0,2,258
2015-07-02,0,0,50,0,0,0,2,258
2015-07-03,0,0,49,0,0,0,2,258
2015-07-04,0,0,50,0,0,0,2,258
2015-07-05,0,0,51,0,0,0,2,254
2015-07-07,0,0,52,0,0,0,2,255
2015-07-08,0,0,50,0,0,0,2,251
2015-07-09,0,0,51,0,0,0,2,257
2015-07-10,0,0,48,0,0,0,0,260
2015-07-11,0,0,48,0,0,0,0,254
2015-07-12,0,0,49,0,0,0,0,254
2015-07-13,0,0,49,0,0,0,0,255
2015-07-14,0,0,52,0,0,0,0,256
2015-07-15,0,0,53,0,0,0,0,241
2015-07-16,0,0,53,0,0,0,0,244
2015-07-17,0,0,54,0,0,0,0,249
2015-07-18,0,0,53,0,0,0,0,233
2015-07-19,0,0,51,0,0,0,0,228
2015-07-20,0,0,51,0,0,0,0,235
2015-07-21,0,0,55,0,0,0,0,232
2015-07-22,0,0,57,0,0,0,0,230
2015-07-23,0,0,57,0,0,0,0,228
2015-07-24,0,0,0,0,0,0,0,0
2015-07-25,0,0,0,0,0,0,0,0
