date,Python,"Advanced Computing",Programmierung,Rechensysteme,Verschlüsselung,"Cloud Computing"
2015-05-28,47,0,14,0,0,22
2015-05-28,46,0,14,0,0,21
2015-05-29,38,0,13,0,0,23
2015-05-30,37,0,13,0,0,23
2015-05-31,37,0,14,0,0,23
2015-06-01,39,0,14,0,0,24
2015-06-02,37,0,16,0,0,24
2015-06-03,39,0,11,0,0,24
2015-06-04,50,0,16,0,0,25
2015-06-05,50,0,19,0,0,25
2015-06-06,49,0,19,0,0,22
2015-06-07,48,0,18,0,0,21
2015-06-08,46,0,18,0,0,20
2015-06-09,52,0,19,0,0,21
2015-06-10,54,0,16,0,0,18
2015-06-11,52,0,15,0,0,18
2015-06-12,49,0,16,0,0,15
2015-06-13,54,0,16,0,0,15
2015-06-14,54,0,14,0,0,15
2015-06-15,52,0,17,0,0,19
2015-06-16,54,0,18,0,0,18
2015-06-17,53,0,19,0,0,20
2015-06-18,55,0,18,0,0,21
2015-06-19,55,0,18,0,0,19
2015-06-20,57,0,19,0,0,19
2015-06-21,56,0,19,0,0,19
2015-06-22,57,0,19,0,0,19
2015-06-23,56,0,21,0,0,18
2015-06-24,54,0,20,0,0,18
2015-06-25,55,0,23,0,0,16
2015-06-26,58,0,23,0,0,17
2015-06-27,58,0,23,0,0,17
2015-06-28,57,0,23,0,0,18
2015-06-29,59,0,21,0,0,20
2015-06-30,62,0,19,0,0,19
