date,python,"avancerad databehandling",programmering,beräkningssystem,kodande,"Cloud computing"
2015-05-28,61,0,50,0,0,24
2015-05-29,58,0,50,0,0,26
2015-05-30,58,0,49,0,0,26
2015-05-31,58,0,49,0,0,25
2015-06-01,59,0,47,0,0,25
2015-06-02,60,0,47,0,0,25
2015-06-03,64,0,50,0,0,25
2015-06-04,64,0,53,0,0,24
2015-06-05,63,0,52,0,0,23
2015-06-06,61,0,52,0,0,23
2015-06-07,61,0,51,0,0,23
2015-06-08,61,0,56,0,0,23
2015-06-09,61,0,59,0,0,20
2015-06-10,60,0,60,0,0,19
2015-06-11,63,0,62,0,0,20
2015-06-12,63,0,60,0,0,18
2015-06-13,63,0,60,0,0,18
2015-06-14,63,0,59,0,0,19
2015-06-15,66,0,61,0,0,20
2015-06-16,72,0,66,0,0,19
2015-06-17,72,0,64,0,0,19
2015-06-18,74,0,64,0,0,18
2015-06-19,71,0,64,0,0,18
2015-06-20,69,0,61,0,0,18
2015-06-21,68,0,61,0,0,18
2015-06-22,71,0,65,0,0,23
