date,Milan,Rome,Bologna,Padova,"Monza and Brianza"
2015-05-28,21,10,,,5
2015-05-29,21,10,,,
2015-05-30,20,10,,,
2015-05-31,20,10,,,
2015-06-01,19,10,,,
2015-06-02,19,9,,,
2015-06-03,25,14,,,
2015-06-04,26,14,,,
2015-06-05,26,14,,,
2015-06-06,27,14,,,
2015-06-07,27,14,,,
2015-06-09,31,12,,,
2015-06-10,33,12,,,
2015-06-11,35,11,,,
2015-06-12,37,10,,,
2015-06-13,37,9,,,
2015-06-14,37,10,,,
2015-06-15,39,10,,,
2015-06-16,40,9,,,
2015-06-17,41,9,,,
2015-06-18,39,9,,,
2015-06-19,40,8,,,
2015-06-20,38,9,,,
2015-06-21,37,9,,,
2015-06-22,38,9,,,
2015-06-23,38,9,,,
2015-06-24,38,9,,,
2015-06-25,38,8,5,,
2015-06-26,38,9,5,,
2015-06-27,40,9,5,,
2015-06-28,40,9,5,,
2015-06-29,41,9,5,,
2015-06-30,41,9,5,,
2015-07-01,43,9,5,5,
2015-07-02,40,9,5,5,
2015-07-03,41,9,5,5,
2015-07-04,41,9,5,5,
2015-07-05,42,9,5,5,
2015-07-07,48,9,5,5,
2015-07-08,47,9,5,5,
2015-07-09,45,9,,5,
2015-07-10,45,10,,5,
2015-07-11,42,10,,5,
2015-07-12,43,10,,5,
2015-07-13,44,10,5,,
2015-07-14,45,10,5,,
2015-07-15,41,11,5,,
2015-07-16,44,11,5,,
2015-07-17,44,11,,,
2015-07-18,45,11,,,
