date,Warsaw,Cracow,Wroclaw,Gdansk,"Pomeranian District",Poznan,"Silesian District",Lodz,Katowice,Lublin,"Swietokrzyskie District",Rzeszow,"Kuyavian-Pomeranian District","Poland District","See More"
2015-05-28,6,25,15,19,,7,,5,,,,,,,5
2015-05-29,6,26,16,19,,8,,5,,,,,,,5
2015-05-30,6,26,16,19,,8,,5,,,,,,,5
2015-05-31,6,26,16,19,,8,,5,,,,,,,5
2015-06-01,7,28,15,19,,8,,5,,,,,,,5
2015-06-02,8,28,14,19,,9,,5,,,,,,,5
2015-06-03,8,26,14,20,,9,,5,,,,,,,5
2015-06-04,9,27,15,24,,9,,6,,,,,,,6
2015-06-05,7,26,15,22,,9,,6,,,,,,,6
2015-06-06,7,26,15,22,,9,,6,,,,,,,6
2015-06-07,7,26,15,22,,9,,6,,,,,,,6
2015-06-08,7,26,15,22,,9,,7,,,,,,,7
2015-06-09,6,29,15,23,,9,,5,,,,,,,5
2015-06-10,6,29,17,21,,9,,5,,,,,,,5
2015-06-11,7,29,15,22,,9,,,,,,,,,
2015-06-12,7,29,14,23,,9,,,,,,,,,
2015-06-13,7,29,14,23,,9,,,,,,,,,
2015-06-14,7,29,13,23,,9,,,,,,,,,
2015-06-15,7,29,13,22,,9,,5,,,,,,,5
2015-06-16,7,30,13,21,,9,,5,,,,,,,5
2015-06-17,6,28,12,27,,9,,5,,,,,,,5
2015-06-18,7,28,14,26,,6,,5,,,,,,,5
2015-06-19,7,26,13,26,,6,,5,,,,,,,5
2015-06-20,6,26,13,25,,6,,5,,,,,,,5
2015-06-21,6,26,13,25,,6,,5,,,,,,,5
2015-06-22,7,21,12,24,,6,,5,,,,,,,5
2015-06-23,8,25,10,23,,6,,5,,,,,,,5
2015-06-24,8,25,8,22,,6,,5,,,,,,,5
2015-06-25,9,24,6,23,,6,,5,,,,,,,5
2015-06-26,26,31,21,21,,12,7,8,,,,,,,7
2015-06-27,71,100,69,38,17,40,15,16,12,,,5,5,,5
2015-06-28,111,135,88,42,28,38,16,19,12,8,,9,6,5,5
2015-06-29,123,121,74,45,30,25,20,19,8,8,8,8,6,5,5
