date,"data science","big data","open data"
2015-05-28,31,141,0
2015-05-29,31,142,0
2015-05-30,27,145,0
2015-05-31,26,143,0
2015-06-01,25,141,0
2015-06-02,25,141,0
2015-06-03,25,138,0
2015-06-04,25,145,0
2015-06-05,26,149,0
2015-06-06,26,148,0
2015-06-07,26,147,0
2015-06-08,25,149,0
2015-06-09,25,152,0
2015-06-10,25,158,0
2015-06-11,23,160,0
2015-06-12,23,160,0
2015-06-13,23,157,0
2015-06-14,22,156,0
2015-06-15,22,154,0
2015-06-16,23,159,0
2015-06-17,24,158,0
2015-06-18,23,162,0
2015-06-19,25,164,0
2015-06-20,25,162,0
2015-06-21,26,158,0
2015-06-22,25,161,0
2015-06-23,25,164,0
2015-06-24,26,166,0
2015-06-25,26,166,0
2015-06-26,25,170,0
2015-06-27,24,168,0
2015-06-28,23,177,0
2015-06-29,23,182,0
2015-06-30,23,190,0
2015-07-01,23,188,0
2015-07-02,23,186,0
2015-07-03,23,179,0
2015-07-04,23,181,0
2015-07-05,23,182,0
2015-07-07,24,199,0
2015-07-08,28,196,0
2015-07-09,30,175,0
2015-07-10,30,173,0
2015-07-11,29,167,0
2015-07-12,29,166,0
2015-07-13,29,176,0
2015-07-14,29,177,0
2015-07-15,29,176,0
2015-07-16,27,177,0
2015-07-17,27,186,0
2015-07-18,27,190,0
2015-07-19,30,198,0
2015-07-20,30,197,0
