date,Rome,Milan,Bologna,Treviso,Padova,"Reggio Emilia",Florence,Verona,Pavia,"See More",Perugia,Turin,Arezzo,Bolzano,Trieste,Benevento,Parma,Cuneo
2015-05-28,106,84,34,19,28,16,,11,,11,27,25,15,13,12,,20,15
2015-05-29,102,89,35,18,28,15,,11,,11,27,25,15,13,12,,19,15
2015-05-30,100,87,32,16,27,16,,10,,10,27,25,15,13,12,,18,15
2015-05-31,102,89,34,15,27,15,,,,11,27,25,15,13,13,11,18,15
2015-06-01,100,87,33,16,27,15,,10,,10,27,25,15,13,13,,18,15
2015-06-02,100,89,34,16,27,15,,10,,10,27,25,15,13,13,,18,15
2015-06-03,98,84,34,16,27,15,,11,,11,27,25,15,13,13,,19,14
2015-06-04,101,72,35,18,25,17,,11,,11,28,25,14,13,13,,20,14
2015-06-05,99,81,35,18,25,16,,11,,11,27,24,14,13,12,,18,13
2015-06-06,95,81,34,17,25,16,,12,,12,27,24,15,13,12,,18,13
2015-06-07,96,80,32,17,25,16,,12,,12,27,23,15,13,12,,18,13
2015-06-08,94,82,30,17,25,16,11,,,11,26,21,15,12,12,,18,13
2015-06-09,96,80,30,17,25,17,,11,,11,26,21,15,12,12,,18,12
2015-06-10,98,80,30,18,25,17,,11,,11,26,23,15,12,12,,17,12
2015-06-11,52,30,14,,,,,5,,,,,,,,,6,
2015-06-12,51,31,15,,,,6,5,,,,,,,,,,
2015-06-13,51,31,15,,,,6,5,,5,,,,,,,6,
2015-06-14,51,30,14,,,,6,5,,5,,7,,,,,6,
2015-06-15,53,30,14,,,,6,5,5,5,,,,,,,6,
2015-06-16,52,28,15,,,,6,5,5,5,,,,,,,6,
2015-06-17,94,79,33,17,25,16,11,11,,11,25,21,16,14,12,,16,
2015-06-18,92,81,32,18,28,15,11,11,,11,26,21,15,13,12,,16,
2015-06-19,95,81,33,18,28,15,11,11,,9,26,15,16,15,12,9,,
2015-06-20,96,79,31,18,28,15,11,12,,9,26,15,16,15,12,9,,
2015-06-21,51,25,14,,9,,6,,5,5,,,,,,,,
2015-06-22,49,24,14,,9,,6,,5,5,,,,,,,,
2015-06-23,49,24,15,,9,,5,,5,5,,,,,,,,
2015-06-24,93,79,31,18,27,16,10,14,,9,27,18,16,15,10,9,,
2015-06-25,48,25,14,12,9,10,5,5,5,5,,,,,,,,
2015-06-26,49,28,14,12,10,10,5,5,5,5,,,,,,,,
