date,Rome,Milan,Bologna,Florence,Turin,Padova,"See More",Pisa,Cosenza,Arezzo,Genoa,Perugia,Naples,Trieste,Bolzano,Messina,Trento,"Reggio Calabria",Parma
2015-05-28,102,68,8,5,8,5,5,59,22,8,6,9,6,,,5,,,5
2015-05-29,101,71,10,5,8,5,5,58,23,7,7,9,6,,,5,,,
2015-05-30,52,35,,,7,,,5,,,,,,,,,,,
2015-05-31,101,73,9,5,8,5,5,59,23,10,6,9,6,,,5,,,
2015-06-01,100,71,11,6,8,5,5,58,23,10,6,9,6,,,5,,,
2015-06-02,100,71,11,6,7,5,5,58,23,10,6,9,6,,,5,,,
2015-06-03,102,71,10,7,7,5,5,59,22,10,7,9,6,5,,5,,,
2015-06-04,105,64,10,7,8,5,5,64,24,10,8,10,6,5,,5,,,
2015-06-05,49,32,,,7,,,,,,,,,,,,,,
2015-06-06,97,69,10,7,8,5,5,57,23,11,7,9,6,,,5,,5,
2015-06-07,100,68,9,7,8,5,5,60,23,11,7,9,6,,,5,,5,
2015-06-08,98,69,9,8,7,5,5,57,23,11,7,8,6,5,,5,,,
2015-06-09,95,69,9,7,7,5,5,59,23,9,7,8,6,5,,,,,
2015-06-10,98,69,9,8,10,5,5,56,22,10,7,8,6,5,,5,,,
2015-06-11,97,68,9,8,10,5,5,56,22,10,7,8,6,5,,5,,,
2015-06-12,53,35,7,7,9,,,,,,,,,,,,,,
2015-06-13,98,69,9,9,10,5,5,58,23,9,6,8,6,5,5,,,,
2015-06-14,51,36,7,8,9,,,,,,,,,,,,,,
2015-06-15,98,66,10,10,10,5,5,60,24,12,7,8,6,,5,5,,,
2015-06-16,98,67,9,10,10,5,5,62,23,12,7,8,6,,5,5,,,
2015-06-17,51,34,8,8,9,,,,,,,,,,,,,,
2015-06-18,99,71,13,10,10,5,5,62,24,10,7,8,6,,5,5,,,
2015-06-19,99,74,14,11,8,7,6,62,26,10,7,9,7,,7,6,,,
2015-06-20,55,35,9,9,7,,5,,,,,,,,,,5,,
2015-06-21,54,33,9,9,6,,5,,,,,,,,,,5,,
2015-06-22,100,70,16,11,7,6,6,60,24,12,7,9,7,,7,6,,,
2015-06-23,56,36,11,9,6,,5,,,,,,,,,,5,,
2015-06-24,103,76,17,11,7,7,7,65,25,11,7,9,7,7,7,,,,
2015-06-25,56,41,11,9,6,,5,,,,,,,,,,5,,
2015-06-26,101,79,16,10,7,7,7,63,24,13,7,9,7,7,7,,,,
2015-06-27,101,77,14,9,6,,5,62,24,10,8,8,7,7,5,5,,,
2015-06-28,54,41,8,8,5,,,,,,,,,,,,,,
2015-06-29,104,80,13,11,6,,5,63,26,11,8,8,7,7,5,5,,,
2015-06-30,57,39,8,7,5,,,,,,,,,,,,,,
2015-07-01,107,76,12,11,8,,5,64,24,11,8,8,7,7,5,5,,,
2015-07-02,57,38,8,8,7,5,5,,,,,,,,,,,,
2015-07-03,56,40,9,8,7,5,5,,,,,,,,,,,,
2015-07-04,56,39,9,8,7,5,5,,,,,,,,,,,,
