date,Amsterdam,"The Hague",Utrecht,Tilburg,Eindhoven,Groningen,Nijmegen,"See More",Breda,Apeldoorn,Rotterdam,"Almere Stad",Zwolle,Enschede,Maastricht
2015-05-28,115,20,15,5,12,,8,5,,7,23,,,,
2015-05-28,117,20,15,5,12,,7,5,,8,24,,,,
2015-05-29,115,20,18,5,12,5,8,5,,13,26,,,,
2015-05-30,114,20,16,,12,5,8,5,,13,26,,,,
2015-05-31,112,19,20,,12,5,8,5,,13,26,,,,
2015-06-01,117,11,22,6,12,5,8,5,,13,33,,,,
2015-06-02,120,9,23,6,12,5,8,5,,12,32,,,,
2015-06-03,120,8,22,7,11,5,8,5,,11,30,,,,
2015-06-04,127,9,27,7,10,5,8,5,,13,29,,,,
2015-06-05,122,10,27,9,10,5,8,5,,15,28,,,,
2015-06-06,121,10,26,9,10,5,8,5,,15,28,,,,
2015-06-07,120,10,26,9,10,5,8,5,,15,28,,,,
2015-06-08,122,10,28,9,11,5,8,5,,16,29,,,,
2015-06-09,122,12,28,9,9,5,8,5,,16,29,,,,
2015-06-10,116,12,29,9,11,5,7,5,,16,27,,,,
2015-06-11,114,13,28,9,11,5,7,5,,16,28,,,,
2015-06-12,107,23,29,10,11,6,7,6,,16,28,,,,
2015-06-13,107,23,29,10,11,6,7,6,,16,28,,,,
2015-06-14,107,23,28,10,11,6,7,6,,16,28,,,,
2015-06-15,115,13,28,10,12,6,8,6,,17,29,,,,
2015-06-16,122,14,28,10,12,6,8,6,,17,25,,,,
2015-06-17,116,22,27,9,12,6,7,6,,16,25,,,,
2015-06-18,116,23,28,8,12,6,7,6,,13,23,,,,
2015-06-19,118,24,27,8,11,6,6,6,,13,22,,,,
2015-06-20,117,24,25,7,11,6,6,6,,13,18,,,,
2015-06-21,116,24,25,7,11,6,,6,,13,16,,,,
2015-06-22,112,24,25,7,11,5,5,5,,12,17,,,,
2015-06-23,115,26,28,6,11,6,5,5,,13,17,,,,
2015-06-24,119,24,25,7,12,6,7,6,,12,18,,,,
2015-06-25,124,23,25,7,11,6,7,6,,11,20,,,,
2015-06-26,150,38,47,8,12,9,7,6,,22,21,6,9,9,
2015-06-27,201,54,68,16,25,23,13,6,,37,33,24,13,11,6
2015-06-28,226,55,73,17,28,24,13,7,,37,36,26,13,11,7
2015-06-29,232,57,78,17,31,28,13,7,,37,36,28,16,10,7
2015-06-30,234,52,75,18,30,28,16,8,,40,38,33,18,9,8
2015-07-01,241,54,77,30,32,28,16,5,5,39,38,33,18,9,8
2015-07-02,35,14,8,,,6,6,5,5,,8,,,,
2015-07-03,36,13,8,,,5,,5,6,,8,,,,
2015-07-04,36,13,7,,,5,,5,6,,8,,,,
2015-07-05,35,13,7,,,5,,5,6,,8,,,,
2015-07-07,36,14,7,,,5,5,5,5,,6,,,,
2015-07-08,36,15,7,,,5,5,5,5,,,,,,
2015-07-09,39,18,7,5,5,5,5,5,6,,,,,,
2015-07-10,43,17,8,6,5,5,5,5,5,,,,,,
2015-07-11,42,16,10,8,,5,5,5,,5,,,,,
2015-07-12,42,16,10,8,,5,5,5,5,5,,,,,
2015-07-13,42,15,11,8,,5,6,5,,,,,,,
2015-07-14,44,15,11,7,,5,6,5,6,,,,,,
2015-07-15,45,17,11,7,,,5,,,,,,,,
2015-07-16,45,17,11,8,7,,5,5,,,,,,,
2015-07-17,46,17,11,8,7,5,5,5,,,,,,,
